dataset_source,repo_name,latest_commit,repo_dir,repo_dir_exists,commit_exists,error
control,DakeQQ/YOLO-Depth-Estimation-for-Android,688729a935875ae3334b09ab9bfb1d2bc35697cf,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,b9ab794a306ef3542a62c8773d05fecad4457598,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,3ff413961e0ff4684127c19850df1c2843338daf,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,cc5b3daa4ca5be8a55a19a0b764b05f9796832d1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,c731ca0e47b709258690e58819cec510094b9b19,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,DakeQQ/YOLO-Depth-Estimation-for-Android,d864f4791aae2fc41a1761941eb2a1a424d14d9c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/DakeQQ_YOLO-Depth-Estimation-for-Android,1,1,
control,Drchip61/Dual_SAM,3efdae9483742dd2e2d63331ebdf67972492c9c7,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Drchip61_Dual_SAM,1,1,
control,Drchip61/Dual_SAM,cf57ce7726f1d40206e0793cb096c1fc48f73425,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Drchip61_Dual_SAM,1,1,
control,Drchip61/Dual_SAM,5f38d57c5ccaa4e16693d0b77f09c984901ac5b9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Drchip61_Dual_SAM,1,1,
control,EURAC-EEBgroup/brick-llm,34f614a557afc5b0aae5773b9e0954122c8de30e,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,1,1,
control,EURAC-EEBgroup/brick-llm,324dafc988d53f922b62b6fde9921efb3320348a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,1,1,
control,EURAC-EEBgroup/brick-llm,23c57e249931c71130ae8d1b880bee1950b1501d,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,1,1,
control,EURAC-EEBgroup/brick-llm,cf5babd71b703f4df2764b7e410524923df8253b,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,1,1,
control,EURAC-EEBgroup/brick-llm,5d44960a73b9ef0bc4bf79ee9bb2492a821a5795,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,1,1,
control,EURAC-EEBgroup/brick-llm,eae4dac0eb871b7859148567812caa3344dfd400,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,1,1,
control,EURAC-EEBgroup/brick-llm,ac89ecd41929d3133379fda4bcf5e85927d1c4ac,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/EURAC-EEBgroup_brick-llm,1,1,
control,Envious-Data/Env-KB,e9f0ea380e5344ecc131da5c96ecf387425c7e7f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,1,1,
control,Envious-Data/Env-KB,1e0873a8409cca1332537cb4934c04b54ce33a7a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Envious-Data_Env-KB,1,1,
control,Event-AHU/OpenEvDET,9445d9825b622f47cb581339ad6322d28c1f0609,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,ef3b6902aabe5fcbb4bcbe52f0d7c160db58811b,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,fe248bc731b4b3bcfe7716459dd97b020d56379a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,b18ae742fd121615f5acaef3748206b4905e0314,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,070bdea99e2bdc41c69d0c7e883b3b2ca19069ab,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,7bee63b33fe810ff1c51382f567cfa9fb7b1a745,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,bd38079458e2d14cce522f1135b3fde0066ab432,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,dfc518d6227f891592be57dc9f0bdfccdbc1fc2a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,a9dff9f1f657e3218e08ef2de59d3b0049764adc,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,43a3a8aa71be7b2caad23f0b2e75ecdb43f38763,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,c3089ba55502bb47ab6689d56bed4bd44236c126,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,0387128430648126abe7ef71016a4ff6a1f03f20,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,Event-AHU/OpenEvDET,77a31ac8d522bafc38fbe2569df8020ffc6d11ff,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Event-AHU_OpenEvDET,1,1,
control,FFY0/AdaKV,e0124ae9f61cd26dda2a84bbfa56f01ed51b8978,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,1,1,
control,FFY0/AdaKV,759b5dff12c4aa8c8285454fd00ee16ad4c85a36,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,1,1,
control,FFY0/AdaKV,83ec65b6e25e99ac0918f752a8c71bf49b1e31c9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,1,1,
control,FFY0/AdaKV,88bddcd2ecd01e94f153ed7b38834330913dba8a,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,1,1,
control,FFY0/AdaKV,d2252fa9870a2eb233b8512ce67242187dbed987,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,1,1,
control,FFY0/AdaKV,66b95be2d9e3c5e113874ee6d5370086838c2e16,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,1,1,
control,FFY0/AdaKV,67a0fc2729800c3d902225f359e0b50f9202556b,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FFY0_AdaKV,1,1,
control,FMInference/FlexiGen,d34f7b4b43ed87a374f394b0535ed685af66197b,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,1,1,
control,FMInference/FlexiGen,19753bc062d47cc34e73efb27824e97ff5216a68,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,1,1,
control,FMInference/FlexiGen,ab55510b0e19b0dcdb274e7ef5421827d0c237d0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,1,1,
control,FMInference/FlexiGen,004ffef82b46e8dc8685c55d0cdda650bdaf1269,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FMInference_FlexiGen,1,1,
control,FaceAdapter/Face-Adapter,6e313885188e05740a7c40e12c1b9015c748bf08,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FaceAdapter_Face-Adapter,1,1,
control,FlipperPA/peregrine,dcdecaab9fccbab895f3a369c52046c47162191e,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,1,1,
control,FlipperPA/peregrine,59cf20bdffc1b4fabcefcd84041ae7e6f63ca221,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FlipperPA_peregrine,1,1,
control,FolhaSP/mosaico,671279ed06a708df03f6b96283c4b2e4e752944d,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,1,1,
control,FolhaSP/mosaico,89e8405cb37b43228bf09fb2cbcad41fe0c63f50,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,1,1,
control,FolhaSP/mosaico,9f54b7e292c074c054d5d53b7e6f5cf92d2ef3d4,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,1,1,
control,FolhaSP/mosaico,7ee2ad4944d0c431f69e11953c8db270548cab29,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,1,1,
control,FolhaSP/mosaico,8c825203557e4cc983b6a36d53edbe646f367988,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,1,1,
control,FolhaSP/mosaico,c9ad0020d5857a46eb6749c4ef6df883ef0b1e9e,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,1,1,
control,FolhaSP/mosaico,b3c2a5e6ed21ebdabf955c519d66a458c2bd08e4,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FolhaSP_mosaico,1,1,
control,GispoCoding/qgis-venv-creator,af2c34bcade10ce184f9b4c89a6b5011f4636b05,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/GispoCoding_qgis-venv-creator,1,1,
control,GispoCoding/qgis-venv-creator,da97781d79749fa683611204606b94966dfbc799,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/GispoCoding_qgis-venv-creator,1,1,
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,4d2a96feb531d47bbe11bba02b77f9b9b9aadae9,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Hack-a-Day_2024-Supercon-8-Add-On-Badge,1,1,
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,fa2d8d0fc9c69b610d8eebca14d9d54e6a23475d,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Hack-a-Day_2024-Supercon-8-Add-On-Badge,1,1,
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,b44bb4a046a71d2d7abc0734260b4ada87c0628c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Hack-a-Day_2024-Supercon-8-Add-On-Badge,1,1,
control,Hack-a-Day/2024-Supercon-8-Add-On-Badge,67e7825535fd093466c771318341bcd40be55e13,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Hack-a-Day_2024-Supercon-8-Add-On-Badge,1,1,
control,HelpingAI/Webscout,6d6af387dbfd19f8a70b0e0bdf956cb4bc1fc6d8,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,7c52f6bfcb0d91ae93a496dc9b356de23a9e568c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,43365b64ad799c81f65d9ca8fda0fe0d95978f59,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,05438617e1535333cdf976bf8843553e5b85addc,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,a253e29f8b069a62ce5780563fc5285a9d150a78,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,8f1fa236c636b57605c2d0bcb3e74605a6789796,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,146ee41132650aac4ee6e171c7f136e47de7312f,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,b2042728b5aa9a57cce3073ad525f0c796c2d62c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,84c373137c8baf7bdbc6682ca7ad4d542581a2da,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,869c452971ae0632e92e356dc01ff0d495c8f215,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,fb95c558e62402c5fadce0497435cbc6929a844e,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,7423f6c0925f5eea34ec0895a00576c2fec0f6b3,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,4c820e90fdd17cc18aede76e0648000e71ce9a4c,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,0d6ff18a9799de1f2bbe637431e363e4c49006e7,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,e37241c7865adb0ad181fb6a1fd42fd7d29a8572,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,44f4fd7a04771e30dac59705566949b590386208,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
control,HelpingAI/Webscout,e3ea673b30db1067ffcd26fd13362697f4ef56f7,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,1,1,
