classification,token_range,event_month,treatment_unique_body_count,treatment_panel_repo_months,treatment_panel_repositories,treatment_aligned_pairs,treatment_unique_body_count_per_100_repo_months,treatment_unique_body_count_per_100_repositories,control_unique_body_count,control_panel_repo_months,control_panel_repositories,control_aligned_pairs,control_unique_body_count_per_100_repo_months,control_unique_body_count_per_100_repositories,unique_body_count_difference_treatment_minus_control,treatment_unique_body_share_within_month,control_unique_body_share_within_month
AGC-like,100-110,1,21,71,71,300,29.577464788732396,29.577464788732396,6,44,44,300,13.636363636363637,13.636363636363637,15,0.12574850299401197,0.16216216216216217
AGC-like,111-120,1,20,71,71,300,28.169014084507044,28.169014084507044,4,44,44,300,9.090909090909092,9.090909090909092,16,0.11976047904191617,0.10810810810810811
AGC-like,121-130,1,28,71,71,300,39.436619718309856,39.436619718309856,4,44,44,300,9.090909090909092,9.090909090909092,24,0.16766467065868262,0.10810810810810811
AGC-like,131-140,1,14,71,71,300,19.718309859154928,19.718309859154928,9,44,44,300,20.454545454545453,20.454545454545453,5,0.08383233532934131,0.24324324324324326
AGC-like,141-150,1,15,71,71,300,21.12676056338028,21.12676056338028,4,44,44,300,9.090909090909092,9.090909090909092,11,0.08982035928143713,0.10810810810810811
AGC-like,151-160,1,13,71,71,300,18.309859154929576,18.309859154929576,2,44,44,300,4.545454545454546,4.545454545454546,11,0.07784431137724551,0.05405405405405406
AGC-like,161-170,1,11,71,71,300,15.492957746478874,15.492957746478874,1,44,44,300,2.272727272727273,2.272727272727273,10,0.0658682634730539,0.02702702702702703
AGC-like,171-180,1,16,71,71,300,22.535211267605632,22.535211267605632,2,44,44,300,4.545454545454546,4.545454545454546,14,0.09580838323353294,0.05405405405405406
AGC-like,181-190,1,16,71,71,300,22.535211267605632,22.535211267605632,3,44,44,300,6.818181818181818,6.818181818181818,13,0.09580838323353294,0.08108108108108109
AGC-like,191-200,1,13,71,71,300,18.309859154929576,18.309859154929576,2,44,44,300,4.545454545454546,4.545454545454546,11,0.07784431137724551,0.05405405405405406
HWC-like,ALL,1,860,71,71,300,1211.2676056338028,1211.2676056338028,207,44,44,300,470.45454545454544,470.45454545454544,653,1.0,1.0
HWC-like,100-110,1,107,71,71,300,150.70422535211267,150.70422535211267,18,44,44,300,40.90909090909091,40.90909090909091,89,0.12441860465116279,0.08695652173913043
HWC-like,111-120,1,98,71,71,300,138.0281690140845,138.0281690140845,26,44,44,300,59.09090909090909,59.09090909090909,72,0.11395348837209303,0.12560386473429952
HWC-like,121-130,1,86,71,71,300,121.12676056338029,121.12676056338029,28,44,44,300,63.63636363636363,63.63636363636363,58,0.1,0.13526570048309178
HWC-like,131-140,1,96,71,71,300,135.2112676056338,135.2112676056338,32,44,44,300,72.72727272727273,72.72727272727273,64,0.11162790697674418,0.15458937198067632
HWC-like,141-150,1,104,71,71,300,146.4788732394366,146.4788732394366,20,44,44,300,45.45454545454545,45.45454545454545,84,0.12093023255813953,0.0966183574879227
HWC-like,151-160,1,81,71,71,300,114.08450704225352,114.08450704225352,14,44,44,300,31.818181818181817,31.818181818181817,67,0.0941860465116279,0.06763285024154589
HWC-like,161-170,1,82,71,71,300,115.49295774647888,115.49295774647888,18,44,44,300,40.90909090909091,40.90909090909091,64,0.09534883720930233,0.08695652173913043
HWC-like,171-180,1,61,71,71,300,85.91549295774648,85.91549295774648,23,44,44,300,52.27272727272727,52.27272727272727,38,0.07093023255813953,0.1111111111111111
HWC-like,181-190,1,87,71,71,300,122.53521126760563,122.53521126760563,13,44,44,300,29.545454545454547,29.545454545454547,74,0.10116279069767442,0.06280193236714976
HWC-like,191-200,1,58,71,71,300,81.69014084507042,81.69014084507042,15,44,44,300,34.09090909090909,34.09090909090909,43,0.06744186046511629,0.07246376811594203
ALL,ALL,2,950,60,60,300,1583.3333333333333,1583.3333333333333,176,46,46,300,382.60869565217394,382.60869565217394,774,1.0,1.0
ALL,100-110,2,130,60,60,300,216.66666666666666,216.66666666666666,29,46,46,300,63.04347826086956,63.04347826086956,101,0.1368421052631579,0.16477272727272727
ALL,111-120,2,124,60,60,300,206.66666666666666,206.66666666666666,19,46,46,300,41.30434782608695,41.30434782608695,105,0.13052631578947368,0.10795454545454546
ALL,121-130,2,95,60,60,300,158.33333333333334,158.33333333333334,35,46,46,300,76.08695652173913,76.08695652173913,60,0.1,0.19886363636363635
ALL,131-140,2,97,60,60,300,161.66666666666666,161.66666666666666,18,46,46,300,39.130434782608695,39.130434782608695,79,0.10210526315789474,0.10227272727272728
ALL,141-150,2,86,60,60,300,143.33333333333334,143.33333333333334,15,46,46,300,32.608695652173914,32.608695652173914,71,0.09052631578947369,0.08522727272727272
ALL,151-160,2,112,60,60,300,186.66666666666666,186.66666666666666,9,46,46,300,19.565217391304348,19.565217391304348,103,0.11789473684210526,0.05113636363636364
ALL,161-170,2,94,60,60,300,156.66666666666666,156.66666666666666,16,46,46,300,34.78260869565217,34.78260869565217,78,0.09894736842105263,0.09090909090909091
ALL,171-180,2,68,60,60,300,113.33333333333333,113.33333333333333,12,46,46,300,26.08695652173913,26.08695652173913,56,0.07157894736842105,0.06818181818181818
ALL,181-190,2,76,60,60,300,126.66666666666667,126.66666666666667,10,46,46,300,21.73913043478261,21.73913043478261,66,0.08,0.056818181818181816
ALL,191-200,2,68,60,60,300,113.33333333333333,113.33333333333333,13,46,46,300,28.26086956521739,28.26086956521739,55,0.07157894736842105,0.07386363636363637
AGC-like,ALL,2,130,60,60,300,216.66666666666666,216.66666666666666,38,46,46,300,82.6086956521739,82.6086956521739,92,1.0,1.0
AGC-like,100-110,2,15,60,60,300,25.0,25.0,11,46,46,300,23.91304347826087,23.91304347826087,4,0.11538461538461539,0.2894736842105263
AGC-like,111-120,2,18,60,60,300,30.0,30.0,6,46,46,300,13.043478260869565,13.043478260869565,12,0.13846153846153847,0.15789473684210525
AGC-like,121-130,2,10,60,60,300,16.666666666666668,16.666666666666668,4,46,46,300,8.695652173913043,8.695652173913043,6,0.07692307692307693,0.10526315789473684
AGC-like,131-140,2,18,60,60,300,30.0,30.0,3,46,46,300,6.521739130434782,6.521739130434782,15,0.13846153846153847,0.07894736842105263
AGC-like,141-150,2,11,60,60,300,18.333333333333332,18.333333333333332,3,46,46,300,6.521739130434782,6.521739130434782,8,0.08461538461538462,0.07894736842105263
AGC-like,151-160,2,18,60,60,300,30.0,30.0,1,46,46,300,2.1739130434782608,2.1739130434782608,17,0.13846153846153847,0.02631578947368421
AGC-like,161-170,2,11,60,60,300,18.333333333333332,18.333333333333332,3,46,46,300,6.521739130434782,6.521739130434782,8,0.08461538461538462,0.07894736842105263
AGC-like,171-180,2,11,60,60,300,18.333333333333332,18.333333333333332,2,46,46,300,4.3478260869565215,4.3478260869565215,9,0.08461538461538462,0.05263157894736842
AGC-like,181-190,2,8,60,60,300,13.333333333333334,13.333333333333334,3,46,46,300,6.521739130434782,6.521739130434782,5,0.06153846153846154,0.07894736842105263
AGC-like,191-200,2,10,60,60,300,16.666666666666668,16.666666666666668,2,46,46,300,4.3478260869565215,4.3478260869565215,8,0.07692307692307693,0.05263157894736842
