classification,token_range,month_after_adoption,treatment_unique_body_count,control_unique_body_count,treatment_unique_body_count_per_100_repo_months,control_unique_body_count_per_100_repo_months,unique_body_count_difference_treatment_minus_control,treatment_unique_body_share_within_month,control_unique_body_share_within_month,treatment_panel_repo_months,control_panel_repo_months
AGC-like,151-160,6,11,2,61.111111111111114,12.5,9,0.10679611650485436,0.2857142857142857,18,16
AGC-like,161-170,6,6,1,33.333333333333336,6.25,5,0.05825242718446602,0.14285714285714285,18,16
AGC-like,171-180,6,11,0,61.111111111111114,0.0,11,0.10679611650485436,0.0,18,16
AGC-like,181-190,6,9,2,50.0,12.5,7,0.08737864077669903,0.2857142857142857,18,16
AGC-like,191-200,6,5,0,27.77777777777778,0.0,5,0.04854368932038835,0.0,18,16
HWC-like,ALL,6,846,52,4700.0,325.0,794,1.0,1.0,18,16
HWC-like,100-110,6,114,9,633.3333333333334,56.25,105,0.1347517730496454,0.17307692307692307,18,16
HWC-like,111-120,6,86,5,477.77777777777777,31.25,81,0.1016548463356974,0.09615384615384616,18,16
HWC-like,121-130,6,114,9,633.3333333333334,56.25,105,0.1347517730496454,0.17307692307692307,18,16
HWC-like,131-140,6,94,6,522.2222222222222,37.5,88,0.1111111111111111,0.11538461538461539,18,16
HWC-like,141-150,6,80,6,444.44444444444446,37.5,74,0.09456264775413711,0.11538461538461539,18,16
HWC-like,151-160,6,80,6,444.44444444444446,37.5,74,0.09456264775413711,0.11538461538461539,18,16
HWC-like,161-170,6,89,4,494.44444444444446,25.0,85,0.10520094562647754,0.07692307692307693,18,16
HWC-like,171-180,6,75,2,416.6666666666667,12.5,73,0.08865248226950355,0.038461538461538464,18,16
HWC-like,181-190,6,64,3,355.55555555555554,18.75,61,0.07565011820330969,0.057692307692307696,18,16
HWC-like,191-200,6,50,2,277.77777777777777,12.5,48,0.0591016548463357,0.038461538461538464,18,16
