function_body_split_space_token_count,unique_bodies,agc_count,hwc_count,mean_function_npr,median_function_npr,agc_share_within_range,hwc_share_within_range
142,161,14,147,1.4081400691685915,1.3688932888046794,0.08695652173913043,0.9130434782608695
143,201,19,182,1.381206731146242,1.3533733347907837,0.0945273631840796,0.9054726368159204
144,184,33,151,1.4208375400985624,1.3831213759299614,0.1793478260869565,0.8206521739130435
145,204,29,175,1.3997869179562592,1.3508000745427213,0.14215686274509803,0.8578431372549019
146,167,20,147,1.3735139009030852,1.3442220958771596,0.11976047904191617,0.8802395209580839
147,178,23,155,1.401595356804627,1.3721567844721791,0.12921348314606743,0.8707865168539326
148,193,24,169,1.393676124380219,1.3798229850002368,0.12435233160621761,0.8756476683937824
149,195,25,170,1.392979397740303,1.3698982508999262,0.1282051282051282,0.8717948717948718
150,184,22,162,1.3869703093392662,1.3655560112170342,0.11956521739130435,0.8804347826086957
151,180,30,150,1.4248944934292778,1.3832951370210045,0.16666666666666666,0.8333333333333334
152,189,23,166,1.386592655506305,1.360143431287379,0.12169312169312169,0.8783068783068783
153,160,20,140,1.3969775190343594,1.3775879617992899,0.125,0.875
154,179,21,158,1.3928923542898013,1.3688019953117414,0.11731843575418995,0.88268156424581
155,159,21,138,1.403322614400785,1.350116256037602,0.1320754716981132,0.8679245283018868
156,165,25,140,1.4081295485522123,1.3778750458273503,0.15151515151515152,0.8484848484848485
157,168,23,145,1.3996740816867952,1.3733380929410564,0.13690476190476192,0.8630952380952381
158,174,21,153,1.3901871935461434,1.347285863740089,0.1206896551724138,0.8793103448275862
159,180,23,157,1.3894550976912008,1.3705826104795806,0.12777777777777777,0.8722222222222222
160,173,24,149,1.386418476060804,1.3462607393371704,0.13872832369942195,0.861271676300578
161,184,29,155,1.4088552864778787,1.354529121547864,0.15760869565217392,0.842391304347826
162,154,17,137,1.4010055628194364,1.3824853303396871,0.11038961038961038,0.8896103896103896
163,180,25,155,1.4002686566755747,1.3667202417357065,0.1388888888888889,0.8611111111111112
164,164,22,142,1.407200821726667,1.3912109914722977,0.13414634146341464,0.8658536585365854
