dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ratio_sample
control,HelpingAI/Webscout,2024-07,25,25,18,144,22,,0,0,,0,18.0,18.0,True,both,control,control,0,0,25,6255,0.0,18159.0,21904,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.2580965380214817,8.741296282225147,0.0,1.6094379124341005,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-07,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-08,25,23,19,406,58,,0,0,,0,19.0,19.0,True,both,control,control,4,1,26,11907,0.0,20532.0,24418,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.295836866004329,9.384965722135666,0.0,1.3862943611198906,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-08,18,13,5,1,0,0.7222222222222222,2.9444389791664403,2.6390573296152584,1.791759469228055,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-09,11,8,6,307,45,,0,0,,0,6.0,6.0,True,both,control,control,2,1,11,7452,0.0,24498.0,29470,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.4849066497880004,8.916371914881694,0.0,1.0986122886681096,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2024-09,3,1,2,1,0,0.3333333333333333,1.3862943611198906,0.6931471805599453,1.0986122886681096,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-10,5,5,4,268,50,,0,0,,0,4.0,4.0,True,both,control,control,0,0,5,7593,0.0,25011.0,28886,2,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.791759469228055,8.935113740791747,0.0,1.0986122886681096,0.0,0.6931471805599453,1,1,1,1,0,HelpingAI/Webscout,2024-10,8,7,1,1,0,0.875,2.197224577336219,2.0794415416798357,0.6931471805599453,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-11,6,3,3,110,17,,0,0,,0,3.0,3.0,True,both,control,control,0,0,7,3815,1.0,26528.0,30547,3,22.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.079441541679836,8.246958032568177,0.6931471805599453,1.3862943611198906,3.1354942159291497,0.6931471805599453,1,1,1,1,0,HelpingAI/Webscout,2024-11,6,3,3,1,0,0.5,1.9459101490553132,1.3862943611198906,1.3862943611198906,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2024-12,41,39,28,879,118,,0,0,,0,28.0,28.0,True,both,control,control,2,1,48,31110,31.0,30370.0,37387,5,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.8918202981106265,10.345316733380216,3.4657359027997265,1.791759469228055,0.6931471805599453,0.6931471805599453,1,1,1,1,0,HelpingAI/Webscout,2024-12,50,42,8,1,0,0.84,3.9318256327243257,3.7612001156935624,2.197224577336219,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-01,7,7,5,147,28,,0,0,,0,5.0,5.0,True,both,control,control,0,0,8,4265,0.0,29732.0,36756,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.197224577336219,8.358431899031295,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-01,3,3,0,1,0,1.0,1.3862943611198906,1.3862943611198906,0.0,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-02,54,54,44,310,56,,0,0,,0,44.0,44.0,True,both,control,control,0,0,63,7600,0.0,32938.0,40004,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.158883083359672,8.936035096566041,0.0,1.6094379124341005,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-02,20,16,4,1,0,0.8,3.044522437723423,2.833213344056216,1.6094379124341003,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-03,114,107,85,746,126,,0,0,,0,85.0,85.0,True,both,control,control,3,1,124,21466,0.0,36354.0,45165,8,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.828313737302301,9.974272151254088,0.0,2.197224577336219,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-03,38,18,20,1,0,0.47368421052631576,3.6635616461296463,2.9444389791664403,3.044522437723423,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-04,122,114,78,1085,149,,0,0,,0,78.0,78.0,True,both,control,control,0,0,124,41560,0.0,49428.0,61541,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.828313737302301,10.634917506521376,0.0,1.3862943611198906,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-04,52,20,32,1,0,0.38461538461538464,3.9702919135521215,3.044522437723423,3.4965075614664802,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-05,134,123,103,1146,167,,0,0,,0,103.0,103.0,True,both,control,control,8,1,150,37643,0.0,53708.0,63040,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5.017279836814924,10.53592885797868,0.0,1.791759469228055,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-05,29,22,7,1,0,0.7586206896551724,3.4011973816621555,3.1354942159291497,2.0794415416798357,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-06,86,83,71,752,111,,0,0,,0,71.0,71.0,True,both,control,control,0,0,90,33159,0.0,60724.0,70758,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4.51085950651685,10.40909960924923,0.0,1.6094379124341005,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-06,39,26,13,1,0,0.6666666666666666,3.6888794541139363,3.295836866004329,2.6390573296152584,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-07,29,25,18,188,35,,0,0,,0,18.0,18.0,True,both,control,control,0,0,29,7390,0.0,61500.0,71761,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.4011973816621555,8.908018322784887,0.0,0.6931471805599453,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-07,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,70,80,70-79,bounded_band,1
control,HelpingAI/Webscout,2025-08,39,36,23,165,29,,0,0,,0,23.0,23.0,True,both,control,control,0,0,41,4792,0.0,62631.0,73349,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.737669618283368,8.474911799159631,0.0,1.6094379124341005,0.0,0.0,1,1,1,1,0,HelpingAI/Webscout,2025-08,4,1,3,1,0,0.25,1.6094379124341003,0.6931471805599453,1.3862943611198906,70,80,70-79,bounded_band,1
control,ITSpecialist111/ai_automation_suggester,2024-10,77,20,11,54,10,,0,0,,0,11.0,11.0,True,both,control,control,0,0,79,8330,0.0,273.0,244,1,45.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.382026634673881,9.027738775974909,0.0,0.6931471805599453,3.828641396489095,3.1354942159291497,1,1,1,1,0,ITSpecialist111/ai_automation_suggester,2024-10,5,0,5,1,0,0.0,1.791759469228055,0.0,1.791759469228055,70,80,70-79,bounded_band,1
