dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,function_change_events_manifest,function_change_events_scored,function_change_events_failed,agc_function_change_events,hwc_function_change_events,agc_function_change_event_ratio,added_agc_function_events,added_hwc_function_events,modified_agc_function_events,modified_hwc_function_events,unique_changed_functions_scored,detection_complete,detector_merge_status,has_function_change_event,zero_function_event_month,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events
treatment,Hankanman/Area-Occupancy-Detection,2025-05,17,11,9,94,39,55,87,16,5.0,1,1,2024-12,1,9.0,9.0,94.0,94.0,0.0,16.0,78.0,0.1702127659574468,12.0,27.0,4.0,51.0,87.0,True,both,1,0,treatment,post,0,0,4.553876891600541,2.833213344056216,4.3694478524670215
treatment,Hankanman/Area-Occupancy-Detection,2025-06,119,109,99,3041,1522,1519,1615,67,6.0,1,1,2024-12,1,99.0,99.0,3041.0,3041.0,0.0,559.0,2482.0,0.183821111476488,362.0,1160.0,197.0,1322.0,1615.0,True,both,1,0,treatment,post,1,1,8.020270472819238,6.327936783729195,7.817222785508166
treatment,Hankanman/Area-Occupancy-Detection,2025-07,110,93,80,1531,859,672,1022,35,7.0,1,1,2024-12,0,80.0,80.0,1531.0,1531.0,0.0,239.0,1292.0,0.1561071195297191,164.0,695.0,75.0,597.0,1022.0,True,both,1,0,treatment,post,0,0,7.3343293503005365,5.480638923341991,7.164720378771857
treatment,Hankanman/Area-Occupancy-Detection,2025-08,49,39,33,801,367,434,616,33,8.0,1,1,2024-12,0,33.0,33.0,801.0,801.0,0.0,112.0,689.0,0.1398252184769038,65.0,302.0,47.0,387.0,615.0,True,both,1,0,treatment,post,0,0,6.687108607866515,4.727387818712341,6.536691597591305
treatment,Kiln-AI/Kiln,2024-08,158,80,64,262,137,125,159,32,-5.0,0,0,2025-01,0,64.0,64.0,262.0,262.0,0.0,112.0,150.0,0.4274809160305343,59.0,78.0,53.0,72.0,159.0,True,both,1,0,treatment,pre,0,0,5.572154032177765,4.727387818712341,5.017279836814924
treatment,Kiln-AI/Kiln,2024-09,56,44,43,250,133,117,149,21,-4.0,0,0,2025-01,0,43.0,43.0,250.0,250.0,0.0,58.0,192.0,0.232,43.0,90.0,15.0,102.0,148.0,True,both,1,0,treatment,pre,0,0,5.5254529391317835,4.07753744390572,5.262690188904886
treatment,Kiln-AI/Kiln,2024-10,297,122,108,1167,446,721,645,69,-3.0,0,0,2025-01,0,108.0,108.0,1167.0,1167.0,0.0,208.0,959.0,0.1782347900599828,117.0,329.0,91.0,630.0,643.0,True,both,1,0,treatment,pre,0,0,7.0630481633881725,5.342334251964811,6.866933284461882
treatment,Kiln-AI/Kiln,2024-11,221,104,82,519,287,232,348,54,-2.0,0,0,2025-01,0,82.0,82.0,519.0,519.0,0.0,133.0,386.0,0.25626204238921,97.0,190.0,36.0,196.0,348.0,True,both,1,0,treatment,pre,0,0,6.253828811575473,4.897839799950911,5.958424693029782
treatment,Kiln-AI/Kiln,2024-12,158,81,68,521,236,285,376,43,-1.0,0,0,2025-01,0,68.0,68.0,521.0,521.0,0.0,91.0,430.0,0.1746641074856046,50.0,186.0,41.0,244.0,375.0,True,both,1,0,treatment,pre,0,0,6.257667587882639,4.5217885770490405,6.066108090103747
treatment,Kiln-AI/Kiln,2025-01,87,48,37,211,93,118,187,51,0.0,1,1,2025-01,1,37.0,37.0,211.0,211.0,0.0,45.0,166.0,0.2132701421800948,33.0,60.0,12.0,106.0,187.0,True,both,1,0,treatment,event,0,0,5.356586274672012,3.828641396489095,5.117993812416755
treatment,Kiln-AI/Kiln,2025-02,203,128,104,1086,493,593,694,87,1.0,1,1,2025-01,1,104.0,104.0,1086.0,1086.0,0.0,191.0,895.0,0.1758747697974217,156.0,337.0,35.0,558.0,693.0,True,both,1,0,treatment,post,0,0,6.99117688712121,5.2574953720277815,6.79794041297493
treatment,Kiln-AI/Kiln,2025-03,156,84,71,420,170,250,290,50,2.0,1,1,2025-01,1,71.0,71.0,420.0,420.0,0.0,62.0,358.0,0.1476190476190476,40.0,130.0,22.0,228.0,290.0,True,both,1,0,treatment,post,0,0,6.042632833682381,4.143134726391533,5.883322388488279
treatment,Kiln-AI/Kiln,2025-04,92,52,37,218,100,118,149,29,3.0,1,1,2025-01,0,37.0,37.0,218.0,218.0,0.0,39.0,179.0,0.1788990825688073,20.0,80.0,19.0,99.0,149.0,True,both,1,0,treatment,post,0,0,5.389071729816501,3.6888794541139363,5.19295685089021
treatment,Kiln-AI/Kiln,2025-05,154,62,54,269,97,172,210,53,4.0,1,1,2025-01,1,54.0,54.0,269.0,269.0,0.0,40.0,229.0,0.1486988847583643,22.0,75.0,18.0,154.0,209.0,True,both,1,0,treatment,post,0,0,5.598421958998375,3.713572066704308,5.438079308923196
treatment,Kiln-AI/Kiln,2025-06,280,175,153,1351,509,842,729,106,5.0,1,1,2025-01,1,153.0,153.0,1351.0,1351.0,0.0,249.0,1102.0,0.1843079200592154,141.0,368.0,108.0,734.0,729.0,True,both,1,0,treatment,post,0,0,7.20934025660291,5.521460917862246,7.005789019253503
treatment,Kiln-AI/Kiln,2025-07,277,154,122,1232,737,495,791,98,6.0,1,1,2025-01,1,122.0,122.0,1232.0,1232.0,0.0,217.0,1015.0,0.1761363636363636,180.0,557.0,37.0,458.0,791.0,True,both,1,0,treatment,post,0,0,7.117205503164344,5.384495062789089,6.923628628138427
treatment,Kiln-AI/Kiln,2025-08,333,188,151,1891,1068,823,1313,123,7.0,1,1,2025-01,1,151.0,151.0,1891.0,1891.0,0.0,305.0,1586.0,0.1612903225806451,219.0,849.0,86.0,737.0,1313.0,True,both,1,0,treatment,post,0,0,7.545389749611823,5.723585101952381,7.369600720526409
treatment,KroMiose/nekro-agent,2024-07,7,7,7,187,125,62,128,45,-6.0,0,0,2025-01,0,7.0,7.0,187.0,187.0,0.0,59.0,128.0,0.3155080213903743,48.0,77.0,11.0,51.0,125.0,True,both,1,0,treatment,pre,0,0,5.236441962829949,4.0943445622221,4.859812404361672
treatment,KroMiose/nekro-agent,2024-08,33,20,16,80,30,50,49,16,-5.0,0,0,2025-01,0,16.0,16.0,80.0,80.0,0.0,12.0,68.0,0.15,10.0,20.0,2.0,48.0,40.0,True,both,1,0,treatment,pre,0,0,4.394449154672439,2.5649493574615367,4.23410650459726
treatment,KroMiose/nekro-agent,2024-09,48,34,27,142,42,100,72,25,-4.0,0,0,2025-01,0,27.0,27.0,142.0,142.0,0.0,20.0,122.0,0.1408450704225352,16.0,26.0,4.0,96.0,57.0,True,both,1,0,treatment,pre,0,0,4.962844630259907,3.044522437723423,4.812184355372417
treatment,KroMiose/nekro-agent,2024-10,23,11,10,22,4,18,20,11,-3.0,0,0,2025-01,0,10.0,10.0,22.0,22.0,0.0,1.0,21.0,0.0454545454545454,0.0,4.0,1.0,17.0,17.0,True,both,1,0,treatment,pre,0,0,3.1354942159291497,0.6931471805599453,3.091042453358316
treatment,KroMiose/nekro-agent,2024-11,12,7,5,19,0,19,18,11,-2.0,0,0,2025-01,0,5.0,5.0,19.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,17.0,True,both,1,0,treatment,pre,0,0,2.995732273553991,0.0,2.995732273553991
treatment,KroMiose/nekro-agent,2024-12,59,29,25,235,135,100,190,44,-1.0,0,0,2025-01,0,25.0,25.0,235.0,235.0,0.0,93.0,142.0,0.3957446808510638,82.0,53.0,11.0,89.0,173.0,True,both,1,0,treatment,pre,0,0,5.4638318050256105,4.543294782270004,4.962844630259907
treatment,KroMiose/nekro-agent,2025-01,115,47,43,212,74,138,121,41,0.0,1,1,2025-01,1,43.0,43.0,212.0,212.0,0.0,25.0,187.0,0.1179245283018868,21.0,53.0,4.0,134.0,102.0,True,both,1,0,treatment,event,0,0,5.3612921657094255,3.258096538021482,5.236441962829949
treatment,KroMiose/nekro-agent,2025-02,108,68,55,276,115,161,198,63,1.0,1,1,2025-01,1,55.0,55.0,276.0,276.0,0.0,69.0,207.0,0.25,44.0,71.0,25.0,136.0,186.0,True,both,1,0,treatment,post,0,0,5.6240175061873385,4.248495242049359,5.337538079701318
treatment,KroMiose/nekro-agent,2025-03,14,13,11,50,20,30,41,17,2.0,1,1,2025-01,0,11.0,11.0,50.0,50.0,0.0,9.0,41.0,0.18,6.0,14.0,3.0,27.0,41.0,True,both,1,0,treatment,post,0,0,3.9318256327243257,2.302585092994046,3.7376696182833684
treatment,KroMiose/nekro-agent,2025-04,64,29,28,503,352,151,437,81,3.0,1,1,2025-01,1,28.0,28.0,503.0,503.0,0.0,123.0,380.0,0.2445328031809145,96.0,256.0,27.0,124.0,424.0,True,both,1,0,treatment,post,0,0,6.222576268071369,4.820281565605037,5.942799375126701
treatment,KroMiose/nekro-agent,2025-05,47,26,23,97,28,69,77,33,4.0,1,1,2025-01,1,23.0,23.0,97.0,97.0,0.0,7.0,90.0,0.0721649484536082,5.0,23.0,2.0,67.0,66.0,True,both,1,0,treatment,post,0,0,4.584967478670572,2.0794415416798357,4.51085950651685
treatment,KroMiose/nekro-agent,2025-06,6,3,3,521,370,151,519,95,5.0,1,1,2025-01,1,3.0,3.0,521.0,521.0,0.0,139.0,382.0,0.2667946257197697,124.0,246.0,15.0,136.0,512.0,True,both,1,0,treatment,post,0,0,6.257667587882639,4.941642422609304,5.948034989180646
treatment,KroMiose/nekro-agent,2025-07,17,12,11,255,190,65,214,26,6.0,1,1,2025-01,0,11.0,11.0,255.0,255.0,0.0,55.0,200.0,0.2156862745098039,50.0,140.0,5.0,60.0,213.0,True,both,1,0,treatment,post,0,0,5.545177444479562,4.02535169073515,5.303304908059076
treatment,KroMiose/nekro-agent,2025-08,30,25,24,189,17,172,173,43,7.0,1,1,2025-01,1,24.0,24.0,189.0,189.0,0.0,37.0,152.0,0.1957671957671957,4.0,13.0,33.0,139.0,158.0,True,both,1,0,treatment,post,0,0,5.247024072160486,3.6375861597263857,5.030437921392435
treatment,LearningCircuit/local-deep-research,2025-02,46,32,30,162,89,73,65,8,-1.0,0,0,2025-03,0,30.0,30.0,162.0,162.0,0.0,27.0,135.0,0.1666666666666666,25.0,64.0,2.0,71.0,65.0,True,both,1,0,treatment,pre,0,0,5.093750200806762,3.332204510175204,4.912654885736052
treatment,LearningCircuit/local-deep-research,2025-03,270,122,96,1210,701,509,749,97,0.0,1,1,2025-03,1,96.0,96.0,1210.0,1210.0,0.0,256.0,954.0,0.2115702479338843,174.0,527.0,82.0,427.0,748.0,True,both,1,0,treatment,event,2,1,7.099201743553092,5.54907608489522,6.86171134048073
treatment,LearningCircuit/local-deep-research,2025-04,137,97,91,532,162,370,284,64,1.0,1,1,2025-03,0,91.0,91.0,532.0,532.0,0.0,144.0,388.0,0.2706766917293233,81.0,81.0,63.0,307.0,282.0,True,both,1,0,treatment,post,0,0,6.278521424165844,4.976733742420574,5.963579343618446
treatment,LearningCircuit/local-deep-research,2025-05,137,92,72,614,332,282,460,108,2.0,1,1,2025-03,0,72.0,72.0,614.0,614.0,0.0,136.0,478.0,0.2214983713355048,93.0,239.0,43.0,239.0,460.0,True,both,1,0,treatment,post,0,0,6.421622267806518,4.919980925828125,6.171700597410915
treatment,LearningCircuit/local-deep-research,2025-06,218,141,114,3056,2006,1050,2233,300,3.0,1,1,2025-03,0,114.0,114.0,3056.0,3056.0,0.0,670.0,2386.0,0.219240837696335,526.0,1480.0,144.0,906.0,2232.0,True,both,1,0,treatment,post,0,0,8.025189321890835,6.508769136971682,7.77779262633883
treatment,LearningCircuit/local-deep-research,2025-07,183,126,118,2372,1172,1200,1769,300,4.0,1,1,2025-03,0,118.0,118.0,2372.0,2372.0,0.0,555.0,1817.0,0.2339797639123103,405.0,767.0,150.0,1050.0,1768.0,True,both,1,0,treatment,post,0,0,7.771910256435763,6.320768294250582,7.505492274737424
treatment,LearningCircuit/local-deep-research,2025-08,265,202,182,1866,580,1286,1221,292,5.0,1,1,2025-03,0,182.0,182.0,1866.0,1866.0,0.0,264.0,1602.0,0.1414790996784566,148.0,432.0,116.0,1170.0,1221.0,True,both,1,0,treatment,post,0,0,7.532088143541722,5.579729825986222,7.3796321526095525
treatment,MDGrey33/pyvisionai,2024-11,14,8,7,38,31,7,35,8,-2.0,0,0,2025-01,0,7.0,7.0,38.0,38.0,0.0,16.0,22.0,0.4210526315789473,15.0,16.0,1.0,6.0,35.0,True,both,1,0,treatment,pre,0,0,3.6635616461296463,2.833213344056216,3.1354942159291497
treatment,MDGrey33/pyvisionai,2024-12,11,8,6,44,5,39,35,8,-1.0,0,0,2025-01,0,6.0,6.0,44.0,44.0,0.0,21.0,23.0,0.4772727272727273,2.0,3.0,19.0,20.0,35.0,True,both,1,0,treatment,pre,0,0,3.8066624897703196,3.091042453358316,3.1780538303479458
treatment,MDGrey33/pyvisionai,2025-01,104,66,56,418,267,151,299,71,0.0,1,1,2025-01,1,56.0,56.0,418.0,418.0,0.0,92.0,326.0,0.2200956937799043,66.0,201.0,26.0,125.0,299.0,True,both,1,0,treatment,event,0,0,6.037870919922137,4.532599493153256,5.7899601708972535
treatment,MDGrey33/pyvisionai,2025-02,10,6,6,100,63,37,78,16,1.0,1,1,2025-01,1,6.0,6.0,100.0,100.0,0.0,20.0,80.0,0.2,15.0,48.0,5.0,32.0,78.0,True,both,1,0,treatment,post,0,0,4.61512051684126,3.044522437723423,4.394449154672439
treatment,MDGrey33/pyvisionai,2025-06,2,2,2,95,56,39,95,10,5.0,1,1,2025-01,0,2.0,2.0,95.0,95.0,0.0,13.0,82.0,0.1368421052631579,11.0,45.0,2.0,37.0,95.0,True,both,1,0,treatment,post,0,0,4.564348191467836,2.639057329615259,4.418840607796598
treatment,MDGrey33/pyvisionai,2025-07,3,2,2,23,19,4,22,7,6.0,1,1,2025-01,0,2.0,2.0,23.0,23.0,0.0,2.0,21.0,0.0869565217391304,2.0,17.0,0.0,4.0,22.0,True,both,1,0,treatment,post,0,0,3.1780538303479458,1.0986122886681096,3.091042453358316
treatment,Mineru98/mysql-mcp-server,2025-03,60,17,15,66,43,23,46,23,0.0,1,1,2025-03,1,15.0,15.0,66.0,66.0,0.0,14.0,52.0,0.2121212121212121,12.0,31.0,2.0,21.0,46.0,True,both,1,0,treatment,event,0,0,4.204692619390966,2.70805020110221,3.970291913552122
treatment,Multi-V-VM/MVVM,2024-01,46,7,6,47,31,16,33,7,-14.0,0,0,2025-03,0,6.0,6.0,47.0,47.0,0.0,21.0,26.0,0.4468085106382978,10.0,21.0,11.0,5.0,31.0,True,both,1,0,treatment,pre,1,1,3.8712010109078907,3.091042453358316,3.295836866004329
treatment,Multi-V-VM/MVVM,2024-02,48,24,23,269,113,156,145,20,-13.0,0,0,2025-03,0,23.0,23.0,269.0,269.0,0.0,56.0,213.0,0.20817843866171,25.0,88.0,31.0,125.0,143.0,True,both,1,0,treatment,pre,3,1,5.598421958998375,4.04305126783455,5.365976015021851
treatment,Multi-V-VM/MVVM,2024-03,20,13,12,100,45,55,61,10,-12.0,0,0,2025-03,0,12.0,12.0,100.0,100.0,0.0,8.0,92.0,0.08,5.0,40.0,3.0,52.0,60.0,True,both,1,0,treatment,pre,2,1,4.61512051684126,2.1972245773362196,4.532599493153256
treatment,Multi-V-VM/MVVM,2024-04,9,6,6,77,62,15,71,7,-11.0,0,0,2025-03,0,6.0,6.0,77.0,77.0,0.0,29.0,48.0,0.3766233766233766,27.0,35.0,2.0,13.0,71.0,True,both,1,0,treatment,pre,1,1,4.356708826689592,3.4011973816621555,3.8918202981106265
treatment,Multi-V-VM/MVVM,2024-05,8,6,6,71,32,39,57,11,-10.0,0,0,2025-03,0,6.0,6.0,71.0,71.0,0.0,8.0,63.0,0.1126760563380281,7.0,25.0,1.0,38.0,57.0,True,both,1,0,treatment,pre,1,1,4.276666119016055,2.1972245773362196,4.1588830833596715
treatment,Multi-V-VM/MVVM,2024-12,9,6,5,77,50,27,67,14,-3.0,0,0,2025-03,0,5.0,5.0,77.0,77.0,0.0,11.0,66.0,0.1428571428571428,9.0,41.0,2.0,25.0,67.0,True,both,1,0,treatment,pre,0,0,4.356708826689592,2.4849066497880004,4.204692619390966
treatment,Multi-V-VM/MVVM,2025-03,7,0,0,0,0,0,0,0,0.0,1,1,2025-03,1,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,event,0,0,0.0,0.0,0.0
treatment,Multi-V-VM/MVVM,2025-06,3,0,0,0,0,0,0,0,3.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,Multi-V-VM/MVVM,2025-07,11,1,0,0,0,0,0,0,4.0,1,1,2025-03,0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,True,left_only,0,1,treatment,post,0,0,0.0,0.0,0.0
treatment,Ody-Z/Trading_Game_Simulator,2025-02,4,3,3,50,44,6,44,7,0.0,1,1,2025-02,1,3.0,3.0,50.0,50.0,0.0,19.0,31.0,0.38,17.0,27.0,2.0,4.0,44.0,True,both,1,0,treatment,event,0,0,3.9318256327243257,2.995732273553991,3.4657359027997265
treatment,OpenMOSS/Language-Model-SAEs,2024-03,103,85,80,298,148,150,154,28,-9.0,0,0,2024-12,0,80.0,80.0,298.0,298.0,0.0,50.0,248.0,0.1677852348993288,38.0,110.0,12.0,138.0,153.0,True,both,1,0,treatment,pre,0,0,5.700443573390686,3.9318256327243257,5.517452896464707
treatment,OpenMOSS/Language-Model-SAEs,2024-04,33,21,18,92,35,57,60,13,-8.0,0,0,2024-12,0,18.0,18.0,92.0,92.0,0.0,17.0,75.0,0.1847826086956521,11.0,24.0,6.0,51.0,60.0,True,both,1,0,treatment,pre,0,0,4.532599493153256,2.8903717578961645,4.330733340286331
treatment,OpenMOSS/Language-Model-SAEs,2024-05,8,8,8,53,11,42,39,15,-7.0,0,0,2024-12,0,8.0,8.0,53.0,53.0,0.0,2.0,51.0,0.0377358490566037,2.0,9.0,0.0,42.0,37.0,True,both,1,0,treatment,pre,0,0,3.9889840465642745,1.0986122886681096,3.9512437185814275
treatment,OpenMOSS/Language-Model-SAEs,2024-06,51,43,40,974,827,147,884,111,-6.0,0,0,2024-12,0,40.0,40.0,974.0,974.0,0.0,187.0,787.0,0.1919917864476386,183.0,644.0,4.0,143.0,864.0,True,both,1,0,treatment,pre,0,0,6.882437470997847,5.236441962829949,6.669498089857879
treatment,OpenMOSS/Language-Model-SAEs,2024-07,52,41,37,166,26,140,69,19,-5.0,0,0,2024-12,0,37.0,37.0,166.0,166.0,0.0,2.0,164.0,0.0120481927710843,1.0,25.0,1.0,139.0,69.0,True,both,1,0,treatment,pre,0,0,5.117993812416755,1.0986122886681096,5.10594547390058
treatment,OpenMOSS/Language-Model-SAEs,2024-08,28,23,23,259,169,90,235,72,-4.0,0,0,2024-12,0,23.0,23.0,259.0,259.0,0.0,17.0,242.0,0.0656370656370656,16.0,153.0,1.0,89.0,233.0,True,both,1,0,treatment,pre,0,0,5.560681631015528,2.8903717578961645,5.493061443340548
treatment,OpenMOSS/Language-Model-SAEs,2024-09,16,9,9,29,13,16,23,7,-3.0,0,0,2024-12,0,9.0,9.0,29.0,29.0,0.0,0.0,29.0,0.0,0.0,13.0,0.0,16.0,23.0,True,both,1,0,treatment,pre,0,0,3.4011973816621555,0.0,3.4011973816621555
treatment,OpenMOSS/Language-Model-SAEs,2024-10,24,13,5,86,14,72,59,19,-2.0,0,0,2024-12,0,5.0,5.0,86.0,86.0,0.0,2.0,84.0,0.0232558139534883,0.0,14.0,2.0,70.0,55.0,True,both,1,0,treatment,pre,0,0,4.465908118654584,1.0986122886681096,4.442651256490317
treatment,OpenMOSS/Language-Model-SAEs,2024-11,15,9,5,92,34,58,85,18,-1.0,0,0,2024-12,0,5.0,5.0,92.0,92.0,0.0,10.0,82.0,0.108695652173913,6.0,28.0,4.0,54.0,81.0,True,both,1,0,treatment,pre,0,0,4.532599493153256,2.3978952727983707,4.418840607796598
treatment,OpenMOSS/Language-Model-SAEs,2024-12,38,31,30,295,140,155,192,32,0.0,1,1,2024-12,1,30.0,30.0,295.0,295.0,0.0,31.0,264.0,0.1050847457627118,28.0,112.0,3.0,152.0,190.0,True,both,1,0,treatment,event,0,0,5.69035945432406,3.4657359027997265,5.579729825986222
treatment,OpenMOSS/Language-Model-SAEs,2025-01,82,77,67,522,217,305,302,33,1.0,1,1,2024-12,1,67.0,67.0,522.0,522.0,0.0,66.0,456.0,0.1264367816091954,48.0,169.0,18.0,287.0,289.0,True,both,1,0,treatment,post,2,1,6.259581464064923,4.204692619390966,6.124683390894205
treatment,OpenMOSS/Language-Model-SAEs,2025-02,46,46,37,274,114,160,161,21,2.0,1,1,2024-12,0,37.0,37.0,274.0,274.0,0.0,37.0,237.0,0.1350364963503649,31.0,83.0,6.0,154.0,150.0,True,both,1,0,treatment,post,6,1,5.616771097666572,3.6375861597263857,5.472270673671475
treatment,OpenMOSS/Language-Model-SAEs,2025-03,24,22,18,138,48,90,98,16,3.0,1,1,2024-12,0,18.0,18.0,138.0,138.0,0.0,19.0,119.0,0.1376811594202898,15.0,33.0,4.0,86.0,94.0,True,both,1,0,treatment,post,2,1,4.9344739331306915,2.995732273553991,4.787491742782046
treatment,OpenMOSS/Language-Model-SAEs,2025-04,31,24,23,281,110,171,200,26,4.0,1,1,2024-12,1,23.0,23.0,281.0,281.0,0.0,15.0,266.0,0.0533807829181494,11.0,99.0,4.0,167.0,190.0,True,both,1,0,treatment,post,2,1,5.641907070938114,2.772588722239781,5.58724865840025
treatment,OpenMOSS/Language-Model-SAEs,2025-05,53,44,43,364,147,217,239,27,5.0,1,1,2024-12,0,43.0,43.0,364.0,364.0,0.0,69.0,295.0,0.1895604395604395,58.0,89.0,11.0,206.0,232.0,True,both,1,0,treatment,post,1,1,5.8998973535824915,4.248495242049359,5.69035945432406
treatment,OpenMOSS/Language-Model-SAEs,2025-06,60,51,45,331,92,239,173,26,6.0,1,1,2024-12,1,45.0,45.0,331.0,331.0,0.0,57.0,274.0,0.1722054380664652,31.0,61.0,26.0,213.0,171.0,True,both,1,0,treatment,post,0,0,5.805134968916488,4.060443010546419,5.616771097666572
treatment,OpenMOSS/Language-Model-SAEs,2025-07,50,48,45,509,268,241,365,44,7.0,1,1,2024-12,0,45.0,45.0,509.0,509.0,0.0,53.0,456.0,0.1041257367387033,34.0,234.0,19.0,222.0,349.0,True,both,1,0,treatment,post,6,1,6.234410725718371,3.9889840465642745,6.124683390894205
treatment,OpenMOSS/Language-Model-SAEs,2025-08,31,22,20,205,50,155,145,37,8.0,1,1,2024-12,0,20.0,20.0,205.0,205.0,0.0,18.0,187.0,0.0878048780487804,9.0,41.0,9.0,146.0,142.0,True,both,1,0,treatment,post,0,0,5.327876168789581,2.9444389791664403,5.236441962829949
treatment,OpenSPP/openspp-modules,2024-01,59,48,30,66,50,16,66,62,-14.0,0,0,2025-03,0,30.0,30.0,66.0,66.0,0.0,1.0,65.0,0.0151515151515151,0.0,50.0,1.0,15.0,66.0,True,both,1,0,treatment,pre,0,0,4.204692619390966,0.6931471805599453,4.189654742026425
treatment,OpenSPP/openspp-modules,2024-02,108,65,40,266,102,164,219,94,-13.0,0,0,2025-03,0,40.0,40.0,266.0,266.0,0.0,55.0,211.0,0.206766917293233,38.0,64.0,17.0,147.0,219.0,True,both,1,0,treatment,pre,0,0,5.58724865840025,4.02535169073515,5.356586274672012
treatment,OpenSPP/openspp-modules,2024-03,73,55,27,101,69,32,83,23,-12.0,0,0,2025-03,0,27.0,27.0,101.0,101.0,0.0,17.0,84.0,0.1683168316831683,11.0,58.0,6.0,26.0,83.0,True,both,1,0,treatment,pre,0,0,4.624972813284271,2.8903717578961645,4.442651256490317
treatment,OpenSPP/openspp-modules,2024-04,114,97,58,505,431,74,448,91,-11.0,0,0,2025-03,0,58.0,58.0,505.0,505.0,0.0,101.0,404.0,0.2,79.0,352.0,22.0,52.0,448.0,True,both,1,0,treatment,pre,0,0,6.226536669287466,4.624972813284271,6.003887067106539
treatment,OpenSPP/openspp-modules,2024-05,154,31,20,120,61,59,110,50,-10.0,0,0,2025-03,0,20.0,20.0,120.0,120.0,0.0,19.0,101.0,0.1583333333333333,14.0,47.0,5.0,54.0,110.0,True,both,1,0,treatment,pre,0,0,4.795790545596741,2.995732273553991,4.624972813284271
treatment,OpenSPP/openspp-modules,2024-06,18,9,9,35,16,19,35,12,-9.0,0,0,2025-03,0,9.0,9.0,35.0,35.0,0.0,4.0,31.0,0.1142857142857142,1.0,15.0,3.0,16.0,35.0,True,both,1,0,treatment,pre,0,0,3.58351893845611,1.6094379124341003,3.4657359027997265
treatment,OpenSPP/openspp-modules,2024-07,60,31,25,128,103,25,124,39,-8.0,0,0,2025-03,0,25.0,25.0,128.0,128.0,0.0,15.0,113.0,0.1171875,14.0,89.0,1.0,24.0,124.0,True,both,1,0,treatment,pre,0,0,4.859812404361672,2.772588722239781,4.736198448394496
treatment,OpenSPP/openspp-modules,2024-08,183,70,43,125,33,92,97,40,-7.0,0,0,2025-03,0,43.0,43.0,125.0,125.0,0.0,18.0,107.0,0.144,4.0,29.0,14.0,78.0,97.0,True,both,1,0,treatment,pre,0,0,4.836281906951478,2.9444389791664403,4.68213122712422
treatment,OpenSPP/openspp-modules,2024-09,138,93,65,262,187,75,189,53,-6.0,0,0,2025-03,0,65.0,65.0,262.0,262.0,0.0,57.0,205.0,0.2175572519083969,48.0,139.0,9.0,66.0,189.0,True,both,1,0,treatment,pre,0,0,5.572154032177765,4.060443010546419,5.327876168789581
treatment,OpenSPP/openspp-modules,2024-10,151,119,91,333,176,157,223,57,-5.0,0,0,2025-03,0,91.0,91.0,333.0,333.0,0.0,59.0,274.0,0.1771771771771771,50.0,126.0,9.0,148.0,223.0,True,both,1,0,treatment,pre,0,0,5.8111409929767,4.0943445622221,5.616771097666572
treatment,OpenSPP/openspp-modules,2024-11,136,44,29,376,315,61,342,55,-4.0,0,0,2025-03,0,29.0,29.0,376.0,376.0,0.0,107.0,269.0,0.2845744680851064,99.0,216.0,8.0,53.0,342.0,True,both,1,0,treatment,pre,0,0,5.932245187448011,4.68213122712422,5.598421958998375
treatment,OpenSPP/openspp-modules,2024-12,46,27,15,75,60,15,69,23,-3.0,0,0,2025-03,0,15.0,15.0,75.0,75.0,0.0,15.0,60.0,0.2,15.0,45.0,0.0,15.0,69.0,True,both,1,0,treatment,pre,0,0,4.330733340286331,2.772588722239781,4.110873864173311
treatment,OpenSPP/openspp-modules,2025-01,63,44,29,118,84,34,102,30,-2.0,0,0,2025-03,0,29.0,29.0,118.0,118.0,0.0,26.0,92.0,0.2203389830508474,21.0,63.0,5.0,29.0,102.0,True,both,1,0,treatment,pre,0,0,4.77912349311153,3.295836866004329,4.532599493153256
treatment,OpenSPP/openspp-modules,2025-02,110,62,53,341,231,110,276,50,-1.0,0,0,2025-03,0,53.0,53.0,341.0,341.0,0.0,47.0,294.0,0.1378299120234604,34.0,197.0,13.0,97.0,276.0,True,both,1,0,treatment,pre,0,0,5.834810737062605,3.8712010109078907,5.68697535633982
treatment,OpenSPP/openspp-modules,2025-03,32,12,6,86,83,3,85,13,0.0,1,1,2025-03,1,6.0,6.0,86.0,86.0,0.0,17.0,69.0,0.1976744186046511,16.0,67.0,1.0,2.0,85.0,True,both,1,0,treatment,event,0,0,4.465908118654584,2.8903717578961645,4.248495242049359
