treatment_repo,treatment_month,event_month,time_to_event,in_event_window,original_control_slots,python_eligible_controls,no_python_controls,snapshot_unknown_controls,missing_clone_controls,missing_monthly_history_controls,no_prior_snapshot_controls,exact_month_python_controls,prior_asof_python_controls,has_any_python_control,has_all_three_python_controls,coverage_class,eligible_snapshot_age_min_months,eligible_snapshot_age_median_months,eligible_snapshot_age_max_months,python_eligible_control_repos,no_python_control_repos,unavailable_or_unknown_control_repos,stable_python_control_count_event_window
ericmjl/pyds-cli,2025-01,2024-11,2.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,10,28.0,42,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2025-02,2024-11,3.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,11,29.0,43,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2025-03,2024-11,4.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,12,30.0,44,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericmjl/pyds-cli,2025-04,2024-11,5.0,1,3,3,0,0,0,0,0,0,3,1,1,3_of_3,13,31.0,45,YangDi666/UNIK | krishpranav/socialosint | weizequan/TASHR,,,3
ericyuegu/hal,2024-05,2025-02,-9.0,0,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2024-06,2025-02,-8.0,0,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2024-07,2025-02,-7.0,0,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2024-08,2025-02,-6.0,1,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2024-09,2025-02,-5.0,1,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2024-10,2025-02,-4.0,1,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2024-11,2025-02,-3.0,1,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2024-12,2025-02,-2.0,1,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2025-01,2025-02,-1.0,1,3,0,0,0,0,0,3,0,0,0,0,0_of_3,,,,,,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,0
ericyuegu/hal,2025-02,2025-02,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,0
ericyuegu/hal,2025-03,2025-02,1.0,1,3,3,0,0,0,0,0,2,1,1,1,3_of_3,0,0.0,1,LuneMods/KCD2-Blender-Toolkit | MIT-Emerging-Talent/ET6-edXtras | ninareyes1/Simple-Digital-Clock,,,0
ericzakariasson/uber-eats-mcp-server,2025-03,2025-03,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,aws/nova-act | cyb3rfortr3ss/ByDeF | vonssy/DreamerQuests-BOT,,,3
ethyca/fides,2024-01,2025-03,-14.0,0,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,1.5,3,lancedb/lancedb | pieces-app/cli-agent,,microsoft/semantic-link-labs,3
ethyca/fides,2024-02,2025-03,-13.0,0,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,2.0,4,lancedb/lancedb | pieces-app/cli-agent,,microsoft/semantic-link-labs,3
ethyca/fides,2024-03,2025-03,-12.0,0,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,2.5,5,lancedb/lancedb | pieces-app/cli-agent,,microsoft/semantic-link-labs,3
ethyca/fides,2024-04,2025-03,-11.0,0,3,2,0,0,0,0,1,2,0,1,0,2_of_3,0,0.0,0,lancedb/lancedb | pieces-app/cli-agent,,microsoft/semantic-link-labs,3
ethyca/fides,2024-05,2025-03,-10.0,0,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2024-06,2025-03,-9.0,0,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2024-07,2025-03,-8.0,0,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2024-08,2025-03,-7.0,0,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2024-09,2025-03,-6.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2024-10,2025-03,-5.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2024-11,2025-03,-4.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2024-12,2025-03,-3.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2025-01,2025-03,-2.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2025-02,2025-03,-1.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2025-03,2025-03,0.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
ethyca/fides,2025-04,2025-03,1.0,1,3,3,0,0,0,0,0,3,0,1,1,3_of_3,0,0.0,0,lancedb/lancedb | microsoft/semantic-link-labs | pieces-app/cli-agent,,,3
