treatment_repo,control_rank,control_repo,event_window_min,event_window_max,treatment_python_months_observed_in_window,control_python_eligible_months,control_no_python_months,control_unknown_or_unavailable_months,stable_python_for_observed_treatment_months,eligible_snapshot_age_max_months
raphaelmansuy/code2prompt,2,odoo/industry,-6,6,11,11,0,0,1,9
raphaelmansuy/code2prompt,3,thefatedefeater/V2ray-Config,-6,6,11,8,0,3,0,0
raphaelmansuy/iteration_of_tought,1,MingSun-Tse/LightAvatar-TensorFlow,-6,6,1,1,0,0,1,0
raphaelmansuy/iteration_of_tought,2,FMInference/FlexiGen,-6,6,1,1,0,0,1,0
raphaelmansuy/iteration_of_tought,3,dottxt-ai/prompts,-6,6,1,1,0,0,1,0
samuelgursky/davinci-resolve-mcp,1,aws/nova-act,-6,6,2,2,0,0,1,0
samuelgursky/davinci-resolve-mcp,2,cyb3rfortr3ss/ByDeF,-6,6,2,2,0,0,1,1
samuelgursky/davinci-resolve-mcp,3,vonssy/DreamerQuests-BOT,-6,6,2,2,0,0,1,0
sbomify/sbomify,1,ali-bahrainian/RAG_best_practices,-6,6,7,7,0,0,1,4
sbomify/sbomify,2,MrTimonM/Arichain-Bot,-6,6,7,7,0,0,1,6
sbomify/sbomify,3,yihozhang/most-influential-pl-papers,-6,6,7,7,0,0,1,6
sirkirby/unifi-network-rules,1,microsoft/semantic-link-labs,-6,6,11,11,0,0,1,0
sirkirby/unifi-network-rules,2,lancedb/lancedb,-6,6,11,11,0,0,1,0
sirkirby/unifi-network-rules,3,pieces-app/cli-agent,-6,6,11,11,0,0,1,0
smartian1/tgtrader,1,tusgino/llm-code-reviewer,-6,6,5,5,0,0,1,5
smartian1/tgtrader,2,SEU-ProactiveSecurity-Group/LLM-PD,-6,6,5,4,1,0,0,2
smartian1/tgtrader,3,xnl-h4ck3r/getSubsidiaries,-6,6,5,5,0,0,1,4
smorin/py-launch-blueprint,1,zhou19830318/xiaozhi_micropython,-6,6,6,5,0,1,0,2
smorin/py-launch-blueprint,2,zhang-xr/FirmLLM,-6,6,6,5,0,1,0,2
smorin/py-launch-blueprint,3,zju3dv/ready_to_react,-6,6,6,5,0,1,0,3
sshtunnelvision/MCP-LOGO-GEN,1,aws/nova-act,-6,6,1,1,0,0,1,0
sshtunnelvision/MCP-LOGO-GEN,2,cyb3rfortr3ss/ByDeF,-6,6,1,1,0,0,1,0
sshtunnelvision/MCP-LOGO-GEN,3,vonssy/DreamerQuests-BOT,-6,6,1,1,0,0,1,0
synaptiai/prompt-decorators,1,aws/nova-act,-6,6,7,6,0,1,0,0
synaptiai/prompt-decorators,2,cyb3rfortr3ss/ByDeF,-6,6,7,6,0,1,0,3
synaptiai/prompt-decorators,3,vonssy/DreamerQuests-BOT,-6,6,7,6,0,1,0,2
terryyin/lizard,1,jrowellfx/lsseq,-6,6,13,13,0,0,1,9
terryyin/lizard,2,monero-project/meta,-6,6,13,13,0,0,1,47
terryyin/lizard,3,yousseb/meld,-6,6,13,13,0,0,1,20
tmux-python/tmuxp,1,bannsec/stegoVeritas,-6,6,12,12,0,0,1,25
tmux-python/tmuxp,2,AlexIoannides/pyspark-example-project,-6,6,12,12,0,0,1,48
tmux-python/tmuxp,3,FlipperPA/peregrine,-6,6,12,12,0,0,1,27
tony/django-docutils,1,joereynolds/reap-get,-6,6,12,12,0,0,1,103
tony/django-docutils,2,The-Compiler/pytest-vw,-6,6,12,12,0,0,1,64
tony/django-docutils,3,R0uter/ss.conf-for-surge,-6,6,12,12,0,0,1,13
tony/django-slugify-processor,1,aws-samples/aws-dms-cdc-data-pipeline,-6,6,12,12,0,0,1,7
tony/django-slugify-processor,2,Cjy-CN/PUBGRecognizeAndGunpress,-6,6,12,12,0,0,1,37
tony/django-slugify-processor,3,LGro/PyAPSI,-6,6,12,12,0,0,1,16
trycua/cua,1,aws/nova-act,-6,6,6,6,0,0,1,0
trycua/cua,2,cyb3rfortr3ss/ByDeF,-6,6,6,6,0,0,1,3
trycua/cua,3,vonssy/DreamerQuests-BOT,-6,6,6,6,0,0,1,2
tsukumijima/KonomiTV,1,chenjie/PyTorch-CIFAR-10-autoencoder,-6,6,13,13,0,0,1,78
