dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,function_change_events,added_function_events,modified_function_events,unique_changed_functions,unique_changed_files
control,bropines/chrome-lens-py,2025-03,24,14,6,63,16,47,51,6
control,bropines/chrome-lens-py,2025-06,13,6,5,80,43,37,44,12
control,bropines/chrome-lens-py,2025-08,7,4,2,7,1,6,5,2
control,caffeinedoom/reconthing,2024-11,3,1,1,87,87,0,87,19
control,cyb3rfortr3ss/ByDeF,2025-03,6,1,0,0,0,0,0,0
control,cyb3rfortr3ss/ByDeF,2025-05,7,1,1,12,12,0,12,1
control,davidhandsome86/LLM_RAG,2024-02,3,1,1,5,5,0,5,3
control,davidhandsome86/LLM_RAG,2024-03,1,0,0,0,0,0,0,0
control,daxa-ai/pebblo,2024-01,133,56,41,178,90,88,112,36
control,daxa-ai/pebblo,2024-02,74,25,23,139,86,53,102,23
control,daxa-ai/pebblo,2024-03,46,25,23,144,49,95,102,29
control,daxa-ai/pebblo,2024-04,33,14,12,57,23,34,51,22
control,daxa-ai/pebblo,2024-05,21,10,9,84,42,42,71,23
control,daxa-ai/pebblo,2024-06,5,2,2,16,14,2,16,6
control,daxa-ai/pebblo,2024-07,40,17,15,127,52,75,90,30
control,daxa-ai/pebblo,2024-08,32,17,15,188,99,89,162,39
control,daxa-ai/pebblo,2024-09,54,24,23,206,84,122,158,39
control,daxa-ai/pebblo,2024-10,7,3,2,35,28,7,35,7
control,daxa-ai/pebblo,2024-11,1,1,1,10,10,0,10,4
control,daxa-ai/pebblo,2025-02,4,1,1,52,37,15,52,16
control,daxa-ai/pebblo,2025-06,2,1,1,12,12,0,12,4
control,dimatura/pypcd,2024-06,1,1,0,0,0,0,0,0
control,dimatura/pypcd,2024-07,0,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-03,4,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-04,2,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-05,33,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-06,30,1,1,1,1,0,1,1
control,djeada/Kurs-Podstaw-Pythona,2024-07,22,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-08,1,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-09,33,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-10,4,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-11,24,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2024-12,12,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2025-01,18,0,0,0,0,0,0,0
control,djeada/Kurs-Podstaw-Pythona,2025-05,3,0,0,0,0,0,0,0
control,dottxt-ai/prompts,2024-07,13,5,5,38,27,11,27,3
control,dottxt-ai/prompts,2024-08,1,0,0,0,0,0,0,0
control,dottxt-ai/prompts,2024-09,7,5,4,21,6,15,19,2
control,dottxt-ai/prompts,2025-07,2,0,0,0,0,0,0,0
control,dromara/domain-admin,2024-01,27,20,14,113,88,25,102,40
control,dromara/domain-admin,2024-02,34,30,19,73,36,37,65,28
control,dromara/domain-admin,2024-03,20,13,8,46,23,23,41,16
control,dromara/domain-admin,2024-04,28,24,12,25,7,18,19,14
control,dromara/domain-admin,2024-05,9,3,2,8,5,3,8,3
control,dromara/domain-admin,2024-06,20,14,9,62,31,31,52,15
control,dromara/domain-admin,2024-07,36,27,17,312,32,280,201,47
control,dromara/domain-admin,2024-08,8,6,4,53,43,10,53,13
control,dromara/domain-admin,2024-09,28,8,4,21,9,12,18,11
control,dromara/domain-admin,2024-10,24,6,3,22,13,9,22,7
control,dromara/domain-admin,2024-11,20,15,6,27,8,19,27,11
control,dromara/domain-admin,2024-12,6,3,1,1,0,1,1,1
control,dromara/domain-admin,2025-02,3,2,1,1,0,1,1,1
control,dromara/domain-admin,2025-03,2,2,1,2,0,2,2,2
control,dromara/domain-admin,2025-04,2,2,1,4,3,1,4,2
control,dromara/domain-admin,2025-06,7,5,3,12,11,1,12,5
control,dromara/domain-admin,2025-07,7,4,2,8,0,8,6,2
control,dromara/domain-admin,2025-08,3,2,2,3,1,2,3,3
control,dymmond/edgy,2024-01,36,30,18,370,288,82,346,69
control,dymmond/edgy,2024-02,2,1,0,0,0,0,0,0
control,dymmond/edgy,2024-04,10,7,3,15,10,5,12,7
control,dymmond/edgy,2024-05,17,11,8,340,261,79,330,62
control,dymmond/edgy,2024-06,13,10,9,548,330,218,482,73
control,dymmond/edgy,2024-07,1,0,0,0,0,0,0,0
control,dymmond/edgy,2024-08,15,11,9,617,156,461,544,179
control,dymmond/edgy,2024-09,14,14,13,1426,418,1008,997,276
control,dymmond/edgy,2024-10,31,29,24,570,231,339,452,93
control,dymmond/edgy,2024-11,14,14,10,242,72,170,230,89
control,dymmond/edgy,2024-12,13,8,7,67,39,28,64,28
control,dymmond/edgy,2025-01,21,16,15,401,208,193,369,100
control,dymmond/edgy,2025-02,15,14,12,134,79,55,129,39
control,dymmond/edgy,2025-03,14,12,12,240,133,107,212,57
control,dymmond/edgy,2025-04,10,10,10,386,80,306,350,184
control,dymmond/edgy,2025-05,11,11,10,557,90,467,464,93
control,dymmond/edgy,2025-06,6,6,5,94,42,52,87,31
control,dymmond/edgy,2025-07,19,16,15,1177,62,1115,1065,134
control,emresen20/Pau-Bilgisayar-nots,2024-03,10,0,0,0,0,0,0,0
control,emresen20/Pau-Bilgisayar-nots,2024-04,3,0,0,0,0,0,0,0
control,emresen20/Pau-Bilgisayar-nots,2024-05,4,0,0,0,0,0,0,0
control,emresen20/Pau-Bilgisayar-nots,2024-06,7,1,1,6,6,0,6,2
control,emresen20/Pau-Bilgisayar-nots,2024-07,2,0,0,0,0,0,0,0
control,emresen20/Pau-Bilgisayar-nots,2024-12,2,1,1,4,4,0,4,1
control,evermoving/SystemCaptioner,2024-10,108,62,52,188,73,115,73,8
control,evermoving/SystemCaptioner,2024-11,8,3,3,5,1,4,4,1
control,evermoving/SystemCaptioner,2024-12,1,0,0,0,0,0,0,0
control,evermoving/SystemCaptioner,2025-08,2,0,0,0,0,0,0,0
control,golemfoundation/octant,2024-01,172,56,52,504,247,257,370,153
control,golemfoundation/octant,2024-02,107,16,14,132,63,69,117,44
control,golemfoundation/octant,2024-03,177,47,39,673,355,318,495,152
control,golemfoundation/octant,2024-04,325,102,85,466,181,285,296,111
control,golemfoundation/octant,2024-05,114,61,48,413,181,232,317,123
control,golemfoundation/octant,2024-06,149,87,77,512,243,269,288,104
control,golemfoundation/octant,2024-07,126,31,23,150,43,107,128,58
control,golemfoundation/octant,2024-08,92,30,30,88,38,50,48,17
control,golemfoundation/octant,2024-09,113,16,15,138,68,70,126,61
control,golemfoundation/octant,2024-10,179,21,15,334,223,111,310,112
control,golemfoundation/octant,2024-11,101,10,8,20,2,18,17,9
control,golemfoundation/octant,2024-12,162,24,18,255,137,118,160,58
control,golemfoundation/octant,2025-01,123,28,18,198,116,82,183,84
control,golemfoundation/octant,2025-02,37,24,18,246,149,97,209,87
control,golemfoundation/octant,2025-03,167,88,70,376,224,152,240,70
control,golemfoundation/octant,2025-04,159,132,110,492,196,296,190,58
control,golemfoundation/octant,2025-05,70,61,59,304,177,127,161,66
control,golemfoundation/octant,2025-06,23,9,7,97,4,93,93,23
control,golemfoundation/octant,2025-07,24,10,6,9,5,4,6,4
control,golemfoundation/octant,2025-08,6,0,0,0,0,0,0,0
control,infected4098/Wave-U-Mamba,2024-09,51,19,16,75,68,7,68,9
control,infected4098/Wave-U-Mamba,2024-10,1,0,0,0,0,0,0,0
control,infected4098/Wave-U-Mamba,2024-12,1,0,0,0,0,0,0,0
control,infected4098/Wave-U-Mamba,2025-02,4,2,2,3,0,3,3,2
control,infected4098/Wave-U-Mamba,2025-05,3,0,0,0,0,0,0,0
control,infected4098/Wave-U-Mamba,2025-06,1,0,0,0,0,0,0,0
control,infected4098/Wave-U-Mamba,2025-08,12,4,3,23,19,4,19,1
control,itsKayWat/MindfulShift-2025,2024-12,12,4,3,23,23,0,23,3
control,jacebrowning/datafiles,2024-01,3,2,2,22,7,15,22,2
control,jacebrowning/datafiles,2024-03,1,0,0,0,0,0,0,0
control,jacebrowning/datafiles,2024-05,17,3,2,6,4,2,6,4
control,jacebrowning/datafiles,2024-07,10,0,0,0,0,0,0,0
control,jacebrowning/datafiles,2024-08,2,0,0,0,0,0,0,0
control,jacebrowning/datafiles,2024-10,1,1,1,7,5,2,7,2
control,jacebrowning/datafiles,2024-11,2,0,0,0,0,0,0,0
control,jacebrowning/datafiles,2025-02,9,3,3,13,0,13,12,7
control,jacebrowning/datafiles,2025-04,3,0,0,0,0,0,0,0
control,jacebrowning/datafiles,2025-05,2,0,0,0,0,0,0,0
control,jacebrowning/datafiles,2025-06,2,0,0,0,0,0,0,0
control,jacebrowning/datafiles,2025-07,1,0,0,0,0,0,0,0
control,jfcrenshaw/pzflow,2024-02,2,2,2,4,0,4,4,3
control,jfcrenshaw/pzflow,2024-05,1,0,0,0,0,0,0,0
control,jfcrenshaw/pzflow,2025-02,1,0,0,0,0,0,0,0
control,jfcrenshaw/pzflow,2025-03,3,2,2,7,2,5,7,3
control,jinli99/iShapEditing,2024-03,2,2,2,706,685,21,685,31
control,jinli99/iShapEditing,2024-11,6,1,1,15,3,12,15,4
control,jinli99/iShapEditing,2025-03,1,0,0,0,0,0,0,0
control,jrowellfx/lsseq,2024-08,1,1,0,0,0,0,0,0
control,jrowellfx/lsseq,2024-09,6,2,1,1,0,1,1,1
control,jrowellfx/lsseq,2025-01,7,3,2,2,0,2,2,1
control,jrowellfx/lsseq,2025-02,20,1,0,0,0,0,0,0
control,jrowellfx/lsseq,2025-03,1,0,0,0,0,0,0,0
control,jrowellfx/lsseq,2025-05,3,0,0,0,0,0,0,0
control,jrowellfx/lsseq,2025-06,9,3,1,1,0,1,1,1
control,jrowellfx/lsseq,2025-07,10,5,5,9,1,8,3,1
control,kangtegong/pyftrace,2024-10,3,1,1,42,42,0,42,13
control,kangtegong/pyftrace,2024-11,43,33,27,161,86,75,95,13
control,kangtegong/pyftrace,2024-12,8,6,3,12,0,12,8,4
control,kangtegong/pyftrace,2025-03,5,3,2,20,2,18,11,4
control,kuleshov-group/caduceus,2024-02,5,3,3,359,357,2,357,35
control,kuleshov-group/caduceus,2024-03,11,2,2,5,0,5,5,2
control,kuleshov-group/caduceus,2024-04,2,1,1,18,18,0,18,1
control,kuleshov-group/caduceus,2024-05,1,0,0,0,0,0,0,0
control,kuleshov-group/caduceus,2024-06,3,1,1,2,1,1,2,1
control,kuleshov-group/caduceus,2024-08,1,0,0,0,0,0,0,0
control,kuleshov-group/caduceus,2024-10,4,4,1,1,0,1,1,1
control,kuleshov-group/caduceus,2025-01,1,1,1,1,0,1,1,1
control,kuleshov-group/caduceus,2025-05,1,1,1,3,0,3,3,1
control,kuleshov-group/caduceus,2025-06,2,0,0,0,0,0,0,0
control,lancedb/lancedb,2024-04,485,147,139,987,479,508,643,80
control,lancedb/lancedb,2024-05,70,13,10,29,9,20,29,16
control,lancedb/lancedb,2024-06,43,6,5,26,15,11,26,9
control,lancedb/lancedb,2024-07,69,17,17,79,32,47,70,20
control,lancedb/lancedb,2024-08,59,21,20,173,45,128,131,26
control,lancedb/lancedb,2024-09,63,27,25,128,59,69,112,31
control,lancedb/lancedb,2024-10,50,9,9,55,29,26,54,17
control,lancedb/lancedb,2024-11,87,23,23,189,83,106,156,28
control,lancedb/lancedb,2024-12,90,23,22,279,95,184,255,24
control,lancedb/lancedb,2025-01,89,27,24,210,88,122,176,27
control,lancedb/lancedb,2025-02,77,16,16,128,51,77,123,27
control,lancedb/lancedb,2025-03,85,20,18,149,41,108,138,19
control,lancedb/lancedb,2025-04,104,18,17,207,93,114,196,30
control,lancedb/lancedb,2025-05,64,7,7,86,5,81,72,9
control,lancedb/lancedb,2025-06,46,7,7,59,30,29,57,9
control,lancedb/lancedb,2025-07,54,17,15,62,16,46,60,24
control,lancedb/lancedb,2025-08,36,11,11,185,110,75,170,18
control,loml13yyy/AtlassianConfluence-RCE,2024-10,7,4,2,4,3,1,3,1
control,loml13yyy/yyGRPU8,2024-10,6,3,2,4,3,1,3,1
control,markmelnic/stealthenium,2024-08,1,1,1,22,22,0,22,18
control,markmelnic/stealthenium,2024-10,2,0,0,0,0,0,0,0
control,markmelnic/stealthenium,2025-02,1,1,1,1,0,1,1,1
control,microsoft/AzureTRE,2024-01,6,3,2,102,15,87,102,50
control,microsoft/AzureTRE,2024-02,13,2,1,2,1,1,2,2
control,microsoft/AzureTRE,2024-03,2,1,0,0,0,0,0,0
control,microsoft/AzureTRE,2024-04,8,1,0,0,0,0,0,0
control,microsoft/AzureTRE,2024-05,10,4,3,10,3,7,10,4
control,microsoft/AzureTRE,2024-06,12,2,2,6,2,4,6,3
control,microsoft/AzureTRE,2024-07,7,1,0,0,0,0,0,0
control,microsoft/AzureTRE,2024-08,15,4,0,0,0,0,0,0
control,microsoft/AzureTRE,2024-09,8,1,0,0,0,0,0,0
control,microsoft/AzureTRE,2024-10,2,1,1,49,19,30,49,9
control,microsoft/AzureTRE,2024-11,18,3,1,4,3,1,4,2
control,microsoft/AzureTRE,2024-12,34,7,2,20,3,17,20,6
control,microsoft/AzureTRE,2025-01,11,1,0,0,0,0,0,0
control,microsoft/AzureTRE,2025-02,39,8,5,59,43,16,59,12
control,microsoft/AzureTRE,2025-03,16,1,1,1,0,1,1,1
control,microsoft/AzureTRE,2025-04,22,5,4,78,47,31,78,18
control,microsoft/AzureTRE,2025-05,26,2,2,6,1,5,6,5
control,microsoft/AzureTRE,2025-06,17,2,1,4,0,4,4,4
control,microsoft/AzureTRE,2025-07,18,3,2,18,10,8,18,7
control,microsoft/semantic-link-labs,2024-05,22,7,7,416,225,191,227,48
control,microsoft/semantic-link-labs,2024-06,29,22,18,1042,181,861,606,118
control,microsoft/semantic-link-labs,2024-07,52,51,46,295,41,254,172,38
control,microsoft/semantic-link-labs,2024-08,129,124,114,471,175,296,262,37
control,microsoft/semantic-link-labs,2024-09,161,151,138,541,147,394,288,60
control,microsoft/semantic-link-labs,2024-10,109,98,90,345,43,302,215,64
control,microsoft/semantic-link-labs,2024-11,76,73,69,302,69,233,211,58
control,microsoft/semantic-link-labs,2024-12,110,105,92,660,60,600,350,81
control,microsoft/semantic-link-labs,2025-01,111,93,84,726,38,688,306,73
control,microsoft/semantic-link-labs,2025-02,114,107,100,600,405,195,512,109
control,microsoft/semantic-link-labs,2025-03,142,136,116,342,59,283,219,78
control,microsoft/semantic-link-labs,2025-04,75,74,61,125,37,88,80,33
control,microsoft/semantic-link-labs,2025-05,83,83,73,599,282,317,334,22
control,microsoft/semantic-link-labs,2025-06,69,65,56,459,43,416,368,89
control,microsoft/semantic-link-labs,2025-07,36,35,30,137,36,101,126,55
control,microsoft/semantic-link-labs,2025-08,47,44,35,105,10,95,91,41
control,monero-project/meta,2025-05,1,0,0,0,0,0,0,0
control,neuml/rag,2024-07,7,1,1,16,16,0,16,1
control,neuml/rag,2024-08,13,6,6,14,4,10,11,1
control,neuml/rag,2024-09,1,0,0,0,0,0,0,0
control,neuml/rag,2024-10,2,0,0,0,0,0,0,0
control,neuml/rag,2024-11,2,1,1,1,0,1,1,1
control,neuml/rag,2024-12,3,1,1,2,0,2,2,1
control,neuml/rag,2025-04,2,1,1,1,0,1,1,1
control,neuml/rag,2025-05,1,1,0,0,0,0,0,0
control,nhw649/EOV-Seg,2024-06,7,2,2,226,224,2,224,28
control,nhw649/EOV-Seg,2024-08,1,1,1,10,6,4,10,4
control,nhw649/EOV-Seg,2024-12,5,3,3,25,18,7,24,11
control,ninareyes1/Simple-Digital-Clock,2025-02,1,1,0,0,0,0,0,0
control,odoo/industry,2024-08,188,103,34,80,34,46,43,10
control,odoo/industry,2024-09,39,24,13,18,3,15,11,3
control,odoo/industry,2024-10,22,13,5,11,2,9,10,4
control,odoo/industry,2024-11,25,12,5,5,0,5,4,3
control,odoo/industry,2024-12,17,9,3,19,4,15,17,2
control,odoo/industry,2025-01,18,7,1,1,0,1,1,1
control,odoo/industry,2025-02,26,14,5,7,2,5,7,3
control,odoo/industry,2025-03,17,10,3,8,0,8,6,4
control,odoo/industry,2025-04,29,10,4,8,0,8,7,5
control,odoo/industry,2025-05,16,11,2,3,2,1,3,2
control,odoo/industry,2025-06,33,22,9,29,16,13,26,9
control,odoo/industry,2025-07,46,31,8,21,14,7,19,7
control,odoo/industry,2025-08,50,30,8,26,16,10,24,6
control,omkarcloud/amazon-scraper,2024-01,3,2,1,16,16,0,16,4
control,peter279k/cdc-data-mirror,2024-01,4198,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-02,4021,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-03,3709,1,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-04,4071,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-05,4252,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-06,4053,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-07,4039,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-08,3326,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-09,1840,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-10,2018,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-11,3163,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2024-12,3725,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-01,4072,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-02,3619,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-03,3865,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-04,3462,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-05,3604,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-06,3302,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-07,3211,0,0,0,0,0,0,0
control,peter279k/cdc-data-mirror,2025-08,3340,0,0,0,0,0,0,0
control,pieces-app/cli-agent,2024-01,25,22,21,110,42,68,62,10
control,pieces-app/cli-agent,2024-02,34,10,7,151,100,51,104,13
control,pieces-app/cli-agent,2024-03,59,48,43,149,32,117,58,18
control,pieces-app/cli-agent,2024-04,56,49,44,149,32,117,67,16
control,pieces-app/cli-agent,2024-05,71,47,42,180,79,101,124,33
control,pieces-app/cli-agent,2024-06,9,7,7,26,3,23,22,9
control,pieces-app/cli-agent,2024-07,98,88,49,90,48,42,55,11
control,pieces-app/cli-agent,2024-08,38,23,15,21,14,7,15,4
control,pieces-app/cli-agent,2024-09,68,46,42,365,244,121,283,38
control,pieces-app/cli-agent,2024-10,49,47,41,129,54,75,88,27
control,pieces-app/cli-agent,2024-11,2,2,2,5,1,4,5,3
control,pieces-app/cli-agent,2024-12,5,4,4,16,7,9,13,4
control,pieces-app/cli-agent,2025-01,5,5,5,25,0,25,17,11
control,pieces-app/cli-agent,2025-02,34,23,22,59,5,54,29,14
control,pieces-app/cli-agent,2025-03,16,14,14,41,21,20,37,12
control,pieces-app/cli-agent,2025-04,46,46,44,218,73,145,126,32
control,pieces-app/cli-agent,2025-05,74,61,58,365,194,171,259,45
control,pieces-app/cli-agent,2025-06,98,59,50,9847,9479,368,5195,807
control,pieces-app/cli-agent,2025-07,110,84,82,1493,1058,435,1182,147
control,pieces-app/cli-agent,2025-08,59,55,53,658,365,293,520,62
control,plurai-ai/intellagent,2024-10,6,5,4,55,44,11,44,5
control,plurai-ai/intellagent,2024-11,68,59,57,485,261,224,317,64
control,plurai-ai/intellagent,2024-12,57,35,32,159,58,101,100,35
control,plurai-ai/intellagent,2025-01,73,23,19,89,8,81,52,33
control,plurai-ai/intellagent,2025-02,3,3,3,5,0,5,4,3
control,plurai-ai/intellagent,2025-04,2,2,2,5,1,4,5,4
control,popey/sbommage,2025-02,15,0,0,0,0,0,0,0
control,popey/sbommage,2025-08,16,3,2,30,28,2,28,2
control,qiboteam/qibojit,2024-01,31,26,22,98,25,73,48,4
control,qiboteam/qibojit,2024-02,35,27,19,48,12,36,34,8
control,qiboteam/qibojit,2024-03,34,26,22,89,10,79,33,3
control,qiboteam/qibojit,2024-04,24,6,4,12,0,12,12,3
control,qiboteam/qibojit,2024-05,6,2,2,31,7,24,31,4
control,qiboteam/qibojit,2024-06,3,2,1,1,0,1,1,1
control,qiboteam/qibojit,2024-07,3,1,1,5,1,4,5,2
control,qiboteam/qibojit,2024-08,4,1,0,0,0,0,0,0
control,qiboteam/qibojit,2024-09,13,7,5,10,1,9,8,2
control,qiboteam/qibojit,2024-10,10,3,3,3,0,3,1,1
control,qiboteam/qibojit,2024-12,1,0,0,0,0,0,0,0
control,qiboteam/qibojit,2025-01,26,21,16,53,30,23,38,4
control,qiboteam/qibojit,2025-02,42,25,19,92,61,31,66,9
control,qiboteam/qibojit,2025-03,17,5,5,8,3,5,7,3
control,qiboteam/qibojit,2025-04,13,9,7,53,4,49,52,9
control,qiboteam/qibojit,2025-05,8,6,6,18,1,17,15,2
control,qiboteam/qibojit,2025-06,7,2,2,12,5,7,7,1
control,qiboteam/qibojit,2025-08,11,8,5,6,0,6,4,3
control,ruiqini/NTFields,2024-07,1,0,0,0,0,0,0,0
control,saucer-man/qq_msg_decode,2024-06,1,1,1,2,2,0,2,1
control,slopp/30_days_of_dagster,2024-11,24,12,12,42,41,1,41,13
control,slopp/30_days_of_dagster,2024-12,33,29,26,98,90,8,93,26
control,stakewise/v3-operator,2024-01,15,5,4,10,2,8,10,9
control,stakewise/v3-operator,2024-02,6,2,2,6,1,5,6,5
control,stakewise/v3-operator,2024-03,3,3,3,162,82,80,142,46
control,stakewise/v3-operator,2024-04,14,7,7,23,3,20,16,11
control,stakewise/v3-operator,2024-05,7,4,3,17,10,7,17,11
control,stakewise/v3-operator,2024-06,9,4,3,9,0,9,8,8
control,stakewise/v3-operator,2024-07,21,9,7,72,35,37,67,23
control,stakewise/v3-operator,2024-08,20,14,14,99,17,82,75,36
control,stakewise/v3-operator,2024-09,14,10,9,28,4,24,22,16
control,stakewise/v3-operator,2024-10,5,3,3,15,8,7,14,5
control,stakewise/v3-operator,2024-11,12,6,6,22,6,16,22,10
control,stakewise/v3-operator,2024-12,6,3,3,30,21,9,30,10
control,stakewise/v3-operator,2025-01,6,5,5,44,19,25,44,12
control,stakewise/v3-operator,2025-02,5,4,3,13,1,12,13,9
control,stakewise/v3-operator,2025-04,3,2,2,12,0,12,12,7
control,stakewise/v3-operator,2025-05,7,4,4,9,1,8,9,8
control,stakewise/v3-operator,2025-06,1,1,1,1,0,1,1,1
control,stakewise/v3-operator,2025-07,5,4,4,17,0,17,16,9
control,stakewise/v3-operator,2025-08,1,0,0,0,0,0,0,0
control,taylorwilsdon/open-webui-tools,2025-02,2,2,2,33,32,1,32,1
control,taylorwilsdon/open-webui-tools,2025-03,8,5,3,42,6,36,33,1
control,taylorwilsdon/open-webui-tools,2025-04,16,7,3,15,13,2,13,1
control,taylorwilsdon/open-webui-tools,2025-05,1,1,1,1,0,1,1,1
control,thefatedefeater/V2ray-Config,2024-06,21,2,2,10,10,0,10,3
control,thefatedefeater/V2ray-Config,2024-07,734,0,0,0,0,0,0,0
control,thefatedefeater/V2ray-Config,2024-08,419,0,0,0,0,0,0,0
control,thefatedefeater/V2ray-Config,2024-09,389,0,0,0,0,0,0,0
control,thefatedefeater/V2ray-Config,2024-10,713,0,0,0,0,0,0,0
control,thefatedefeater/V2ray-Config,2024-11,690,0,0,0,0,0,0,0
control,thefatedefeater/V2ray-Config,2024-12,700,0,0,0,0,0,0,0
control,thefatedefeater/V2ray-Config,2025-01,534,0,0,0,0,0,0,0
control,thegreenwebfoundation/admin-portal,2024-01,21,10,7,14,7,7,13,7
control,thegreenwebfoundation/admin-portal,2024-02,32,11,8,14,5,9,11,8
control,thegreenwebfoundation/admin-portal,2024-03,41,28,26,86,41,45,53,12
control,thegreenwebfoundation/admin-portal,2024-04,11,11,9,50,13,37,32,10
control,thegreenwebfoundation/admin-portal,2024-05,60,20,10,51,11,40,43,8
control,thegreenwebfoundation/admin-portal,2024-06,15,1,0,0,0,0,0,0
control,thegreenwebfoundation/admin-portal,2024-07,8,4,4,35,2,33,35,6
control,thegreenwebfoundation/admin-portal,2024-08,2,1,1,1,0,1,1,1
control,thegreenwebfoundation/admin-portal,2024-09,2,0,0,0,0,0,0,0
control,thegreenwebfoundation/admin-portal,2024-10,3,1,1,6,5,1,6,2
control,thegreenwebfoundation/admin-portal,2024-11,21,9,5,7,2,5,4,4
control,thegreenwebfoundation/admin-portal,2024-12,6,4,1,1,0,1,1,1
control,thegreenwebfoundation/admin-portal,2025-01,1,1,0,0,0,0,0,0
control,thegreenwebfoundation/admin-portal,2025-02,1,0,0,0,0,0,0,0
control,thegreenwebfoundation/admin-portal,2025-03,34,19,11,52,30,22,36,10
control,thegreenwebfoundation/admin-portal,2025-04,12,3,2,18,16,2,18,6
control,thegreenwebfoundation/admin-portal,2025-05,21,14,12,47,12,35,38,15
control,thegreenwebfoundation/admin-portal,2025-06,40,19,10,169,140,29,148,29
control,thegreenwebfoundation/admin-portal,2025-07,10,8,8,66,12,54,62,27
control,thegreenwebfoundation/admin-portal,2025-08,9,6,5,10,4,6,9,6
control,tusgino/llm-code-reviewer,2024-11,32,16,14,101,61,40,61,13
control,viktoriasemaan/sa-ai-agent,2024-08,16,12,12,44,37,7,35,9
control,viktoriasemaan/sa-ai-agent,2024-10,18,5,3,10,1,9,5,2
control,vonssy/BlockBitsApp-BOT,2024-12,3,2,2,20,19,1,19,1
control,vonssy/DreamerQuests-BOT,2025-03,1,1,1,16,16,0,16,1
control,vonssy/DreamerQuests-BOT,2025-04,1,1,1,4,2,2,4,1
control,vonssy/DreamerQuests-BOT,2025-07,2,1,1,17,3,14,17,1
control,vortezwohl/Bhakti,2024-08,8,8,7,109,77,32,77,22
control,vortezwohl/Bhakti,2024-09,85,74,60,244,76,168,109,32
control,vortezwohl/Bhakti,2024-10,4,2,0,0,0,0,0,0
control,vortezwohl/Bhakti,2025-04,10,0,0,0,0,0,0,0
control,wasilukm/hoymiles-mqtt,2024-02,5,3,2,18,7,11,17,5
control,wasilukm/hoymiles-mqtt,2024-07,1,0,0,0,0,0,0,0
control,wasilukm/hoymiles-mqtt,2024-08,10,5,3,8,1,7,6,3
control,wasilukm/hoymiles-mqtt,2024-09,4,2,1,6,2,4,6,3
control,wasilukm/hoymiles-mqtt,2024-12,4,2,1,10,0,10,10,3
control,wasilukm/hoymiles-mqtt,2025-01,3,1,0,0,0,0,0,0
control,weaviate/t2v-transformers-models,2024-01,1,1,1,4,0,4,4,3
control,weaviate/t2v-transformers-models,2024-03,2,0,0,0,0,0,0,0
control,weaviate/t2v-transformers-models,2024-04,9,2,2,9,0,9,9,4
control,weaviate/t2v-transformers-models,2024-06,2,1,1,7,0,7,7,2
control,weaviate/t2v-transformers-models,2024-08,4,1,1,1,0,1,1,1
control,weaviate/t2v-transformers-models,2024-10,4,4,4,4,0,4,2,1
control,weaviate/t2v-transformers-models,2024-11,3,3,3,42,23,19,41,7
control,weaviate/t2v-transformers-models,2024-12,1,1,1,2,0,2,2,1
control,weaviate/t2v-transformers-models,2025-01,5,4,4,34,16,18,24,5
control,weaviate/t2v-transformers-models,2025-02,5,3,3,9,5,4,8,4
control,weaviate/t2v-transformers-models,2025-03,1,1,1,3,0,3,3,2
control,weaviate/t2v-transformers-models,2025-07,3,2,2,19,8,11,16,4
