treatment_repo,treatment_clone_dir_name,treatment_clone_path,treatment_is_git_repository,matched_period,propensity_score,original_matched_control_count,control_rank,control_repo,control_clone_found,control_clone_dir_name,control_clone_path,control_is_git_repository,pair_status
discus0434/nook,discus0434_nook,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/discus0434_nook,True,202501,0.0752835910159034,3,3,ninareyes1/Simple-Digital-Clock,True,ninareyes1_Simple-Digital-Clock,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ninareyes1_Simple-Digital-Clock,True,aligned
Dror-Bengal/CursorFocus,Dror-Bengal_CursorFocus,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Dror-Bengal_CursorFocus,True,202411,0.0322652722433117,3,1,RobinWu218/ToST,True,RobinWu218_ToST,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/RobinWu218_ToST,True,aligned
Dror-Bengal/CursorFocus,Dror-Bengal_CursorFocus,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Dror-Bengal_CursorFocus,True,202411,0.0322652722433117,3,2,vonssy/BlockBitsApp-BOT,True,vonssy_BlockBitsApp-BOT,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_BlockBitsApp-BOT,True,aligned
Dror-Bengal/CursorFocus,Dror-Bengal_CursorFocus,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Dror-Bengal_CursorFocus,True,202411,0.0322652722433117,3,3,Scrapybara/scrapybara-playground,True,Scrapybara_scrapybara-playground,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Scrapybara_scrapybara-playground,True,aligned
Elevate-Code/better-voice-typing,Elevate-Code_better-voice-typing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,True,202409,0.0212830932484271,3,1,loml13yyy/AtlassianConfluence-RCE,True,loml13yyy_AtlassianConfluence-RCE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_AtlassianConfluence-RCE,True,aligned
Elevate-Code/better-voice-typing,Elevate-Code_better-voice-typing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,True,202409,0.0212830932484271,3,2,loml13yyy/yyGRPU8,True,loml13yyy_yyGRPU8,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_yyGRPU8,True,aligned
Elevate-Code/better-voice-typing,Elevate-Code_better-voice-typing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Elevate-Code_better-voice-typing,True,202409,0.0212830932484271,3,3,HelpingAI/Webscout,True,HelpingAI_Webscout,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/HelpingAI_Webscout,True,aligned
ericmjl/llamabot,ericmjl_llamabot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,True,202408,0.030244593259856,3,1,stakewise/v3-operator,True,stakewise_v3-operator,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/stakewise_v3-operator,True,aligned
ericmjl/llamabot,ericmjl_llamabot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,True,202408,0.030244593259856,3,2,MalevichAI/malevich,True,MalevichAI_malevich,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,True,aligned
ericmjl/llamabot,ericmjl_llamabot,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,True,202408,0.030244593259856,3,3,FaceAdapter/Face-Adapter,True,FaceAdapter_Face-Adapter,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/FaceAdapter_Face-Adapter,True,aligned
ericmjl/pyds-cli,ericmjl_pyds-cli,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,True,202410,0.0018159645838836,3,1,weizequan/TASHR,True,weizequan_TASHR,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/weizequan_TASHR,True,aligned
ericmjl/pyds-cli,ericmjl_pyds-cli,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,True,202410,0.0018159645838836,3,2,krishpranav/socialosint,True,krishpranav_socialosint,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/krishpranav_socialosint,True,aligned
ericmjl/pyds-cli,ericmjl_pyds-cli,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,True,202410,0.0018159645838836,3,3,YangDi666/UNIK,True,YangDi666_UNIK,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/YangDi666_UNIK,True,aligned
