role,repo_name,repo_dir_name_expected,expected_for_current_scope,in_matching_treatment_rows,in_matching_control_candidate_rows,selected_by_cloned_treatment,in_clone_directory,is_git_repository,clone_dir_name,clone_path,origin_url,repo_name_source,alignment_status
control,LinJing517/micropython-deauth,LinJing517_micropython-deauth,True,False,True,True,True,True,LinJing517_micropython-deauth,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LinJing517_micropython-deauth,https://github.com/LinJing517/micropython-deauth.git,origin_url,aligned
control,linuxacademy/content-gitops,linuxacademy_content-gitops,True,False,True,True,True,True,linuxacademy_content-gitops,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/linuxacademy_content-gitops,https://github.com/linuxacademy/content-gitops.git,origin_url,aligned
control,loml13yyy/AtlassianConfluence-RCE,loml13yyy_AtlassianConfluence-RCE,True,False,True,True,True,True,loml13yyy_AtlassianConfluence-RCE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_AtlassianConfluence-RCE,https://github.com/loml13yyy/AtlassianConfluence-RCE.git,origin_url,aligned
control,loml13yyy/yyGRPU8,loml13yyy_yyGRPU8,True,False,True,True,True,True,loml13yyy_yyGRPU8,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_yyGRPU8,https://github.com/loml13yyy/yyGRPU8.git,origin_url,aligned
control,LonamiWebs/Telebackup,LonamiWebs_Telebackup,True,False,True,True,True,True,LonamiWebs_Telebackup,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LonamiWebs_Telebackup,https://github.com/LonamiWebs/Telebackup.git,origin_url,aligned
control,LuneMods/KCD2-Blender-Toolkit,LuneMods_KCD2-Blender-Toolkit,True,False,True,True,True,True,LuneMods_KCD2-Blender-Toolkit,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/LuneMods_KCD2-Blender-Toolkit,https://github.com/LuneMods/KCD2-Blender-Toolkit.git,origin_url,aligned
control,Makopolo/megascan_houdini20.0_USD_plugin,Makopolo_megascan_houdini20.0_USD_plugin,True,False,True,True,True,True,Makopolo_megascan_houdini20.0_USD_plugin,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/Makopolo_megascan_houdini20.0_USD_plugin,https://github.com/Makopolo/megascan_houdini20.0_USD_plugin.git,origin_url,aligned
control,MalevichAI/malevich,MalevichAI_malevich,True,False,True,True,True,True,MalevichAI_malevich,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MalevichAI_malevich,https://github.com/MalevichAI/malevich.git,origin_url,aligned
control,markmelnic/stealthenium,markmelnic_stealthenium,True,False,True,True,True,True,markmelnic_stealthenium,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/markmelnic_stealthenium,https://github.com/markmelnic/stealthenium.git,origin_url,aligned
control,microsoft/AzureTRE,microsoft_AzureTRE,True,False,True,True,True,True,microsoft_AzureTRE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_AzureTRE,https://github.com/microsoft/AzureTRE.git,origin_url,aligned
control,microsoft/semantic-link-labs,microsoft_semantic-link-labs,True,False,True,True,True,True,microsoft_semantic-link-labs,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_semantic-link-labs,https://github.com/microsoft/semantic-link-labs.git,origin_url,aligned
control,MingSun-Tse/LightAvatar-TensorFlow,MingSun-Tse_LightAvatar-TensorFlow,True,False,True,True,True,True,MingSun-Tse_LightAvatar-TensorFlow,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/MingSun-Tse_LightAvatar-TensorFlow,https://github.com/MingSun-Tse/LightAvatar-TensorFlow.git,origin_url,aligned
