repo_name,source_group,exact_commit_rows,sum_abs_diff_ncloc,median_abs_diff_ncloc,max_abs_diff_ncloc,sum_abs_diff_bugs,median_abs_diff_bugs,max_abs_diff_bugs,sum_abs_diff_vulnerabilities,median_abs_diff_vulnerabilities,max_abs_diff_vulnerabilities,sum_abs_diff_code_smells,median_abs_diff_code_smells,max_abs_diff_code_smells,sum_abs_diff_duplicated_lines_density,median_abs_diff_duplicated_lines_density,max_abs_diff_duplicated_lines_density,sum_abs_diff_comment_lines_density,median_abs_diff_comment_lines_density,max_abs_diff_comment_lines_density,sum_abs_diff_cognitive_complexity,median_abs_diff_cognitive_complexity,max_abs_diff_cognitive_complexity,sum_abs_diff_technical_debt,median_abs_diff_technical_debt,max_abs_diff_technical_debt,sum_abs_diff_static_analysis_warnings,median_abs_diff_static_analysis_warnings,max_abs_diff_static_analysis_warnings
tsukumijima/KonomiTV,treatment,20,2737.0,175.0,175.0,198.0,12.0,13.0,20.0,1.0,1.0,3065.0,149.0,189.0,9.600000000000001,0.5,0.7000000000000002,1.7999999999999918,0.09999999999999787,0.10000000000000142,0.0,0.0,0.0,23262.0,1200.0,1261.0,3283.0,163.0,203.0
KroMiose/nekro-agent,treatment,14,908.0,74.0,90.0,133.0,8.5,23.0,41.0,3.0,6.0,2192.0,125.0,351.0,0.0,0.0,0.0,1.8000000000000043,0.10000000000000053,0.3000000000000007,0.0,0.0,0.0,9512.0,537.0,1564.0,2366.0,136.5,379.0
ysj9909/SHViT,control,4,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,10.0,2157.0,719.0,719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10740.0,3580.0,3580.0,2187.0,729.0,729.0
golemfoundation/octant,control,18,2065.0,8.5,1927.0,296.0,17.0,25.0,124.0,7.0,7.0,2284.0,124.0,161.0,0.09999999999999964,0.0,0.09999999999999964,0.3000000000000007,0.0,0.3000000000000007,53.0,0.0,53.0,2795.0,116.0,521.0,2112.0,117.0,143.0
LearningCircuit/local-deep-research,treatment,6,2966.0,5.0,2925.0,91.0,3.5,53.0,141.0,11.5,55.0,1871.0,307.5,582.0,2.1999999999999997,0.3999999999999999,0.6000000000000001,1.5,0.0,1.5,458.0,0.0,458.0,10963.0,1190.0,5055.0,1935.0,318.0,584.0
yeagerai/genlayer-studio,treatment,18,75163.0,5270.0,9685.0,47.0,2.0,10.0,37.0,2.0,4.0,1843.0,116.0,208.0,23.099999999999994,1.4,3.5000000000000004,2.4000000000000004,0.09999999999999964,0.5999999999999996,2361.0,98.5,505.0,18875.0,919.5,2498.0,1879.0,119.0,211.0
wdm0006/elote,treatment,5,18434.0,0.0,9217.0,64.0,4.0,28.0,0.0,0.0,0.0,1812.0,41.0,858.0,2.3999999999999995,0.0,1.4999999999999998,23.6,0.0,15.7,50134.0,0.0,25067.0,11044.0,125.0,5376.0,1876.0,45.0,886.0
dymmond/edgy,control,18,50.0,0.0,50.0,228.0,8.0,23.0,74.0,4.0,7.0,1875.0,117.5,163.0,0.20000000000000284,0.0,0.10000000000000142,0.0,0.0,0.0,0.0,0.0,0.0,8308.0,584.5,723.0,1817.0,104.5,179.0
Anemll/Anemll,treatment,5,0.0,0.0,0.0,13.0,2.0,5.0,1.0,0.0,1.0,1764.0,38.0,837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6008.0,305.0,2702.0,1776.0,40.0,841.0
OpenSPP/openspp-modules,treatment,18,205.0,12.0,12.0,44.0,0.0,16.0,161.0,9.0,11.0,1845.0,113.0,132.0,15.399999999999999,0.20000000000000107,2.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,8305.0,481.5,590.0,1728.0,104.0,121.0
airweave-ai/airweave,treatment,7,994.0,28.0,872.0,150.0,23.0,46.0,37.0,5.0,12.0,1485.0,208.0,360.0,0.10000000000000009,0.0,0.10000000000000009,0.29999999999999716,0.0,0.29999999999999716,25.0,0.0,25.0,10012.0,1486.0,2568.0,1672.0,211.0,403.0
believethehype/nostrdvm,control,18,18.0,1.0,1.0,192.0,11.0,19.0,0.0,0.0,0.0,1721.0,137.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268.0,171.0,702.0,1571.0,127.5,148.0
sbomify/sbomify,treatment,7,505.0,22.0,394.0,7.0,1.0,3.0,226.0,31.0,38.0,1230.0,126.0,356.0,1.0999999999999979,0.10000000000000142,0.5,0.39999999999999947,0.0,0.20000000000000018,42.0,0.0,42.0,4857.0,570.0,1103.0,1449.0,160.0,391.0
trycua/cua,treatment,8,3258.0,0.0,3258.0,220.0,27.5,55.0,60.0,9.0,14.0,1048.0,159.0,226.0,1.2999999999999998,0.0,1.2999999999999998,0.3000000000000007,0.0,0.3000000000000007,1011.0,0.0,1011.0,5716.0,741.0,1693.0,1328.0,224.0,286.0
daxa-ai/pebblo,control,13,82.0,7.0,7.0,26.0,2.0,5.0,8.0,1.0,1.0,1271.0,97.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5470.0,401.0,609.0,1253.0,97.0,138.0
Chocksy/qc-options-framework,treatment,10,0.0,0.0,0.0,16.0,0.0,4.0,0.0,0.0,0.0,1202.0,25.5,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4271.0,129.0,891.0,1218.0,25.5,269.0
ericmjl/llamabot,treatment,19,307.0,7.0,36.0,39.0,0.0,12.0,315.0,15.0,23.0,692.0,26.0,92.0,0.0,0.0,0.0,0.49999999999999645,0.0,0.10000000000000142,0.0,0.0,0.0,2794.0,117.0,243.0,916.0,40.0,91.0
