dataset_source,repo_name,time,npr_agc_regular_module_function_unique_bodies
treatment,LearningCircuit/local-deep-research,2025-07,23
treatment,LearningCircuit/local-deep-research,2025-08,17
treatment,MDGrey33/pyvisionai,2024-11,2
treatment,MDGrey33/pyvisionai,2024-12,1
treatment,MDGrey33/pyvisionai,2025-01,21
treatment,MDGrey33/pyvisionai,2025-02,2
treatment,MDGrey33/pyvisionai,2025-06,1
treatment,MDGrey33/pyvisionai,2025-07,2
treatment,Mineru98/mysql-mcp-server,2025-03,1
treatment,Multi-V-VM/MVVM,2024-01,1
treatment,Multi-V-VM/MVVM,2024-02,1
treatment,Multi-V-VM/MVVM,2024-03,2
treatment,Multi-V-VM/MVVM,2024-04,1
treatment,Multi-V-VM/MVVM,2024-05,2
treatment,Multi-V-VM/MVVM,2024-12,2
treatment,OpenMOSS/Language-Model-SAEs,2024-06,5
treatment,OpenMOSS/Language-Model-SAEs,2024-08,2
treatment,OpenMOSS/Language-Model-SAEs,2024-12,3
treatment,OpenMOSS/Language-Model-SAEs,2025-01,7
treatment,OpenMOSS/Language-Model-SAEs,2025-05,2
treatment,OpenMOSS/Language-Model-SAEs,2025-06,1
treatment,OpenMOSS/Language-Model-SAEs,2025-08,1
treatment,OpenSPP/openspp-modules,2024-04,1
treatment,OpenSPP/openspp-modules,2024-08,1
treatment,PiotrCzapla/smart_dictation,2024-10,2
treatment,PostHog/posthog,2024-01,7
treatment,PostHog/posthog,2024-02,3
treatment,PostHog/posthog,2024-03,3
treatment,PostHog/posthog,2024-04,23
treatment,PostHog/posthog,2024-05,6
treatment,PostHog/posthog,2024-06,11
treatment,PostHog/posthog,2024-07,11
treatment,PostHog/posthog,2024-08,9
treatment,PostHog/posthog,2024-09,5
treatment,PostHog/posthog,2024-10,3
treatment,PostHog/posthog,2024-12,2
treatment,PostHog/posthog,2025-01,7
treatment,PostHog/posthog,2025-02,13
treatment,PostHog/posthog,2025-03,12
treatment,PostHog/posthog,2025-04,13
treatment,PostHog/posthog,2025-05,11
treatment,PostHog/posthog,2025-06,22
treatment,PostHog/posthog,2025-07,18
treatment,PostHog/posthog,2025-08,17
treatment,ResearchHub/researchhub-backend,2024-01,1
treatment,ResearchHub/researchhub-backend,2024-02,5
treatment,ResearchHub/researchhub-backend,2024-03,2
treatment,ResearchHub/researchhub-backend,2025-01,2
treatment,ResearchHub/researchhub-backend,2025-02,2
treatment,ResearchHub/researchhub-backend,2025-05,2
treatment,ResearchHub/researchhub-backend,2025-07,1
treatment,ResearchHub/researchhub-backend,2025-08,1
treatment,Scrapybara/codecapy,2025-01,1
treatment,Scrapybara/codecapy,2025-02,4
treatment,SlyyCooper/cursorrules-architect,2025-03,4
treatment,TextGeneratorio/text-generator.io,2024-01,1
treatment,TextGeneratorio/text-generator.io,2024-05,1
treatment,TextGeneratorio/text-generator.io,2025-01,1
treatment,TextGeneratorio/text-generator.io,2025-06,1
treatment,TextGeneratorio/text-generator.io,2025-07,9
treatment,The-Pocket/PocketFlow,2025-03,7
treatment,The-Pocket/PocketFlow,2025-04,1
treatment,The-Pocket/PocketFlow,2025-05,5
treatment,The-Pocket/PocketFlow,2025-06,1
treatment,The-Pocket/Tutorial-AI-Paul-Graham,2025-02,1
treatment,The-Pocket/Tutorial-AI-Paul-Graham,2025-03,1
treatment,The-Pocket/Tutorial-Cold-Email-Personalization,2025-03,1
treatment,The-Pocket/Tutorial-Cursor,2025-03,1
treatment,ToolUse/tool-use-ai,2024-10,7
treatment,ToolUse/tool-use-ai,2024-11,2
treatment,VRSEN/agency-swarm,2024-01,1
treatment,VRSEN/agency-swarm,2025-04,2
treatment,VRSEN/agency-swarm,2025-05,2
treatment,VRSEN/agency-swarm,2025-06,3
treatment,VRSEN/agency-swarm,2025-07,6
