outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,specification_label,ncloc_column,role,sample_rows,sample_repositories,first_stage_formula,estimate_percentage_points,conf_low_percentage_points,conf_high_percentage_points
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-4,-0.0470628567844842,-0.112631229106107,0.0185055155371383,0.0334532511845013,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-4.70628567844842,-11.2631229106107,1.85055155371383
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-3,-0.0136941060415744,-0.0864679191947192,0.0590797071115705,0.0371294965067066,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.36941060415744,-8.64679191947192,5.90797071115705
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-2,0.0493295771368833,-0.0167897739465027,0.115448928220269,0.0337343627976459,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,4.93295771368833,-1.67897739465027,11.5448928220269
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,0,0.0762443388522418,-0.0197611190822316,0.172249796786715,0.0489823764971803,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,7.62443388522418,-1.97611190822316,17.2249796786715
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,1,0.0149955964138506,-0.0537981191933789,0.08378931202108,0.0350988344934844,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,1.49955964138506,-5.37981191933789,8.378931202108
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,2,-0.0747989058183402,-0.156211812080953,0.00661400044427267,0.0415371970727617,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-7.47989058183402,-15.6211812080953,0.661400044427267
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,3,-0.00830610772159234,-0.0802844464308103,0.0636722309876256,0.0367236421985806,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-0.830610772159234,-8.02844464308103,6.36722309876256
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,4,-0.0832827300023094,-0.146156966427891,-0.0204084935767275,0.0320786920538684,,TRUE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-8.32827300023094,-14.6156966427891,-2.04084935767275
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,5,-0.0285241968211602,-0.108562200361259,0.0515138067189384,0.040835716091887,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-2.85241968211602,-10.8562200361259,5.15138067189384
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,6,-0.0108994244217721,-0.178952482775367,0.157153633931823,0.0857413563028544,,FALSE,strict,paper_ncloc,Paper NCLOC + Activity,ncloc_paper,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.08994244217721,-17.8952482775367,15.7153633931823
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-6,-0.0293497809723629,-0.0834863064298701,0.0247867444851444,0.0276206762538302,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-2.93497809723629,-8.34863064298701,2.47867444851444
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-5,0.00582828333531226,-0.0757464912146387,0.0874030578852632,0.0416197829336485,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,0.582828333531226,-7.57464912146387,8.74030578852632
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-4,-0.0479686070761532,-0.113174531941356,0.0172373177890496,0.0332683290128586,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-4.79686070761532,-11.3174531941356,1.72373177890496
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-3,-0.0146164024606757,-0.0879040945821036,0.0586712896607523,0.0373916796537897,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.46164024606757,-8.79040945821036,5.86712896607523
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,-2,0.0486098025042149,-0.017531685496266,0.114751290504696,0.0337456571431025,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,4.86098025042149,-1.7531685496266,11.4751290504696
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,0,0.0748986838223495,-0.0208229025249317,0.170620270169631,0.0488375440547353,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,7.48986838223495,-2.08229025249317,17.0620270169631
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,1,0.0137377406333996,-0.055244842457788,0.0827203237245872,0.0351951954546876,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,1.37377406333996,-5.5244842457788,8.27203237245872
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,2,-0.0777315645194523,-0.158200118519984,0.00273698948107953,0.0410553846941489,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-7.77315645194523,-15.8200118519984,0.273698948107953
agc_changed_function_block_ratio,AGC-Like Changed Function Block Share,3,-0.0125747556273259,-0.0814597659133469,0.0563102546586951,0.0351454134112352,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC + Activity,ncloc_python_snapshot,robustness,1016,158,~age_log + ncloc_model + contributors_log + stars_log + issues_log +      commits_log + lines_added_log | repo_id + time_id,-1.25747556273259,-8.14597659133469,5.63102546586951
