source_group,repo_name,time,metric,row_overlap_status,commit_match_status,commit_equal_or_prefix,paper_latest_commit,our_latest_commit,paper_value,our_value,diff,abs_diff,ncloc_scope_status,cause_category
treatment,Anemll/Anemll,2025-06,code_smells,both,exact_match,True,b0ea623eaac791a0803849c4f35ef8357f98935b,b0ea623eaac791a0803849c4f35ef8357f98935b,990.0,176.0,-814.0,814.0,ncloc_identical,rule_config_analyzer_profile_signal
treatment,DataDog/integrations-core,2024-02,code_smells,both,exact_match,True,1209aff535676d2788511da7ff82444c89640360,1209aff535676d2788511da7ff82444c89640360,2753.0,1964.0,-789.0,789.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-01,code_smells,both,exact_match,True,3f21b7bd08df0737cb477548d027a7a93f92f1ff,3f21b7bd08df0737cb477548d027a7a93f92f1ff,2767.0,1986.0,-781.0,781.0,ncloc_close,source_scope_difference_or_mixed
treatment,DataDog/integrations-core,2024-03,code_smells,both,exact_match,True,de516ffa17050c785c973acb4fcbab0a92a4253b,de516ffa17050c785c973acb4fcbab0a92a4253b,2785.0,2004.0,-781.0,781.0,ncloc_close,source_scope_difference_or_mixed
control,jacebrowning/datafiles,2024-10,static_analysis_warnings,both,exact_match,True,46280de29975a61a5d4cd09f36c806a2fb7db769,46280de29975a61a5d4cd09f36c806a2fb7db769,600.0,43.0,-557.0,557.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2024-11,static_analysis_warnings,both,exact_match,True,51ad26394a2b99ed8dfab0bd1538abfca73db233,51ad26394a2b99ed8dfab0bd1538abfca73db233,600.0,43.0,-557.0,557.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2024-12,static_analysis_warnings,both,paper_commit_missing,False,,51ad26394a2b99ed8dfab0bd1538abfca73db233,600.0,43.0,-557.0,557.0,unknown,paper_commit_missing
control,jacebrowning/datafiles,2025-01,static_analysis_warnings,both,paper_commit_missing,False,,51ad26394a2b99ed8dfab0bd1538abfca73db233,600.0,43.0,-557.0,557.0,unknown,paper_commit_missing
control,jacebrowning/datafiles,2025-02,static_analysis_warnings,both,exact_match,True,4c2b99a126d0f7ad8d13f5c55e098b07c3f51045,4c2b99a126d0f7ad8d13f5c55e098b07c3f51045,599.0,43.0,-556.0,556.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2025-03,static_analysis_warnings,both,paper_commit_missing,False,,4c2b99a126d0f7ad8d13f5c55e098b07c3f51045,599.0,43.0,-556.0,556.0,unknown,paper_commit_missing
control,jacebrowning/datafiles,2025-04,static_analysis_warnings,both,exact_match,True,e07b38ed8d6e89f0887aa5ec6712934467742b36,e07b38ed8d6e89f0887aa5ec6712934467742b36,599.0,43.0,-556.0,556.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2025-05,static_analysis_warnings,both,exact_match,True,7516af8388fd968e6b7abbfb0df7d51d658142d2,7516af8388fd968e6b7abbfb0df7d51d658142d2,599.0,43.0,-556.0,556.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2025-06,static_analysis_warnings,both,exact_match,True,cb3628112394669d5a93a5804f4d6e23cf161eba,cb3628112394669d5a93a5804f4d6e23cf161eba,599.0,43.0,-556.0,556.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2025-07,static_analysis_warnings,both,exact_match,True,a7737126dae693f755013f0fcd11df7867274df6,a7737126dae693f755013f0fcd11df7867274df6,599.0,43.0,-556.0,556.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2024-05,static_analysis_warnings,both,exact_match,True,59566a650f2624f2fc214bd9d8b3c5e7d825da57,59566a650f2624f2fc214bd9d8b3c5e7d825da57,597.0,43.0,-554.0,554.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2024-06,static_analysis_warnings,both,paper_commit_missing,False,,59566a650f2624f2fc214bd9d8b3c5e7d825da57,597.0,43.0,-554.0,554.0,unknown,paper_commit_missing
control,jacebrowning/datafiles,2024-07,static_analysis_warnings,both,exact_match,True,8840d02caab67fec49efe08a7912d1f39949a100,8840d02caab67fec49efe08a7912d1f39949a100,597.0,43.0,-554.0,554.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2024-08,static_analysis_warnings,both,exact_match,True,03281501945c2ae93ad35c5a618178d65bb2d0d8,03281501945c2ae93ad35c5a618178d65bb2d0d8,597.0,43.0,-554.0,554.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2024-09,static_analysis_warnings,both,paper_commit_missing,False,,03281501945c2ae93ad35c5a618178d65bb2d0d8,597.0,43.0,-554.0,554.0,unknown,paper_commit_missing
control,jacebrowning/datafiles,2024-01,static_analysis_warnings,both,exact_match,True,47ae5be927e7c079ca0b9a6b01b811bf9ffcf9bd,47ae5be927e7c079ca0b9a6b01b811bf9ffcf9bd,595.0,43.0,-552.0,552.0,ncloc_identical,rule_config_analyzer_profile_signal
control,jacebrowning/datafiles,2024-02,static_analysis_warnings,both,paper_commit_missing,False,,47ae5be927e7c079ca0b9a6b01b811bf9ffcf9bd,595.0,43.0,-552.0,552.0,unknown,paper_commit_missing
control,jacebrowning/datafiles,2024-03,static_analysis_warnings,both,exact_match,True,fc623e81f9e7476938a04e191b471aa90dc11d76,fc623e81f9e7476938a04e191b471aa90dc11d76,595.0,43.0,-552.0,552.0,ncloc_identical,rule_config_analyzer_profile_signal
