source_group,repo_name,time,paper_latest_commit,paper_ncloc,paper_bugs,paper_vulnerabilities,paper_code_smells,paper_duplicated_lines_density,paper_comment_lines_density,paper_cognitive_complexity,paper_technical_debt,paper_static_analysis_warnings,our_latest_commit,our_ncloc,our_bugs,our_vulnerabilities,our_code_smells,our_duplicated_lines_density,our_comment_lines_density,our_cognitive_complexity,our_technical_debt,our_static_analysis_warnings,row_overlap_status,commit_match_status,commit_equal_or_prefix,diff_ncloc,abs_diff_ncloc,diff_bugs,abs_diff_bugs,diff_vulnerabilities,abs_diff_vulnerabilities,diff_code_smells,abs_diff_code_smells,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,diff_cognitive_complexity,abs_diff_cognitive_complexity,diff_technical_debt,abs_diff_technical_debt,diff_static_analysis_warnings,abs_diff_static_analysis_warnings
control,Envious-Data/Env-KB,2025-08,,,,,,,,,,,1e0873a8409cca1332537cb4934c04b54ce33a7a,58.0,0.0,0.0,1.0,0.0,7.9,3.0,20.0,1.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FFY0/AdaKV,2025-07,,,,,,,,,,,67a0fc2729800c3d902225f359e0b50f9202556b,2678.0,7.0,0.0,85.0,50.4,11.2,643.0,559.0,92.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FFY0/AdaKV,2025-08,,,,,,,,,,,67a0fc2729800c3d902225f359e0b50f9202556b,2678.0,7.0,0.0,85.0,50.4,11.2,643.0,559.0,92.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2024-11,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2024-12,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-01,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-02,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-03,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-04,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-05,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-06,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-07,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FMInference/FlexiGen,2025-08,,,,,,,,,,,004ffef82b46e8dc8685c55d0cdda650bdaf1269,661594.0,218.0,142.0,9660.0,30.4,19.7,102557.0,81228.0,10020.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2024-06,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2024-07,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2024-08,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2024-09,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2024-10,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2024-11,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2024-12,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2025-01,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2025-02,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
control,FaceAdapter/Face-Adapter,2025-03,,,,,,,,,,,6e313885188e05740a7c40e12c1b9015c748bf08,2500.0,2.0,14.0,132.0,26.2,19.4,398.0,761.0,148.0,our_only,not_comparable,False,,,,,,,,,,,,,,,,,,
