target_id,variant,source_group,repo_name,time,path_bucket,component_path,type,paper_count,our_count,diff_our_minus_paper,paper_minus_our,abs_diff
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/types.ts,CODE_SMELL,0,36,36,-36,36
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/cdp/legacy-plugins/_transformations/plugin-netdata-event-processing/dist.js,CODE_SMELL,0,36,36,-36,36
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-NQURTBEV.mjs,BUG,0,35,35,-35,35
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/surveys/surveyViewViz.tsx,CODE_SMELL,0,35,35,-35,35
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/toolbar/utils.ts,CODE_SMELL,0,35,35,-35,35
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/json.js,CODE_SMELL,0,34,34,-34,34
3,paper_like,treatment,DataDog/integrations-core,2025-01,php_fpm,php_fpm/datadog_checks/php_fpm/vendor/fcgi_app_py2.py,CODE_SMELL,0,34,34,-34,34
3,paper_like,treatment,DataDog/integrations-core,2025-01,vsphere,vsphere/datadog_checks/vsphere/metrics.py,CODE_SMELL,0,34,34,-34,34
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/pipeline/hogfunctions/hogFunctionConfigurationLogic.tsx,CODE_SMELL,0,33,33,-33,33
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/utils/utils.ts,CODE_SMELL,0,33,33,-33,33
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/api.ts,CODE_SMELL,0,32,32,-32,32
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/feature-flags/FeatureFlag.tsx,CODE_SMELL,0,32,32,-32,32
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/functions.js,CODE_SMELL,0,31,31,-31,31
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/experiments/experimentLogic.tsx,CODE_SMELL,0,31,31,-31,31
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/exceptions.js,CODE_SMELL,0,30,30,-30,30
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/loops.js,CODE_SMELL,0,30,30,-30,30
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/queries/nodes/DataVisualization/dataVisualizationLogic.ts,CODE_SMELL,0,30,30,-30,30
3,paper_like,treatment,DataDog/integrations-core,2025-01,esxi,esxi/datadog_checks/esxi/metrics.py,CODE_SMELL,0,30,30,-30,30
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/dateFormat.js,CODE_SMELL,0,29,29,-29,29
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/mandelbrot.js,CODE_SMELL,0,29,29,-29,29
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/data-warehouse/editor/multitabEditorLogic.tsx,CODE_SMELL,0,29,29,-29,29
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/surveys/surveyLogic.test.ts,CODE_SMELL,0,29,29,-29,29
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/web-analytics/webAnalyticsLogic.tsx,CODE_SMELL,0,29,29,-29,29
2,paper_like,treatment,PostHog/posthog,2025-04,plugin-server,plugin-server/src/worker/ingestion/action-matcher.ts,CODE_SMELL,0,29,29,-29,29
1,paper_like,treatment,zauberzeug/nicegui,2025-04,nicegui,nicegui/elements/lib/mermaid/chunks/mermaid.esm.min/chunk-YPUTD6PB.mjs,CODE_SMELL,0,28,28,-28,28
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/lib/components/Cards/InsightCard/InsightDetails.tsx,CODE_SMELL,0,28,28,-28,28
3,paper_like,treatment,DataDog/integrations-core,2025-01,snmp,snmp/datadog_checks/snmp/commands.py,CODE_SMELL,0,28,28,-28,28
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/bytecodeStl.js,CODE_SMELL,0,27,27,-27,27
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/typescript/src/execute.ts,CODE_SMELL,0,27,27,-27,27
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/ifElse.js,CODE_SMELL,0,26,26,-26,26
2,paper_like,treatment,PostHog/posthog,2025-04,common,common/hogvm/__tests__/__snapshots__/typeof.js,CODE_SMELL,0,26,26,-26,26
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/insights/utils/cleanFilters.ts,CODE_SMELL,0,26,26,-26,26
2,paper_like,treatment,PostHog/posthog,2025-04,frontend,frontend/src/scenes/session-recordings/player/inspector/components/PlayerInspectorListItem.tsx,CODE_SMELL,0,26,26,-26,26
