repo_name,time,metric,our_modified_value,paper_value,diff_our_minus_paper,abs_diff
aio-libs/aiohttp,2024-05,technical_debt,2359.0,4320.0,-1961.0,1961.0
aio-libs/aiohttp,2024-06,technical_debt,2359.0,4320.0,-1961.0,1961.0
aio-libs/aiohttp,2024-03,technical_debt,2196.0,4152.0,-1956.0,1956.0
ethyca/fides,2025-05,technical_debt,18618.0,20571.0,-1953.0,1953.0
PennyLaneAI/catalyst,2025-08,technical_debt,1499.0,3447.0,-1948.0,1948.0
golemfoundation/octant,2025-03,ncloc,88777.0,86850.0,1927.0,1927.0
keephq/keep,2024-04,technical_debt,8279.0,6354.0,1925.0,1925.0
aio-libs/aiohttp,2024-01,technical_debt,2190.0,4111.0,-1921.0,1921.0
keephq/keep,2024-05,technical_debt,8437.0,6535.0,1902.0,1902.0
PostHog/posthog,2025-03,technical_debt,72206.0,70314.0,1892.0,1892.0
PennyLaneAI/catalyst,2025-07,technical_debt,1507.0,3398.0,-1891.0,1891.0
ethyca/fides,2024-02,technical_debt,10114.0,12000.0,-1886.0,1886.0
PennyLaneAI/catalyst,2025-06,technical_debt,1509.0,3381.0,-1872.0,1872.0
airweave-ai/airweave,2025-02,technical_debt,3285.0,1436.0,1849.0,1849.0
PostHog/posthog,2025-02,cognitive_complexity,67802.0,65955.0,1847.0,1847.0
keephq/keep,2024-06,technical_debt,8825.0,7013.0,1812.0,1812.0
PostHog/posthog,2025-04,code_smells,12818.0,11012.0,1806.0,1806.0
yeagerai/genlayer-studio,2025-06,technical_debt,3293.0,1494.0,1799.0,1799.0
yeagerai/genlayer-studio,2025-07,technical_debt,3367.0,1573.0,1794.0,1794.0
ethyca/fides,2024-01,technical_debt,9958.0,11741.0,-1783.0,1783.0
PostHog/posthog,2025-02,technical_debt,68985.0,67212.0,1773.0,1773.0
keephq/keep,2024-03,technical_debt,7037.0,5278.0,1759.0,1759.0
aio-libs/aiohttp,2025-07,technical_debt,2472.0,4224.0,-1752.0,1752.0
aio-libs/aiohttp,2025-08,technical_debt,2472.0,4224.0,-1752.0,1752.0
yeagerai/genlayer-studio,2025-08,technical_debt,3406.0,1660.0,1746.0,1746.0
yeagerai/genlayer-studio,2025-05,technical_debt,3185.0,1443.0,1742.0,1742.0
zauberzeug/nicegui,2024-01,bugs,471.0,2203.0,-1732.0,1732.0
zauberzeug/nicegui,2024-02,bugs,472.0,2204.0,-1732.0,1732.0
zauberzeug/nicegui,2024-03,bugs,472.0,2204.0,-1732.0,1732.0
zauberzeug/nicegui,2024-04,bugs,473.0,2205.0,-1732.0,1732.0
zauberzeug/nicegui,2024-05,bugs,473.0,2205.0,-1732.0,1732.0
zauberzeug/nicegui,2024-06,bugs,474.0,2206.0,-1732.0,1732.0
zauberzeug/nicegui,2024-07,bugs,474.0,2206.0,-1732.0,1732.0
aio-libs/aiohttp,2025-02,technical_debt,2152.0,3854.0,-1702.0,1702.0
PennyLaneAI/catalyst,2025-05,technical_debt,1466.0,3162.0,-1696.0,1696.0
PennyLaneAI/catalyst,2025-04,technical_debt,1449.0,3116.0,-1667.0,1667.0
PennyLaneAI/catalyst,2025-03,technical_debt,1393.0,3046.0,-1653.0,1653.0
keephq/keep,2024-02,technical_debt,7134.0,5485.0,1649.0,1649.0
PennyLaneAI/catalyst,2025-02,technical_debt,1390.0,3018.0,-1628.0,1628.0
trycua/cua,2025-04,technical_debt,4258.0,2650.0,1608.0,1608.0
PennyLaneAI/catalyst,2024-12,technical_debt,1431.0,3035.0,-1604.0,1604.0
PennyLaneAI/catalyst,2025-01,technical_debt,1375.0,2972.0,-1597.0,1597.0
odoo/industry,2024-11,ncloc,83880.0,85458.0,-1578.0,1578.0
samuelgursky/davinci-resolve-mcp,2025-03,technical_debt,4165.0,2589.0,1576.0,1576.0
samuelgursky/davinci-resolve-mcp,2025-04,technical_debt,4165.0,2589.0,1576.0,1576.0
PostHog/posthog,2025-01,cognitive_complexity,62265.0,60692.0,1573.0,1573.0
aio-libs/aiohttp,2025-04,technical_debt,2348.0,3910.0,-1562.0,1562.0
PennyLaneAI/catalyst,2024-11,technical_debt,1379.0,2940.0,-1561.0,1561.0
getsentry/sentry,2025-06,code_smells,19092.0,17537.0,1555.0,1555.0
PennyLaneAI/catalyst,2024-09,technical_debt,1423.0,2974.0,-1551.0,1551.0
PennyLaneAI/catalyst,2024-10,technical_debt,1438.0,2989.0,-1551.0,1551.0
getsentry/sentry,2025-01,code_smells,16756.0,15211.0,1545.0,1545.0
getsentry/sentry,2024-05,code_smells,15759.0,14245.0,1514.0,1514.0
getsentry/sentry,2024-09,code_smells,16638.0,15125.0,1513.0,1513.0
