repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence
DataDog/integrations-core,2025-02,0,2025-03,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,153,97879,4721,48,28.0,13.0,221.0,3216.0,551939.0,72.0,157.0,1816.0,8.7,8.7,38045.0,17165.0,,,,treatment,,
DataDog/integrations-core,2025-03,1,2025-03,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,149,55897,6165,61,9.0,8.0,284.0,3244.0,555561.0,69.0,165.0,1834.0,8.7,8.6,38420.0,17543.0,,,,treatment,False,True
DataDog/integrations-core,2025-04,1,2025-03,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,154,46834,3096,61,10.0,15.0,241.0,3275.0,557287.0,71.0,165.0,1838.0,8.8,8.6,38600.0,17606.0,,,,treatment,False,True
DataDog/integrations-core,2025-05,1,2025-03,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,162,116050,8249,59,9.0,12.0,254.0,3305.0,564569.0,72.0,165.0,1867.0,8.7,8.7,39558.0,17967.0,,,,treatment,False,True
DataDog/integrations-core,2025-06,1,2025-03,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,142,79085,9677,70,5.0,5.0,179.0,3336.0,568376.0,72.0,165.0,1877.0,8.7,8.7,39925.0,18097.0,,,,treatment,False,True
DataDog/integrations-core,2025-07,1,2025-03,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,True,173,103880,19789,57,6.0,4.0,191.0,3366.0,574441.0,71.0,155.0,1885.0,8.7,8.7,40493.0,18273.0,,,,treatment,False,False
DataDog/integrations-core,2025-08,1,2025-03,1,5.0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,169,93802,37434,71,3.0,6.0,262.0,3397.0,577950.0,71.0,155.0,1903.0,8.7,8.7,40785.0,18525.0,,,,treatment,False,False
DataScienceUIBK/Rankify,2025-02,0,2025-03,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,79,9035,5653,4,156.0,0.0,0.0,0.0,22796.0,16.0,30.0,743.0,9.1,25.8,4187.0,4500.0,,,,treatment,,
DataScienceUIBK/Rankify,2025-03,1,2025-03,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,47,4648,2673,3,158.0,4.0,2.0,19.0,24048.0,16.0,30.0,767.0,8.7,25.1,4264.0,4768.0,,,,treatment,False,True
DataScienceUIBK/Rankify,2025-04,1,2025-03,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,22,276,83,3,113.0,1.0,1.0,50.0,24191.0,16.0,30.0,769.0,8.7,25.0,4304.0,4781.0,,,,treatment,False,False
DataScienceUIBK/Rankify,2025-05,1,2025-03,1,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,37,5551,839,4,20.0,3.0,0.0,80.0,25126.0,16.0,30.0,794.0,8.3,25.1,4405.0,4882.0,,,,treatment,False,False
DataScienceUIBK/Rankify,2025-06,1,2025-03,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,76,29160,7807,8,12.0,1.0,0.0,111.0,29733.0,17.0,30.0,899.0,9.4,24.4,5539.0,5374.0,,,,treatment,False,False
DataScienceUIBK/Rankify,2025-07,1,2025-03,1,4.0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,7,2649417,1064,3,8.0,0.0,1.0,141.0,30156.0,17.0,30.0,931.0,8.9,24.3,5704.0,5589.0,,,,treatment,False,False
