outcome,outcome_label,time,estimate,conf_low,conf_high,std_error,p_value,significant,panel,specification,specification_label,ncloc_column,sample_rows,sample_repositories,estimate_percentage_points,conf_low_percentage_points,conf_high_percentage_points
agc_class_block_ratio,AGC-like Class Block Share,0,0.0231475464652523,-0.00661182874887559,0.0529069216793802,0.0151833547010856,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,2.31475464652523,-0.661182874887559,5.29069216793802
agc_class_block_ratio,AGC-like Class Block Share,1,0.0102035417909745,-0.0199378126031157,0.0403448961850646,0.0153782420378011,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,1.02035417909745,-1.99378126031157,4.03448961850646
agc_class_block_ratio,AGC-like Class Block Share,2,0.0125485223831405,-0.0143140096682483,0.0394110544345292,0.0137053734956065,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,1.25485223831405,-1.43140096682483,3.94110544345292
agc_class_block_ratio,AGC-like Class Block Share,3,0.00392222996603698,-0.0241568067996125,0.0320012667316865,0.0143260391661477,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,0.392222996603698,-2.41568067996125,3.20012667316865
agc_class_block_ratio,AGC-like Class Block Share,4,0.0127736354688204,-0.0183190647469934,0.0438663356846342,0.0158636225590887,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,1.27736354688204,-1.83190647469934,4.38663356846342
agc_class_block_ratio,AGC-like Class Block Share,5,0.014938516602632,-0.0214800703217963,0.0513571035270602,0.0185809116961369,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,1.4938516602632,-2.14800703217963,5.13571035270602
agc_class_block_ratio,AGC-like Class Block Share,6,0.0228106594878151,-0.0368922848652752,0.0825136038409054,0.0304606858944338,,FALSE,strict,paper_ncloc,Paper NCLOC,ncloc_paper,1462,194,2.28106594878151,-3.68922848652752,8.25136038409054
agc_class_block_ratio,AGC-like Class Block Share,-6,-0.0038227127792711,-0.0192201802519723,0.0115747546934301,0.00785585075137816,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,-0.38227127792711,-1.92201802519723,1.15747546934301
agc_class_block_ratio,AGC-like Class Block Share,-5,0.00382523870596419,-0.0151089508745904,0.0227594282865187,0.00966030080640538,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,0.382523870596419,-1.51089508745904,2.27594282865187
agc_class_block_ratio,AGC-like Class Block Share,-4,0.0172960233642275,-0.0127635461215978,0.0473555928500528,0.0153365150437884,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,1.72960233642275,-1.27635461215978,4.73555928500528
agc_class_block_ratio,AGC-like Class Block Share,-3,0.0129551464622603,-0.0205368589847803,0.0464471519093008,0.0170877578811431,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,1.29551464622603,-2.05368589847803,4.64471519093008
agc_class_block_ratio,AGC-like Class Block Share,-2,0.0157262287268784,-0.0127878175161644,0.0442402749699212,0.0145479827770627,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,1.57262287268784,-1.27878175161644,4.42402749699212
agc_class_block_ratio,AGC-like Class Block Share,0,0.022621744941347,-0.00736381808941711,0.0526073079721112,0.0152987566483491,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,2.2621744941347,-0.736381808941711,5.26073079721112
agc_class_block_ratio,AGC-like Class Block Share,1,0.00956513808009458,-0.0211284291217254,0.0402587052819146,0.0156599832662347,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,0.956513808009458,-2.11284291217254,4.02587052819146
agc_class_block_ratio,AGC-like Class Block Share,2,0.0122563856297957,-0.0158593819129587,0.0403721531725501,0.0143447793585482,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,1.22563856297957,-1.58593819129587,4.03721531725501
agc_class_block_ratio,AGC-like Class Block Share,3,0.00358736865198057,-0.0264271869849737,0.0336019242889348,0.0153135487943644,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,0.358736865198057,-2.64271869849737,3.36019242889348
agc_class_block_ratio,AGC-like Class Block Share,4,0.0122682195526566,-0.0207282715922679,0.0452647106975812,0.0168349444616962,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,1.22682195526566,-2.07282715922679,4.52647106975812
agc_class_block_ratio,AGC-like Class Block Share,5,0.0145220121219542,-0.0250842290851651,0.0541282533290734,0.0202072659219996,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,1.45220121219542,-2.50842290851651,5.41282533290734
agc_class_block_ratio,AGC-like Class Block Share,6,0.0210530523681008,-0.0422870158609796,0.0843931205971812,0.0323163613413675,,FALSE,strict,python_snapshot_ncloc,Python Snapshot NCLOC,ncloc_python_snapshot,1462,194,2.10530523681008,-4.22870158609796,8.43931205971812
