repo_name,status,target_dir,note,status_norm
jgwak/GSDN,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jgwak_GSDN,ok,cloned
jinli99/iShapEditing,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jinli99_iShapEditing,ok,cloned
joereynolds/reap-get,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/joereynolds_reap-get,ok,cloned
jrowellfx/lsseq,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jrowellfx_lsseq,ok,cloned
jyjblrd/SelfDrivingCar,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jyjblrd_SelfDrivingCar,ok,cloned
kangtegong/pyftrace,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kangtegong_pyftrace,ok,cloned
krishpranav/socialosint,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/krishpranav_socialosint,ok,cloned
kuleshov-group/caduceus,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kuleshov-group_caduceus,ok,cloned
lancedb/lancedb,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,ok,cloned
liangchundong/HGNN-AC,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/liangchundong_HGNN-AC,ok,cloned
linuxacademy/content-gitops,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/linuxacademy_content-gitops,ok,cloned
loml13yyy/AtlassianConfluence-RCE,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_AtlassianConfluence-RCE,ok,cloned
loml13yyy/yyGRPU8,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_yyGRPU8,ok,cloned
markmelnic/stealthenium,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/markmelnic_stealthenium,ok,cloned
microsoft/AzureTRE,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_AzureTRE,ok,cloned
microsoft/semantic-link-labs,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_semantic-link-labs,ok,cloned
monero-project/meta,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/monero-project_meta,ok,cloned
neuml/rag,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/neuml_rag,ok,cloned
nhw649/EOV-Seg,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/nhw649_EOV-Seg,ok,cloned
ninareyes1/Simple-Digital-Clock,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ninareyes1_Simple-Digital-Clock,ok,cloned
odoo/industry,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/odoo_industry,ok,cloned
omkarcloud/amazon-scraper,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/omkarcloud_amazon-scraper,ok,cloned
oval-group/smooth-topk,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/oval-group_smooth-topk,ok,cloned
peter279k/cdc-data-mirror,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/peter279k_cdc-data-mirror,ok,cloned
pieces-app/cli-agent,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/pieces-app_cli-agent,ok,cloned
plurai-ai/intellagent,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/plurai-ai_intellagent,ok,cloned
popey/sbommage,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/popey_sbommage,ok,cloned
qiboteam/qibojit,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/qiboteam_qibojit,ok,cloned
ruiqini/NTFields,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/ruiqini_NTFields,ok,cloned
sakomws/ai-workshop,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/sakomws_ai-workshop,ok,cloned
saucer-man/qq_msg_decode,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/saucer-man_qq_msg_decode,ok,cloned
slopp/30_days_of_dagster,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/slopp_30_days_of_dagster,ok,cloned
snowzjx/ns3-load-balance,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/snowzjx_ns3-load-balance,ok,cloned
stakewise/v3-operator,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/stakewise_v3-operator,ok,cloned
surajt97/Train_Delay_Prediction,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/surajt97_Train_Delay_Prediction,ok,cloned
taylorwilsdon/open-webui-tools,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/taylorwilsdon_open-webui-tools,ok,cloned
thefatedefeater/V2ray-Config,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thefatedefeater_V2ray-Config,ok,cloned
thegreenwebfoundation/admin-portal,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/thegreenwebfoundation_admin-portal,ok,cloned
tranceitionalMynd/spy-reaper,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/tranceitionalMynd_spy-reaper,ok,cloned
tusgino/llm-code-reviewer,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/tusgino_llm-code-reviewer,ok,cloned
viktoriasemaan/sa-ai-agent,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/viktoriasemaan_sa-ai-agent,ok,cloned
vonssy/BlockBitsApp-BOT,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/vonssy_BlockBitsApp-BOT,ok,cloned
