dataset_source,repo_name,repo_dir,candidate_ref,candidate_priority,candidate_tip_commit,candidate_kind,candidate_revision_count,candidate_contains_all_panel_anchors,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,selected,selection_status
control,baaivision/EVE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/baaivision_EVE,HEAD,1,cc63ec74d9e5eb7f476c2e083eac087b2882f285,head,1,1,29,5,5,5,5,1,perfect_panel_match
control,believethehype/nostrdvm,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/believethehype_nostrdvm,HEAD,1,e48dfe7e7ae497453383502f9de26ed22b0fc7e8,head,1,1,1063,18,18,18,18,1,perfect_panel_match
control,bobokun/actualtap-py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bobokun_actualtap-py,HEAD,1,04522ee97174895d89269f4817b05f5e17856f9a,head,1,1,283,14,14,14,14,1,perfect_panel_match
control,bropines/chrome-lens-py,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/bropines_chrome-lens-py,HEAD,1,e6c6368231bec34c6108e13245e946c13eb9d7de,head,1,1,139,10,10,10,10,1,perfect_panel_match
control,caffeinedoom/reconthing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/caffeinedoom_reconthing,HEAD,1,63f6a888dcf040f261ad37f46356ce5dba6ec853,head,1,1,3,1,1,1,1,1,perfect_panel_match
control,cyb3rfortr3ss/ByDeF,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/cyb3rfortr3ss_ByDeF,HEAD,1,af0b596ed25048c90b6bdee88900c8fad8fcda6c,head,1,1,13,2,2,2,2,1,perfect_panel_match
control,davidhandsome86/LLM_RAG,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/davidhandsome86_LLM_RAG,HEAD,1,87dcfc0ac2aedc2c0b4591d96a8c049af730d1cb,head,1,1,4,2,2,2,2,1,perfect_panel_match
control,daxa-ai/pebblo,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/daxa-ai_pebblo,HEAD,1,0ecabf60c19de7cb4cefe66ee10940575860d193,head,1,1,494,13,13,13,13,1,perfect_panel_match
control,dimatura/pypcd,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dimatura_pypcd,HEAD,1,6321080f704d3fa331b6b244daf55a6d774212f8,head,1,1,55,2,2,2,2,1,perfect_panel_match
control,djeada/Kurs-Podstaw-Pythona,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/djeada_Kurs-Podstaw-Pythona,HEAD,1,0f583ffd4e72cc38e32880dee52c614c7bb4f700,head,1,1,558,12,12,12,12,1,perfect_panel_match
control,dottxt-ai/prompts,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dottxt-ai_prompts,HEAD,1,d386a43d3e735a56bcbf616c484ffe7fa8ed9f22,head,1,1,23,4,4,4,4,1,perfect_panel_match
control,dromara/domain-admin,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dromara_domain-admin,HEAD,1,3a3b49c328ce0dc6de40817252e4307b3ad7198a,head,1,1,911,18,18,18,18,1,perfect_panel_match
control,dymmond/edgy,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/dymmond_edgy,HEAD,1,97e21e1c7c0743ee6d1efc07520e79118f1cf213,head,1,1,677,18,18,18,18,1,perfect_panel_match
control,emresen20/Pau-Bilgisayar-nots,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/emresen20_Pau-Bilgisayar-nots,HEAD,1,7f9b04eea476f6db0ef2c6249d975eff5cb64fcf,head,1,1,28,6,6,6,6,1,perfect_panel_match
control,evermoving/SystemCaptioner,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/evermoving_SystemCaptioner,HEAD,1,b72514cc31f2daa5f47e56951ac65af61fca8200,head,1,1,123,4,4,4,4,1,perfect_panel_match
control,golemfoundation/octant,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/golemfoundation_octant,HEAD,1,90a873fac66af2fef277181de972fec5d5f51d44,head,1,1,6062,20,20,20,20,1,perfect_panel_match
control,infected4098/Wave-U-Mamba,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/infected4098_Wave-U-Mamba,HEAD,1,79c38f70ab735e37c97e54561a4bf657cfd325fc,head,1,1,77,7,7,7,7,1,perfect_panel_match
control,itsKayWat/MindfulShift-2025,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/itsKayWat_MindfulShift-2025,HEAD,1,62580ae5a421715874056e57a2b88ccf349dc137,head,1,1,12,1,1,1,1,1,perfect_panel_match
control,jacebrowning/datafiles,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jacebrowning_datafiles,HEAD,1,79fd56c1b1d13fb1acbcec52a10eb32ded760447,head,1,1,1107,12,12,12,12,1,perfect_panel_match
control,jfcrenshaw/pzflow,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jfcrenshaw_pzflow,HEAD,1,bf9c70d6d1c2ea5d9678868d3d77f1bd203d33df,head,1,1,393,4,4,4,4,1,perfect_panel_match
control,jinli99/iShapEditing,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jinli99_iShapEditing,HEAD,1,15b20e3aa435cee574a8737406274fad79684f46,head,1,1,9,3,3,3,3,1,perfect_panel_match
control,jrowellfx/lsseq,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/jrowellfx_lsseq,HEAD,1,6247ac96ff876d20df279b4713b374db40d86da1,head,1,1,549,8,8,8,8,1,perfect_panel_match
control,kangtegong/pyftrace,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kangtegong_pyftrace,HEAD,1,a7fe9057a1da28b4ca8b35fc22bec72d01d7b79f,head,1,1,62,4,4,4,4,1,perfect_panel_match
control,kuleshov-group/caduceus,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/kuleshov-group_caduceus,HEAD,1,0060a6d8079b6a040fc55d505e15972a327b70a6,head,1,1,34,10,10,10,10,1,perfect_panel_match
control,lancedb/lancedb,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/lancedb_lancedb,HEAD,1,f84190fe123b6b8c6b202e03d76eac28e0ebc51b,head,1,1,2643,17,17,17,17,1,perfect_panel_match
control,loml13yyy/AtlassianConfluence-RCE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_AtlassianConfluence-RCE,HEAD,1,8797c797dcc297faedda1f621fa6ccbec7353409,head,1,1,7,1,1,1,1,1,perfect_panel_match
control,loml13yyy/yyGRPU8,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/loml13yyy_yyGRPU8,HEAD,1,077ec2e2c3514c462932606ac3f94ebeb0efeabb,head,1,1,6,1,1,1,1,1,perfect_panel_match
control,markmelnic/stealthenium,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/markmelnic_stealthenium,HEAD,1,21d1b791d6d58f82e81ebc903761890e455428f0,head,1,1,6,3,3,3,3,1,perfect_panel_match
control,microsoft/AzureTRE,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_AzureTRE,HEAD,1,365d4dfe98a821e42a4b1f6642ada8c3b909e159,head,1,1,1968,19,19,19,19,1,perfect_panel_match
control,microsoft/semantic-link-labs,/home/user1-system12/project-workspace/ai_code_complexity_study_python/control-repos/microsoft_semantic-link-labs,HEAD,1,c77f462ae32b21671d38d44349253bc975f9094a,head,1,1,2325,16,16,16,16,1,perfect_panel_match
