dataset_source,repo_name,month,comparison_status,history_ref,panel_commits,selected_commits,count_delta,month_end_commit,reproduced_latest_commit,selected_count_matches_panel,selected_latest_matches_panel
treatment,LearningCircuit/local-deep-research,2025-05,committer_month_count_mismatch,refs/remotes/origin/fix/cross-engine-filter-json-parsing,222,224,2,59767f6f15c60ce02993c67edd97c95c0c762549,59767f6f15c60ce02993c67edd97c95c0c762549,0,1
treatment,LearningCircuit/local-deep-research,2025-07,committer_month_count_mismatch,refs/remotes/origin/fix/cross-engine-filter-json-parsing,196,195,-1,de91a597f2851a551ec95f969e64d20910db8869,2145bcb01c2c297ea0589536e172bcae295830d9,0,0
treatment,MDGrey33/pyvisionai,2024-11,committer_month_count_mismatch,panel_anchor_union,14,8,-6,5de5bb849743946bd1d9c9e952553c9169c80763,20c7ff067865305080b16444933fc27ea54f8ddd,0,0
treatment,MDGrey33/pyvisionai,2024-12,committer_month_count_mismatch,panel_anchor_union,12,18,6,5a152034b3e647e846b4194403e26ab8938d38dc,5a152034b3e647e846b4194403e26ab8938d38dc,0,1
treatment,OpenMOSS/Language-Model-SAEs,2024-03,committer_month_count_mismatch,refs/remotes/origin/dev,110,109,-1,8dc3a600be9da11476d51892ee9682b545088d25,1b4bbb8e8d4ebfa351b05f7c5178c7432f79dd48,0,0
treatment,OpenMOSS/Language-Model-SAEs,2024-04,committer_month_latest_mismatch,refs/remotes/origin/dev,37,37,0,b9f86bc0d7f488cf37dd7eae087291c988b8ffcd,9a584e31c51f50bc7407988af52c4d7c5e44d0c2,1,0
treatment,OpenMOSS/Language-Model-SAEs,2024-05,committer_month_count_mismatch,refs/remotes/origin/dev,9,10,1,5529a6f60429693b51d68956c4eeee82cc6a423a,5529a6f60429693b51d68956c4eeee82cc6a423a,0,1
treatment,OpenMOSS/Language-Model-SAEs,2024-07,committer_month_count_mismatch,refs/remotes/origin/dev,65,62,-3,476076f782d70e2b5805b37e48f7865726d44185,63f0a131dab48c087b64191d094e296c06f111cd,0,0
treatment,OpenMOSS/Language-Model-SAEs,2024-08,committer_month_count_mismatch,refs/remotes/origin/dev,40,43,3,b87047673c9efb995a1df04f86e2b64eaa076340,b87047673c9efb995a1df04f86e2b64eaa076340,0,1
treatment,OpenMOSS/Language-Model-SAEs,2024-12,committer_month_count_mismatch,refs/remotes/origin/dev,40,32,-8,9e4bef8a612bfa3abf735802508d0244bff026aa,2c7f18f283f59bbb1c7ba173046990801a7e5233,0,0
treatment,OpenMOSS/Language-Model-SAEs,2025-01,committer_month_count_mismatch,refs/remotes/origin/dev,88,96,8,babf36b8e1753eded2a0ff18fd1a8a1771aff329,babf36b8e1753eded2a0ff18fd1a8a1771aff329,0,1
treatment,OpenMOSS/Language-Model-SAEs,2025-02,committer_month_count_mismatch,refs/remotes/origin/dev,60,58,-2,9a827c56ecbd9768bad3988fe4cfda1afbc91a4e,1fe31fc2dbc4cf289102b1f52a59b19c82dd6d09,0,0
treatment,OpenMOSS/Language-Model-SAEs,2025-03,committer_month_count_mismatch,refs/remotes/origin/dev,25,27,2,aeac157124bdf3e5e3fe2459f0ccdb062061210d,aeac157124bdf3e5e3fe2459f0ccdb062061210d,0,1
treatment,OpenSPP/openspp-modules,2024-01,committer_month_count_mismatch,refs/remotes/origin/17.0,68,63,-5,8bf5c500f8efa8ec31be2cf551b06b38be992b68,857ab1b4c6f0f2a975539d88209932da7ae41817,0,0
treatment,OpenSPP/openspp-modules,2024-02,committer_month_count_mismatch,refs/remotes/origin/17.0,132,136,4,0d00c990ce20f3f2661f545baac31934c6fa21fd,67ee20f395cc5ac7d75307ee719fe8d5814e686f,0,0
treatment,OpenSPP/openspp-modules,2024-03,committer_month_count_mismatch,refs/remotes/origin/17.0,92,93,1,799fd97eb17fd65c8c7733052bac265f5c4b49c3,799fd97eb17fd65c8c7733052bac265f5c4b49c3,0,1
