dataset_source,repo_name,time,commits_scanned,commits_with_python_changes,commits_with_function_change_events,unique_changed_functions,unique_changed_files,time_to_event,is_treatment,post_event,event,cursor,commits_with_function_events_manifest,commits_with_function_events_scored,detection_complete,detector_merge_status,treatment_group,treatment_period,parse_exclusion_records,has_parse_exclusion,commits,lines_added,age,ncloc_paper,ncloc_python_snapshot,contributors,stars,issues,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,analysis_ready_agc_changed_block_paper_ncloc,analysis_ready_agc_changed_block_python_snapshot_ncloc,log1p_commits,log1p_lines_added,log1p_age,log1p_contributors,log1p_stars,log1p_issues,analysis_ready_paper_ncloc,analysis_ready_python_snapshot_ncloc,analysis_ready_ratio_paper_ncloc,analysis_ready_ratio_python_snapshot_ncloc,treat,unit_id,calendar_time,function_change_events,agc_function_change_events,hwc_function_change_events,has_function_change_event,zero_function_event_month,agc_function_change_event_ratio,log1p_function_change_events,log1p_agc_function_change_events,log1p_hwc_function_change_events,ast_sequence_token_lower_bound_inclusive,ast_sequence_token_upper_bound_exclusive,ast_sequence_token_band,ast_sequence_token_specification,ast_sequence_token_band_set,ast_sequence_token_band_width,analysis_design_status
control,NiceRingNode/LGGPT,2025-01,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,0,0.0,,0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,0.0,0,1,0,0,0,NiceRingNode/LGGPT,2025-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NiceRingNode/LGGPT,2025-02,8,4,1,79,13,,0,0,,0,1.0,1.0,True,both,control,control,0,0,8,2584,10.0,1878.0,1904,2,7.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.197224577336219,7.85748078694253,2.3978952727983707,1.0986122886681096,2.079441541679836,1.3862943611198906,1,1,1,1,0,NiceRingNode/LGGPT,2025-02,2,2,0,1,0,1.0,1.0986122886681096,1.0986122886681096,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NiceRingNode/LGGPT,2025-03,3,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,3,9,38.0,1878.0,1904,1,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3862943611198906,2.302585092994045,3.6635616461296463,0.6931471805599453,2.302585092994045,0.0,1,1,0,0,0,NiceRingNode/LGGPT,2025-03,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NiceRingNode/LGGPT,2025-06,2,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,17,130.0,1878.0,1904,1,59.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,2.8903717578961645,4.875197323201151,0.6931471805599453,4.0943445622221,0.0,1,1,0,0,0,NiceRingNode/LGGPT,2025-06,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,NiceRingNode/LGGPT,2025-08,2,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,2,3,191.0,1878.0,1904,1,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0986122886681096,1.3862943611198906,5.2574953720277815,0.6931471805599453,1.9459101490553128,0.0,1,1,0,0,0,NiceRingNode/LGGPT,2025-08,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,OSU-NLP-Group/HippoRAG,2024-05,10,5,5,120,15,,0,0,,0,5.0,5.0,True,both,control,control,0,0,15,1153,0.0,3039.0,3127,3,225.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772588722239781,7.050989447068044,0.0,1.3862943611198906,5.420534999272285,0.0,1,1,1,1,0,OSU-NLP-Group/HippoRAG,2024-05,4,1,3,1,0,0.25,1.6094379124341003,0.6931471805599453,1.3862943611198906,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,OSU-NLP-Group/HippoRAG,2024-06,27,22,19,59,20,,0,0,,0,19.0,19.0,True,both,control,control,0,0,48,2740,8.0,3490.0,3646,2,405.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.8918202981106265,7.916078096302786,2.197224577336219,1.0986122886681096,6.0063531596017325,2.70805020110221,1,1,1,1,0,OSU-NLP-Group/HippoRAG,2024-06,3,2,1,1,0,0.6666666666666666,1.3862943611198906,1.0986122886681096,0.6931471805599453,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,OSU-NLP-Group/HippoRAG,2024-07,11,5,2,5,4,,0,0,,0,2.0,2.0,True,both,control,control,0,0,20,80,38.0,3502.0,3658,5,401.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.044522437723423,4.394449154672438,3.6635616461296463,1.791759469228055,5.996452088619021,3.295836866004329,1,1,0,0,0,OSU-NLP-Group/HippoRAG,2024-07,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,OSU-NLP-Group/HippoRAG,2025-01,1,0,0,0,0,,0,0,,0,,,True,left_only,control,control,0,0,1,3,222.0,3502.0,3658,1,43.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453,1.3862943611198906,5.407171771460119,0.6931471805599453,3.784189633918261,0.0,1,1,0,0,0,OSU-NLP-Group/HippoRAG,2025-01,0,0,0,0,1,,0.0,0.0,0.0,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
control,OSU-NLP-Group/HippoRAG,2025-02,3,1,1,172,28,,0,0,,0,1.0,1.0,True,both,control,control,0,0,4,114931,253.0,2789.0,3447,4,141.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.6094379124341005,11.6520959281082,5.537334267018537,1.6094379124341005,4.955827057601261,1.9459101490553128,1,1,1,1,0,OSU-NLP-Group/HippoRAG,2025-02,14,4,10,1,0,0.2857142857142857,2.70805020110221,1.6094379124341003,2.3978952727983707,80,100,80-99,bounded_band,width20_80_139,20,post_hoc_exploratory_sensitivity
