dataset_source,repo_name,candidate_ref,timezone_mode,history_commits,panel_months,count_matches,latest_matches,count_and_latest_matches,total_absolute_count_delta,perfect_panel_match
treatment,airweave-ai/airweave,refs/remotes/origin/feat/process-batching,commit_embedded_offset,1720,9,7,7,6,4,0
treatment,airweave-ai/airweave,HEAD,commit_embedded_offset,4775,9,6,7,6,11,0
treatment,airweave-ai/airweave,refs/remotes/origin/anand-frontend-v2,commit_embedded_offset,3261,9,6,7,6,11,0
treatment,airweave-ai/airweave,refs/remotes/origin/anand/ENG-1318-connect-api,commit_embedded_offset,3480,9,6,7,6,11,0
treatment,airweave-ai/airweave,refs/remotes/origin/anand/prompts,commit_embedded_offset,3106,9,6,7,6,11,0
treatment,airweave-ai/airweave,refs/remotes/origin/main,commit_embedded_offset,4775,9,6,7,6,11,0
treatment,airweave-ai/airweave,refs/remotes/origin/feat/process-batching,utc,1720,9,5,6,5,9,0
treatment,airweave-ai/airweave,HEAD,utc,4775,9,5,6,5,16,0
treatment,airweave-ai/airweave,refs/remotes/origin/anand-frontend-v2,utc,3261,9,5,6,5,16,0
treatment,airweave-ai/airweave,refs/remotes/origin/anand/ENG-1318-connect-api,utc,3480,9,5,6,5,16,0
treatment,airweave-ai/airweave,refs/remotes/origin/anand/prompts,utc,3106,9,5,6,5,16,0
treatment,airweave-ai/airweave,refs/remotes/origin/main,utc,4775,9,5,6,5,16,0
treatment,zauberzeug/nicegui,HEAD,america_chicago,6736,20,20,20,20,0,1
treatment,zauberzeug/nicegui,HEAD,original_local,6736,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/distributed,america_chicago,6273,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/distributed,original_local,6273,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/highcharts-3.3,america_chicago,6739,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/highcharts-3.3,original_local,6739,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/main,america_chicago,6736,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/main,original_local,6736,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/observablecollection-leaks-change-handle,america_chicago,6738,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/observablecollection-leaks-change-handle,original_local,6738,20,20,20,20,0,1
treatment,zauberzeug/nicegui,refs/remotes/origin/cache,america_chicago,6350,20,19,20,19,5,0
treatment,zauberzeug/nicegui,refs/remotes/origin/cache,original_local,6350,20,19,20,19,5,0
treatment,zauberzeug/nicegui,HEAD,utc,6736,20,14,16,13,6,0
treatment,zauberzeug/nicegui,refs/remotes/origin/distributed,utc,6273,20,14,16,13,6,0
treatment,zauberzeug/nicegui,refs/remotes/origin/highcharts-3.3,utc,6739,20,14,16,13,6,0
treatment,zauberzeug/nicegui,refs/remotes/origin/main,utc,6736,20,14,16,13,6,0
treatment,zauberzeug/nicegui,refs/remotes/origin/observablecollection-leaks-change-handle,utc,6738,20,14,16,13,6,0
treatment,zauberzeug/nicegui,refs/remotes/origin/cache,utc,6350,20,13,16,12,11,0
treatment,zauberzeug/nicegui,HEAD,commit_embedded_offset,6736,20,12,15,11,12,0
treatment,zauberzeug/nicegui,refs/remotes/origin/distributed,commit_embedded_offset,6273,20,12,15,11,12,0
treatment,zauberzeug/nicegui,refs/remotes/origin/highcharts-3.3,commit_embedded_offset,6739,20,12,15,11,12,0
treatment,zauberzeug/nicegui,refs/remotes/origin/main,commit_embedded_offset,6736,20,12,15,11,12,0
treatment,zauberzeug/nicegui,refs/remotes/origin/observablecollection-leaks-change-handle,commit_embedded_offset,6738,20,12,15,11,12,0
treatment,zauberzeug/nicegui,refs/remotes/origin/cache,commit_embedded_offset,6350,20,12,15,11,17,0
