function_line_count,events,agc_events,hwc_events,repositories,share_of_total,cumulative_events_le,cumulative_share_le,agc_ratio
190,69,2,67,20,0.00015314683452151602,444001,0.9854688068751831,0.028985507246376812
191,51,0,51,19,0.00011319548638546836,444052,0.9855820023615686,0.0
192,81,2,79,27,0.00017978106661221445,444133,0.9857617834281808,0.024691358024691357
193,68,2,66,18,0.0001509273151806245,444201,0.9859127107433614,0.029411764705882353
194,64,4,60,20,0.00014204923781705833,444265,0.9860547599811785,0.0625
195,65,0,65,24,0.00014426875715794989,444330,0.9861990287383364,0.0
196,55,1,54,19,0.0001220735637490345,444385,0.9863211023020855,0.01818181818181818
197,69,2,67,19,0.00015314683452151602,444454,0.986474249136607,0.028985507246376812
198,73,3,70,22,0.00016202491188508218,444527,0.9866362740484921,0.0410958904109589
199,53,1,52,13,0.00011763452506725143,444580,0.9867539085735593,0.018867924528301886
200,53,0,53,17,0.00011763452506725143,444633,0.9868715430986266,0.0
201,54,2,52,14,0.00011985404440814297,444687,0.9869913971430347,0.037037037037037035
202,50,1,49,17,0.00011097596704457682,444737,0.9871023731100793,0.02
203,62,2,60,18,0.00013761019913527528,444799,0.9872399833092146,0.03225806451612903
204,76,1,75,17,0.0001686834699077568,444875,0.9874086667791223,0.013157894736842105
205,57,1,56,16,0.0001265126024308176,444932,0.9875351793815531,0.017543859649122806
206,43,3,40,17,9.543933165833607e-05,444975,0.9876306187132115,0.06976744186046512
207,36,2,34,12,7.990269627209531e-05,445011,0.9877105214094836,0.05555555555555555
208,49,1,48,21,0.0001087564477036853,445060,0.9878192778571873,0.02040816326530612
209,72,0,72,28,0.00015980539254419063,445132,0.9879790832497315,0.0
210,63,1,62,21,0.0001398297184761668,445195,0.9881189129682076,0.015873015873015872
211,57,2,55,18,0.0001265126024308176,445252,0.9882454255706384,0.03508771929824561
212,51,2,49,19,0.00011319548638546836,445303,0.9883586210570239,0.0392156862745098
213,42,0,42,16,9.321981231744453e-05,445345,0.9884518408693413,0.0
214,46,4,42,21,0.00010209788968101067,445391,0.9885539387590223,0.08695652173913043
215,64,4,60,23,0.00014204923781705833,445455,0.9886959879968394,0.0625
216,41,3,38,16,9.1000292976553e-05,445496,0.9887869882898159,0.07317073170731707
217,41,2,39,14,9.1000292976553e-05,445537,0.9888779885827925,0.04878048780487805
218,42,0,42,16,9.321981231744453e-05,445579,0.98897120839511,0.0
219,31,2,29,15,6.880509956763764e-05,445610,0.9890400134946776,0.06451612903225806
220,33,3,30,14,7.32441382494207e-05,445643,0.989113257632927,0.09090909090909091
221,24,0,24,12,5.326846418139688e-05,445667,0.9891665260971084,0.0
222,50,2,48,19,0.00011097596704457682,445717,0.989277502064153,0.04
223,36,3,33,21,7.990269627209531e-05,445753,0.9893574047604251,0.08333333333333333
224,43,3,40,17,9.543933165833607e-05,445796,0.9894528440920835,0.06976744186046512
225,27,1,26,14,5.9927022204071485e-05,445823,0.9895127711142875,0.037037037037037035
226,24,0,24,10,5.326846418139688e-05,445847,0.9895660395784689,0.0
227,27,1,26,11,5.9927022204071485e-05,445874,0.9896259666006729,0.037037037037037035
228,57,6,51,20,0.0001265126024308176,445931,0.9897524792031038,0.10526315789473684
229,31,1,30,16,6.880509956763764e-05,445962,0.9898212843026715,0.03225806451612903
230,32,1,31,17,7.102461890852917e-05,445994,0.98989230892158,0.03125
231,38,1,37,17,8.43417349538784e-05,446032,0.9899766506565338,0.02631578947368421
232,37,2,35,13,8.212221561298685e-05,446069,0.9900587728721468,0.05405405405405406
233,35,7,28,16,7.768317693120377e-05,446104,0.990136456049078,0.2
234,22,3,19,14,4.8829425499613804e-05,446126,0.9901852854745776,0.13636363636363635
235,33,2,31,20,7.32441382494207e-05,446159,0.990258529612827,0.06060606060606061
236,35,3,32,14,7.768317693120377e-05,446194,0.9903362127897583,0.08571428571428572
237,43,0,43,14,9.543933165833607e-05,446237,0.9904316521214166,0.0
238,34,2,32,13,7.546365759031225e-05,446271,0.9905071157790069,0.058823529411764705
239,43,2,41,9,9.543933165833607e-05,446314,0.9906025551106652,0.046511627906976744
240,35,2,33,13,7.768317693120377e-05,446349,0.9906802382875964,0.05714285714285714
241,24,1,23,12,5.326846418139688e-05,446373,0.9907335067517778,0.041666666666666664
242,24,2,22,13,5.326846418139688e-05,446397,0.9907867752159593,0.08333333333333333
243,30,3,27,16,6.65855802267461e-05,446427,0.990853360796186,0.1
244,26,2,24,9,5.770750286317995e-05,446453,0.9909110682990492,0.07692307692307693
245,32,1,31,12,7.102461890852917e-05,446485,0.9909820929179577,0.03125
246,42,4,38,12,9.321981231744453e-05,446527,0.9910753127302752,0.09523809523809523
247,36,1,35,17,7.990269627209531e-05,446563,0.9911552154265473,0.027777777777777776
248,23,3,20,6,5.104894484050534e-05,446586,0.9912062643713877,0.13043478260869565
249,30,3,27,11,6.65855802267461e-05,446616,0.9912728499516145,0.1
250,24,5,19,7,5.326846418139688e-05,446640,0.9913261184157959,0.20833333333333334
251,25,3,22,11,5.548798352228841e-05,446665,0.9913816063993182,0.12
252,30,5,25,13,6.65855802267461e-05,446695,0.9914481919795449,0.16666666666666666
253,38,0,38,16,8.43417349538784e-05,446733,0.9915325337144988,0.0
254,27,2,25,13,5.9927022204071485e-05,446760,0.9915924607367028,0.07407407407407407
255,28,1,27,10,6.214654154496302e-05,446788,0.9916546072782478,0.03571428571428571
256,37,4,33,15,8.212221561298685e-05,446825,0.9917367294938608,0.10810810810810811
257,21,0,21,11,4.6609906158722264e-05,446846,0.9917833394000195,0.0
258,25,4,21,10,5.548798352228841e-05,446871,0.9918388273835418,0.16
259,20,1,19,11,4.439038681783073e-05,446891,0.9918832177703597,0.05
260,24,1,23,12,5.326846418139688e-05,446915,0.991936486234541,0.041666666666666664
261,14,3,11,8,3.107327077248151e-05,446929,0.9919675595053136,0.21428571428571427
262,24,1,23,10,5.326846418139688e-05,446953,0.992020827969495,0.041666666666666664
263,22,1,21,11,4.8829425499613804e-05,446975,0.9920696573949945,0.045454545454545456
264,24,1,23,10,5.326846418139688e-05,446999,0.9921229258591759,0.041666666666666664
265,8,0,8,7,1.775615472713229e-05,447007,0.992140682013903,0.0
266,21,2,19,11,4.6609906158722264e-05,447028,0.9921872919200618,0.09523809523809523
267,21,0,21,11,4.6609906158722264e-05,447049,0.9922339018262205,0.0
268,23,1,22,9,5.104894484050534e-05,447072,0.992284950771061,0.043478260869565216
269,21,0,21,8,4.6609906158722264e-05,447093,0.9923315606772197,0.0
270,15,1,14,9,3.329279011337305e-05,447108,0.9923648534673332,0.06666666666666667
271,20,3,17,8,4.439038681783073e-05,447128,0.992409243854151,0.15
272,12,0,12,8,2.663423209069844e-05,447140,0.9924358780862417,0.0
273,29,2,27,9,6.436606088585456e-05,447169,0.9925002441471275,0.06896551724137931
274,16,0,16,6,3.551230945426458e-05,447185,0.9925357564565818,0.0
275,22,1,21,8,4.8829425499613804e-05,447207,0.9925845858820814,0.045454545454545456
276,22,1,21,12,4.8829425499613804e-05,447229,0.992633415307581,0.045454545454545456
277,23,3,20,10,5.104894484050534e-05,447252,0.9926844642524215,0.13043478260869565
278,15,6,9,4,3.329279011337305e-05,447267,0.9927177570425348,0.4
279,26,15,11,9,5.770750286317995e-05,447293,0.992775464545398,0.5769230769230769
