repo_name,repo_primary_language,repo_stars,repo_commits,repo_contributors,repo_size,repo_languages,status,target_dir,note,event_month,panel_first_month,panel_latest_month,panel_month_count,min_relative_month,max_relative_month,pre_panel_months,event_months,post_panel_months,balanced_window,adoption_month,adoption_date,adoption_commit,confidence,evidence_paths,event_month_clean,adoption_month_clean,month_difference,event_month_match,match_status
cohnen/mcp-google-ads,Python,14,10.0,1.0,272.0,Python: 55729,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/cohnen_mcp-google-ads,ok,2025-03,2025-03,2025-08,6.0,0.0,5.0,0.0,1.0,5.0,0.0,2025-03,2025-03-20,8d9cc316c1bf12d33f41a82783f27de80d0cf7b7,high,.cursor/rules/fastmcp.mdc;.cursor/rules/gaql-google-ads-query-language.mdc,2025-03,2025-03,0,True,matched
daojiAnime/vmq-fastapi,Python,13,38.0,2.0,452.0,Python: 105601; HTML: 15920; Shell: 3286; Dockerfile: 1284; Mako: 523,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/daojiAnime_vmq-fastapi,ok,2025-01,2025-01,2025-03,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2025-01,2025-01-22,f34d6a927edd7b3141ea10f629352be607cc5acf,high,.cursorrules,2025-01,2025-01,0,True,matched
discus0434/nook,Python,225,19.0,1.0,3127.0,Python: 63351; HTML: 52319; Dockerfile: 617; Makefile: 289,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/discus0434_nook,ok,2025-02,2025-02,2025-04,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2025-02,2025-02-28,b470cb64c6c12fa37720d314a61c35e1e69855f1,high,.cursorignore;.cursorrules,2025-02,2025-02,0,True,matched
ericmjl/llamabot,Python,135,1656.0,12.0,4822.0,Python: 385531; Jupyter Notebook: 353882; HTML: 20441; CSS: 7743; Dockerfile: 871; JavaScript: 624,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_llamabot,ok,2024-09,2024-01,2025-08,20.0,-8.0,11.0,8.0,1.0,11.0,8.0,2024-09,2024-09-27,27ced027d5d8490d9fbdff5848fd8b2c0bfa38f7,high,.cursorrules,2024-09,2024-09,0,True,matched
ericmjl/pyds-cli,Python,45,454.0,2.0,1380.0,Python: 41461; Dockerfile: 5244; Jupyter Notebook: 878; CSS: 607; Makefile: 159; JavaScript: 21,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericmjl_pyds-cli,ok,2024-11,2024-01,2025-04,16.0,-10.0,5.0,10.0,1.0,5.0,5.0,2024-11,2024-11-03,1b6b297539ad83d94f24aeebd82367dc1ff999a8,high,.cursorrules,2024-11,2024-11,0,True,matched
ericyuegu/hal,Python,25,757.0,1.0,427669.0,Python: 569174; Shell: 2169,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericyuegu_hal,ok,2025-02,2024-05,2025-03,11.0,-9.0,1.0,9.0,1.0,1.0,1.0,2025-02,2025-02-28,87980c17d3f39dfdde8f56bb6508acba4e13056b,high,.cursor/rules/hal-project-structure.mdc,2025-02,2025-02,0,True,matched
ericzakariasson/uber-eats-mcp-server,Python,148,5.0,2.0,11.0,Python: 5473,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ericzakariasson_uber-eats-mcp-server,ok,2025-03,2025-03,2025-03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-03,2025-03-01,15a28f6bfe9a6ac94072cdd4e94498e93d0a4d25,high,.cursor/mcp.json;.cursor/python.mdc,2025-03,2025-03,0,True,matched
ethereum/pm,Python,1678,2272.0,98.0,8869.0,Python: 1188,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethereum_pm,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-19,07e0fc10d78a34ec98e995291cad26cc4b7347e9,high,.cursorignore,2025-03,2025-03,0,True,matched
ethyca/fides,Python,392,3002.0,62.0,115471.0,Python: 7618523; TypeScript: 5029681; JavaScript: 365464; CSS: 39166; HTML: 33307; SCSS: 18712; Dockerfile: 4481; Jinja: 3618; Mako: 494,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ethyca_fides,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-14,7ffd180f448f8d3becbfb7442eb7973aa570c593,high,.cursorignore,2025-03,2025-03,0,True,matched
ezyang/codemcp,Python,962,1019.0,6.0,1483.0,Python: 487727; Shell: 1540,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ezyang_codemcp,ok,2025-03,2025-03,2025-06,4.0,0.0,3.0,0.0,1.0,3.0,0.0,2025-03,2025-03-16,340fa5e4e28ef8a29539cfb4ab2732d2010c9ad5,high,.cursor/rules/expecttest.mdc,2025-03,2025-03,0,True,matched
gerred/mcp-server-replicate,Python,10,26.0,4.0,202.0,Python: 154518; Dockerfile: 808,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/gerred_mcp-server-replicate,ok,2025-01,2025-01,2025-02,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2025-01,2025-01-05,531e86b641367d21f44f6db6be83d3595aba88fc,high,.cursorrules,2025-01,2025-01,0,True,matched
getsentry/sentry,Python,40425,82057.0,337.0,590738.0,Python: 42565515; TypeScript: 33301709; HTML: 265688; Less: 219675; Lua: 74682; JavaScript: 55575; PEG.js: 20144; Shell: 17052; Makefile: 7073; Dockerfile: 4296; EJS: 1803; Ruby: 708,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/getsentry_sentry,ok,2025-02,2024-01,2025-08,20.0,-13.0,6.0,13.0,1.0,6.0,6.0,2025-02,2025-02-06,cfdd2e8d495a86e3c15317d17d532f18265a7679,high,.cursor/rules/tsx_tests.mdc,2025-02,2025-02,0,True,matched
grapeot/devin.cursorrules,Python,5231,45.0,10.0,4811.0,Python: 51939,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/grapeot_devin.cursorrules,ok,2024-12,2024-12,2025-05,6.0,0.0,5.0,0.0,1.0,5.0,0.0,2024-12,2024-12-17,c50983fdafd8a984ee2afb6f59ee915d24f03074,high,.cursorrules,2024-12,2024-12,0,True,matched
grapeot/web_agentic_ai,Python,26,73.0,1.0,1306.0,Python: 180862; JavaScript: 84998; CSS: 24597; HTML: 9056,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/grapeot_web_agentic_ai,ok,2025-02,2025-02,2025-03,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2025-02,2025-02-25,5b389591809ab1b26c261e9d1fbddb3f88c0b038,high,.cursorrules;claude-tooling/.cursorrules,2025-02,2025-02,0,True,matched
huggingface/nanotron,Python,1740,1223.0,25.0,15107.0,Python: 1259622; Makefile: 487,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/huggingface_nanotron,ok,2025-03,2024-01,2025-06,18.0,-14.0,3.0,14.0,1.0,3.0,3.0,2025-03,2025-03-19,b2ae7ebdb9bf6817a3526051fa7785e33034b03c,high,.cursor/rules/performance-optimization.mdc;.cursor/rules/philosophy.mdc;.cursor/rules/pipeline-parallelism.mdc;.cursor/rules/project-overview.mdc;.cursor/rules/tensor-parallelism.mdc;.cursor/rules/troubleshooting.mdc,2025-03,2025-03,0,True,matched
hyperb1iss/droidmind,Python,25,59.0,1.0,586.0,Python: 258301,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/hyperb1iss_droidmind,ok,2025-03,2025-02,2025-05,4.0,-1.0,2.0,1.0,1.0,2.0,1.0,2025-03,2025-03-01,e10a121dfabb502320143f46c1e2e3ef91b4fa6e,high,.cursor/rules/001_workspace.mdc;.cursor/rules/002_cursor_rules.mdc;.cursor/rules/003_cursor_docs.mdc,2025-03,2025-03,0,True,matched
ifokeev/telegram-ai-agent,Python,27,18.0,1.0,173.0,Python: 129315; Shell: 1967,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ifokeev_telegram-ai-agent,ok,2024-10,2024-09,2025-01,5.0,-1.0,3.0,1.0,1.0,3.0,1.0,2024-10,2024-10-10,dd071c91dd06e8432fb812072570e0686eaa2799,high,.cursorrules,2024-10,2024-10,0,True,matched
ilanbenb/wa_llm,Python,12,133.0,2.0,569.0,Python: 108183; Jupyter Notebook: 10435; Dockerfile: 855; Mako: 652,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ilanbenb_wa_llm,ok,2025-02,2024-12,2025-08,9.0,-2.0,6.0,2.0,1.0,6.0,2.0,2025-02,2025-02-03,dddcf297610a098122e31c4f736aaaa2df1780ee,high,.cursorrules,2025-02,2025-02,0,True,matched
instructor-ai/instructor,Python,9933,1184.0,199.0,133554.0,Python: 627215; Shell: 81,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/instructor-ai_instructor,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-03,77517f9666d5b009598b3e5918d5f3245708035c,high,.cursorignore,2025-03,2025-03,0,True,matched
jmurth1234/ClaudePlayer,Python,21,12.0,1.0,639.0,Python: 81758,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/jmurth1234_ClaudePlayer,ok,2025-03,2025-02,2025-03,2.0,-1.0,0.0,1.0,1.0,0.0,0.0,2025-03,2025-03-09,ab0130db7734fdc5160f15933754f2c59ed212be,high,.cursor/rules/rules.mdc,2025-03,2025-03,0,True,matched
keephq/keep,Python,9804,2420.0,105.0,82462.0,Python: 3885838; TypeScript: 2204593; JavaScript: 20736; CSS: 18662; Shell: 13198; SCSS: 3347; Mako: 551,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/keephq_keep,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-27,b90506f8d4c260bcab85951eefe9bc4f263a4731,high,.cursor/rules/keep-ui-react-typescript.mdc;.cursor/rules/keep-ui-tests.mdc,2025-03,2025-03,0,True,matched
kenshiro-o/nagato-ai,Python,115,115.0,1.0,38216.0,Python: 614025; Makefile: 1196,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/kenshiro-o_nagato-ai,ok,2025-02,2024-03,2025-08,18.0,-11.0,6.0,11.0,1.0,6.0,6.0,2025-02,2025-02-15,e998accbfdbd033885f59b54811e9db8880a8e5c,high,.cursorrules,2025-02,2025-02,0,True,matched
kevon217/custom-agency-swarms,Python,14,21.0,1.0,482.0,Python: 94888,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/kevon217_custom-agency-swarms,ok,2024-01,2024-01,2024-01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-01,2024-01-11,583c7b2f6e8d70428ac115af980f5d1bb4df92c1,high,.cursorignore,2024-01,2024-01,0,True,matched
leettools-dev/leettools,Python,304,127.0,5.0,1456.0,Python: 2179551; Shell: 19578; Dockerfile: 2722,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/leettools-dev_leettools,ok,2025-03,2024-12,2025-04,5.0,-3.0,1.0,3.0,1.0,1.0,1.0,2025-03,2025-03-10,cb02328c27177d47e3bc1aa51257925cdb9ebd74,high,.cursorrules,2025-03,2025-03,0,True,matched
loftwah/auto-jira,Python,10,34.0,1.0,74.0,Python: 43547,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/loftwah_auto-jira,ok,2025-02,2025-02,2025-02,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-02,2025-02-23,804ebb6d75f320e4cc3dc102f06b17e48009398c,high,.cursorrules,2025-02,2025-02,0,True,matched
lss233/kirara-ai,Python,14838,1546.0,38.0,38646.0,Python: 741320; Dockerfile: 1644; Shell: 831; Mako: 689,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/lss233_kirara-ai,ok,2025-02,2024-01,2025-06,18.0,-13.0,4.0,13.0,1.0,4.0,4.0,2025-02,2025-02-04,6edc5a671eeb7f54681c500e7db44fa5ad14afa2,high,.cursor/rules/create-workflow.mdc,2025-02,2025-02,0,True,matched
martinnormark/neural-mesh-simplification,Python,28,143.0,2.0,180.0,Python: 127092; Jupyter Notebook: 10204,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/martinnormark_neural-mesh-simplification,ok,2025-01,2024-08,2025-03,8.0,-5.0,2.0,5.0,1.0,2.0,2.0,2025-01,2025-01-24,60e8f910511120d9131e1551df955b3f1184a820,high,.cursorrules,2025-01,2025-01,0,True,matched
matebenyovszky/healing-agent,Python,16,18.0,1.0,108.0,Python: 88166,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/matebenyovszky_healing-agent,ok,2024-10,2024-10,2025-01,4.0,0.0,3.0,0.0,1.0,3.0,0.0,2024-10,2024-10-28,743190802fadd6059255225b218068d5f8fc9960,high,.cursorignore,2024-10,2024-10,0,True,matched
namuan/trading-utils,Python,200,816.0,1.0,10017.0,Python: 763806; Shell: 4833; Makefile: 2955,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/namuan_trading-utils,ok,2024-11,2024-01,2025-03,15.0,-10.0,4.0,10.0,1.0,4.0,4.0,2024-11,2024-11-14,311a6497cb1a2efebd0b5b94e8f2f0cac646a47e,high,.cursorrules,2024-11,2024-11,0,True,matched
neal-zhu/sentinel,Python,44,6.0,1.0,130.0,Python: 295266,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/neal-zhu_sentinel,ok,2024-11,2024-11,2025-04,6.0,0.0,5.0,0.0,1.0,5.0,0.0,2024-11,2024-11-15,839bd4ff09b8250cea83851f84e5f2289c1cd3ad,high,.cursorignore,2024-11,2024-11,0,True,matched
nextml-code/pytorch-datastream,Python,33,133.0,3.0,907.0,Python: 74062,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/nextml-code_pytorch-datastream,ok,2025-01,2024-01,2025-01,13.0,-12.0,0.0,12.0,1.0,0.0,0.0,2025-01,2025-01-03,5bcbc9467c2b8a19336539482b88f70f871d2825,high,.cursorrules,2025-01,2025-01,0,True,matched
osomai/servicenow-mcp,Python,27,29.0,4.0,193.0,Python: 610912; Shell: 3002; Dockerfile: 344,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/osomai_servicenow-mcp,ok,2025-03,2025-03,2025-08,6.0,0.0,5.0,0.0,1.0,5.0,0.0,2025-03,2025-03-24,4522db706d9f731106c22114150c5f4c63a5ed75,high,.cursorrules,2025-03,2025-03,0,True,matched
panther-labs/panther-analysis,Python,368,1369.0,110.0,6377.0,Python: 895993; Makefile: 2424; Dockerfile: 1298; Shell: 709,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/panther-labs_panther-analysis,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-11,23081d5c63a74701b2ccdea79f47843c0bfb83c8,high,.cursor/rules/panther-rules.mdc,2025-03,2025-03,0,True,matched
raphaelmansuy/code2prompt,Python,818,141.0,3.0,1571.0,Python: 142563; Jinja: 18577; Shell: 54,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_code2prompt,ok,2024-09,2024-03,2025-01,11.0,-6.0,4.0,6.0,1.0,4.0,4.0,2024-09,2024-09-07,de5400355f551c9b91fd275c860e75aa2a7963a6,high,.cursorrules,2024-09,2024-09,0,True,matched
raphaelmansuy/iteration_of_tought,Python,39,21.0,1.0,252.0,Python: 16765,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/raphaelmansuy_iteration_of_tought,ok,2024-09,2024-09,2024-09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-09,2024-09-20,a2358fa4268eabfc55567d612211c0aaa8d5254f,high,.cursorrules,2024-09,2024-09,0,True,matched
samuelgursky/davinci-resolve-mcp,Python,45,13.0,2.0,421.0,Python: 414022; Shell: 101565; Batchfile: 25690; PowerShell: 16183,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/samuelgursky_davinci-resolve-mcp,ok,2025-03,2025-03,2025-04,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2025-03,2025-03-26,23161f85633354f3256838c81cab6160cea35890,high,.cursorrules,2025-03,2025-03,0,True,matched
sbomify/sbomify,Python,24,83.0,3.0,6882.0,Python: 919400; Vue: 120438; HTML: 112165; TypeScript: 37940; CSS: 10532; JavaScript: 4572; Dockerfile: 1441; Shell: 677,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sbomify_sbomify,ok,2025-01,2025-01,2025-08,8.0,0.0,7.0,0.0,1.0,7.0,0.0,2025-01,2025-01-30,b4e160d00209589eb72c3b5f7314f9ccb8724bd3,high,.cursor/rules/django.mdc;.cursor/rules/general.mdc;.cursor/rules/javascript-typescript.mdc;.cursor/rules/python.mdc;.cursor/rules/vue.mdc,2025-01,2025-01,0,True,matched
sirkirby/unifi-network-rules,Python,21,42.0,1.0,305.0,Python: 474321,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sirkirby_unifi-network-rules,ok,2025-03,2024-09,2025-07,11.0,-6.0,4.0,6.0,1.0,4.0,4.0,2025-03,2025-03-07,bb9bb341de5c9555da2ea7f7f9dea300933a0701,high,.cursor/rules/unr-rules.mdc,2025-03,2025-03,0,True,matched
smartian1/tgtrader,Python,27,231.0,1.0,12606.0,Python: 659346; HTML: 294605; Jupyter Notebook: 21893,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/smartian1_tgtrader,ok,2025-01,2024-12,2025-04,5.0,-1.0,3.0,1.0,1.0,3.0,1.0,2025-01,2025-01-08,25e55e53baefe253438b6521d54d181e210a764c,high,.cursorrules,2025-01,2025-01,0,True,matched
smorin/py-launch-blueprint,Python,11,130.0,6.0,635.0,Python: 22846; Just: 4749; Makefile: 4132; PowerShell: 683,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/smorin_py-launch-blueprint,ok,2025-03,2025-01,2025-06,6.0,-2.0,3.0,2.0,1.0,3.0,2.0,2025-03,2025-03-23,a4798ffe93b6fba4bfa12d88b9c1750f8f926658,high,.cursor/rules/projectenv.mdc,2025-03,2025-03,0,True,matched
sshtunnelvision/MCP-LOGO-GEN,Python,159,15.0,1.0,59958.0,Python: 26462; Dockerfile: 161,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/sshtunnelvision_MCP-LOGO-GEN,ok,2025-03,2025-03,2025-03,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2025-03,2025-03-05,d4beeff5ab522c2448f93335f31d968c6515edba,high,.cursor/rules/logo-creation.mdc,2025-03,2025-03,0,True,matched
synaptiai/prompt-decorators,Python,14,122.0,2.0,9425.0,Python: 527011; Shell: 402,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/synaptiai_prompt-decorators,ok,2025-03,2025-02,2025-08,7.0,-1.0,5.0,1.0,1.0,5.0,1.0,2025-03,2025-03-05,4159a38f1deed6f5c8c7461b399df6bb18934878,high,.cursor/rules/000-cursor-rules.mdc;.cursor/rules/001-generated-files.mdc;.cursor/rules/400-md-docs.mdc;.cursorignore,2025-03,2025-03,0,True,matched
terryyin/lizard,Python,1938,1117.0,49.0,2881.0,Python: 530214; Less: 175512; HTML: 102979; JavaScript: 77780; PHP: 4914; CSS: 4084; XSLT: 2233; Makefile: 1026; Nix: 896; Shell: 504; C: 76,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/terryyin_lizard,ok,2025-01,2024-01,2025-08,20.0,-12.0,7.0,12.0,1.0,7.0,7.0,2025-01,2025-01-30,c6fd6a6b6358836dd39f20444da6435f3fa173d4,high,.cursor/rules/lizard-rule.mdc,2025-01,2025-01,0,True,matched
tmux-python/tmuxp,Python,4177,4244.0,70.0,8245.0,Python: 302141; Makefile: 1869,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tmux-python_tmuxp,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-08,b9299a20c80467fc61c48b7a9de47fc695591a0d,high,.cursor/rules/avoid-debug-loops.mdc;.cursor/rules/dev-loop.mdc;.cursor/rules/git-commits.mdc;.cursor/rules/notes-llms-txt.mdc,2025-03,2025-03,0,True,matched
tony/django-docutils,Python,11,1427.0,4.0,2039.0,Python: 107865; Makefile: 1383; HTML: 353,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tony_django-docutils,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-08,5807d80ea450c6e7abac831bae19c92978bec276,high,.cursor/rules/avoid-debug-loops.mdc;.cursor/rules/dev-loop.mdc;.cursor/rules/git-commits.mdc;.cursor/rules/notes-llms-txt.mdc,2025-03,2025-03,0,True,matched
tony/django-slugify-processor,Python,16,964.0,5.0,1960.0,Python: 8025; Makefile: 1437,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tony_django-slugify-processor,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-08,96af6e3d3a7a6a1468e72944b6680cc1d500eea1,high,.cursor/rules/avoid-debug-loops.mdc;.cursor/rules/dev-loop.mdc;.cursor/rules/git-commits.mdc;.cursor/rules/notes-llms-txt.mdc,2025-03,2025-03,0,True,matched
trycua/cua,Python,3101,154.0,8.0,4209.0,Python: 597006; Swift: 222822; Shell: 32179; Jupyter Notebook: 30618; Dockerfile: 1820,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/trycua_cua,ok,2025-03,2025-01,2025-08,8.0,-2.0,5.0,2.0,1.0,5.0,2.0,2025-03,2025-03-16,8baef75e6e9d990dda2dee840f06df8e03678134,high,.cursorignore,2025-03,2025-03,0,True,matched
tsukumijima/KonomiTV,Python,725,2994.0,18.0,161519.0,Python: 1295281; Vue: 769210; TypeScript: 686372; HTML: 7579; Dockerfile: 6249; SCSS: 2580; JavaScript: 83,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tsukumijima_KonomiTV,ok,2025-01,2024-01,2025-08,20.0,-12.0,7.0,12.0,1.0,7.0,7.0,2025-01,2025-01-27,0558f5f7aa2f5f652c02defa0d4f603cb56b9fb0,high,.cursorrules,2025-01,2025-01,0,True,matched
ttmouse/Wispr-Flow-CN,Python,19,68.0,1.0,3182.0,Python: 203934; Shell: 8496,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/ttmouse_Wispr-Flow-CN,ok,2024-12,2024-09,2025-08,12.0,-3.0,8.0,3.0,1.0,8.0,3.0,2024-12,2024-12-31,1f182ca97fab24917f76eac5cc3cb79996a101ca,high,.cursorrules,2024-12,2024-12,0,True,matched
tw-haiven/haiven,Python,129,1331.0,10.0,43524.0,Python: 320430; JavaScript: 277810; CSS: 135713; Shell: 2565; HTML: 1992; Dockerfile: 1452,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/tw-haiven_haiven,ok,2025-02,2024-04,2025-08,17.0,-10.0,6.0,10.0,1.0,6.0,6.0,2025-02,2025-02-04,ae7f63b33e13562003d9d06a8d859ea3c114e99a,high,.cursor/rules/backend-rules.mdc;.cursor/rules/frontend-rules.mdc;.cursor/rules/test-rules.mdc;.cursorrules,2025-02,2025-02,0,True,matched
utensils/mcp-nixos,Python,28,163.0,1.0,898.0,Python: 744386; Nix: 26939; Shell: 169,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/utensils_mcp-nixos,ok,2025-03,2025-03,2025-08,6.0,0.0,5.0,0.0,1.0,5.0,0.0,2025-03,2025-03-20,679572cc171210deeb72bb9f7acf11eb2c0867c4,high,.cursorrules,2025-03,2025-03,0,True,matched
vcs-python/vcspull,Python,207,2296.0,6.0,5726.0,Python: 86358; Makefile: 1559; Shell: 1347,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/vcs-python_vcspull,ok,2025-03,2024-01,2025-08,20.0,-14.0,5.0,14.0,1.0,5.0,5.0,2025-03,2025-03-08,dff46c4533648994326dd6be72e2c1f58151126c,high,.cursor/rules/avoid-debug-loops.mdc;.cursor/rules/dev-loop.mdc;.cursor/rules/git-commits.mdc,2025-03,2025-03,0,True,matched
vietanhdev/anylabeling,Python,2594,235.0,8.0,11611.0,Python: 1955730; Shell: 739,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/vietanhdev_anylabeling,ok,2025-03,2024-01,2025-05,17.0,-14.0,2.0,14.0,1.0,2.0,2.0,2025-03,2025-03-14,babcab3ebc590a03036cf13fedc7e3b8d95d32f1,high,.cursorrules,2025-03,2025-03,0,True,matched
wdm0006/elote,Python,24,77.0,4.0,8927.0,Python: 442959; Makefile: 3284,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_elote,ok,2025-02,2024-01,2025-06,18.0,-13.0,4.0,13.0,1.0,4.0,4.0,2025-02,2025-02-26,43fd084f9f804109bfc9f68a1fb5fd708077e98e,high,.cursor/rules/pytest_standards.mdc;.cursor/rules/python_standards.mdc;.cursor/rules/sphinx_docs_standards.mdc,2025-02,2025-02,0,True,matched
wdm0006/git-pandas,Python,189,130.0,4.0,6650.0,Python: 203132; Makefile: 2862,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_git-pandas,ok,2025-03,2024-01,2025-07,19.0,-14.0,4.0,14.0,1.0,4.0,4.0,2025-03,2025-03-13,7d52cdf168a654ac3baec0a2df3df63389969248,high,.cursor/rules/project_overview.mdc;.cursor/rules/pytest_standards.mdc;.cursor/rules/python_standards.mdc;.cursor/rules/sphinx_docs_standards.mdc;.cursor/rules/testing.mdc,2025-03,2025-03,0,True,matched
wdm0006/pygeohash,Python,159,81.0,11.0,6309.0,Python: 91294; C: 10873; Makefile: 3444,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/wdm0006_pygeohash,ok,2025-03,2024-01,2025-07,19.0,-14.0,4.0,14.0,1.0,4.0,4.0,2025-03,2025-03-01,5095348ae3b1f129ed51699f8ade2d99af010634,high,.cursor/rules/project_overview.mdc;.cursor/rules/pytest_standards.mdc;.cursor/rules/python_standards.mdc;.cursor/rules/sphinx_docs_standards.mdc;.cursor/rules/testing.mdc,2025-03,2025-03,0,True,matched
whiteducksoftware/flock,Python,29,241.0,4.0,46725.0,Python: 523435,cloned,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/whiteducksoftware_flock,ok,2025-03,2025-02,2025-08,7.0,-1.0,5.0,1.0,1.0,5.0,1.0,2025-03,2025-03-10,cdf4770ae275ac1da94aea8a69e15120a8fa7a50,high,.cursor/specs/01_core_architecture.md;.cursor/specs/02_agent_factory.md;.cursor/specs/03_module_system.md;.cursor/specs/04_evaluator_system.md;.cursor/specs/05_router_system.md;.cursor/specs/06_tool_system.md;.cursor/specs/07_execution_system.md;.cursor/specs/08_context_system.md,2025-03,2025-03,0,True,matched
