repo_name,repo_key,event,event_index,model_a_complete_rows,pre_treatment_complete_rows,post_treatment_complete_rows,first_complete_month,last_complete_month,borusyak_estimable,estimability_reason
OpenSPP/openspp-modules,openspp/openspp-modules,2025-03,15,19,14,5,2024-01,2025-07,1,estimable
PiotrCzapla/smart_dictation,piotrczapla/smart_dictation,2024-10,10,1,0,1,2024-10,2024-10,0,no_pre_treatment_complete_case_row
PostHog/posthog,posthog/posthog,2025-02,14,20,13,7,2024-01,2025-08,1,estimable
ResearchHub/researchhub-backend,researchhub/researchhub-backend,2025-03,15,20,14,6,2024-01,2025-08,1,estimable
Scrapybara/codecapy,scrapybara/codecapy,2025-01,13,8,0,8,2025-01,2025-08,0,no_pre_treatment_complete_case_row
SlyyCooper/cursorrules-architect,slyycooper/cursorrules-architect,2024-12,12,6,1,5,2024-11,2025-04,1,estimable
TextGeneratorio/text-generator.io,textgeneratorio/text-generator.io,2025-03,15,20,14,6,2024-01,2025-08,1,estimable
The-Pocket/PocketFlow,the-pocket/pocketflow,2025-02,14,9,2,7,2024-12,2025-08,1,estimable
The-Pocket/PocketFlow-Template-Python,the-pocket/pocketflow-template-python,2025-02,14,7,0,7,2025-02,2025-08,0,no_pre_treatment_complete_case_row
The-Pocket/Tutorial-AI-Paul-Graham,the-pocket/tutorial-ai-paul-graham,2025-03,15,2,1,1,2025-02,2025-03,1,estimable
The-Pocket/Tutorial-Cold-Email-Personalization,the-pocket/tutorial-cold-email-personalization,2025-03,15,1,0,1,2025-03,2025-03,0,no_pre_treatment_complete_case_row
The-Pocket/Tutorial-Cursor,the-pocket/tutorial-cursor,2025-03,15,1,0,1,2025-03,2025-03,0,no_pre_treatment_complete_case_row
TheSethRose/Agent-Chat,thesethrose/agent-chat,2024-10,10,1,0,1,2024-10,2024-10,0,no_pre_treatment_complete_case_row
ToolUse/infinite-ai-seo,tooluse/infinite-ai-seo,2025-02,14,2,0,2,2025-02,2025-03,0,no_pre_treatment_complete_case_row
ToolUse/tool-use-ai,tooluse/tool-use-ai,2024-12,12,8,3,5,2024-09,2025-04,1,estimable
