exclusion_stage,exclusion_reason,scope_role,dataset_source,repo_name,time,event,time_to_event,python_eligible,scan_status,commits,lines_added,age,ncloc,ncloc_original,ncloc_recovered,ncloc_source,ncloc_recovery_applied,ncloc_recovery_snapshot_key,contributors,stars,issues,latest_commit_effective,commit_resolution
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,TheSethRose/Agent-Chat,2024-10,2024-10,0.0,1,success_python,8.0,302.0,0,356.0,356.0,,replication_panel,0,,2.0,0,0,464bdbd1b280f5a15358aca50b7c8e60a4d5ff04,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,ToolUse/infinite-ai-seo,2025-02,2025-02,0.0,1,success_python,7.0,1115.0,0,1122.0,1122.0,,replication_panel,0,,1.0,14,0,d4019a3edb442ae7ffddbfdad289ec92400d32ee,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,ToolUse/infinite-ai-seo,2025-03,2025-02,1.0,1,success_python,2.0,4.0,11,1122.0,1122.0,,replication_panel,0,,2.0,9,0,1e1338fdabd877df880eacfbea799ead6de17d43,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,VRSEN/agency-swarm-memory-demo,2025-02,2025-02,0.0,1,success_python,12.0,1315.0,0,217.0,217.0,,replication_panel,0,,2.0,0,0,28f98de9ae21b822690afc595f84f910189cece9,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,VRSEN/agency-voice-interface,2024-10,2024-10,0.0,1,success_python,54.0,8163.0,0,2603.0,2603.0,,replication_panel,0,,2.0,32,1,4bc9c9f739d2f776e38c7317051bd3153d54aaa2,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,VRSEN/agency-voice-interface,2024-11,2024-10,1.0,1,success_python,1.0,4.0,3,2603.0,2603.0,,replication_panel,0,,1.0,17,1,07918baab9d7be443e9ecf5d2244a5885ca32290,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,VRSEN/agency-voice-interface,2024-12,2024-10,2.0,1,success_python,0.0,0.0,33,2603.0,2603.0,,replication_panel,0,,0.0,4,0,07918baab9d7be443e9ecf5d2244a5885ca32290,carried_forward
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,VRSEN/agency-voice-interface,2025-01,2024-10,3.0,1,success_python,2.0,2.0,64,2603.0,2603.0,,replication_panel,0,,1.0,5,0,2d9d39ce02d9cb9628e8de79b3543fe05885ad42,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,WangQrkkk/ThinkingCursor,2025-01,2025-01,0.0,1,success_python,2.0,1.0,0,94.0,94.0,,replication_panel,0,,1.0,12,0,5abd2e973d5243ca8f9c7d1073ca96789f875c04,observed
model_a_estimability,treatment_has_no_pre_treatment_complete_case_row,treatment,treatment,WangQrkkk/ThinkingCursor,2025-02,2025-01,1.0,1,success_python,3.0,306.0,3,94.0,94.0,,replication_panel,0,,1.0,13,1,7f8188043c7738cb880294ed2f34b4c45303d0f5,observed
