control_repo,matched_treatment_count_all,matched_treatment_count_candidates,candidate_treatment_month_slots,candidate_python_eligible_slots,control_clone_found,pair_statuses,monthly_history_rows,monthly_python_rows,monthly_no_python_rows,monthly_unknown_rows,first_month,last_month,control_key,matched_estimable_treatment_count,linked_to_estimable_treatment,panel_row_count,panel_first_month,panel_last_month,python_panel_row_count,python_panel_first_month,python_panel_last_month,model_a_complete_row_count,model_a_complete_first_month,model_a_complete_last_month,model_a_estimable_row_count,model_a_estimable_first_month,model_a_estimable_last_month,panel_no_python_rows,panel_python_rows,panel_unknown_python_rows,control_has_adoption_event,control_event_effective,panel_post_adoption_rows,control_adoption_signal_without_event_rows,panel_post_adoption_python_rows,control_pool_status
Hack-a-Day/2024-Supercon-8-Add-On-Badge,1,1,5,5,1,aligned,7,6,1,0,2024-09,2025-03,hack-a-day/2024-supercon-8-add-on-badge,1,1,7,2024-09,2025-03,6,2024-10,2025-03,6,2024-10,2025-03,6,2024-10,2025-03,1,6,0,0,,0,0,0,model_a_estimable_available
HelpingAI/Webscout,6,6,21,21,1,aligned,19,19,0,0,2024-02,2025-08,helpingai/webscout,0,0,19,2024-02,2025-08,19,2024-02,2025-08,19,2024-02,2025-08,0,,,0,19,0,0,,0,0,0,not_linked_to_estimable_treatment
IBM/mt-rag-benchmark,1,1,17,9,1,aligned,5,5,0,0,2024-12,2025-04,ibm/mt-rag-benchmark,1,1,5,2024-12,2025-04,5,2024-12,2025-04,5,2024-12,2025-04,5,2024-12,2025-04,0,5,0,0,,0,0,0,model_a_estimable_available
ITSpecialist111/ai_automation_suggester,1,1,7,7,1,aligned,9,9,0,0,2024-10,2025-06,itspecialist111/ai_automation_suggester,1,1,9,2024-10,2025-06,9,2024-10,2025-06,9,2024-10,2025-06,9,2024-10,2025-06,0,9,0,0,,0,0,0,model_a_estimable_available
Jieqianyu/SGN,1,1,12,12,1,aligned,17,17,0,0,2023-05,2024-09,jieqianyu/sgn,1,1,9,2024-01,2024-09,9,2024-01,2024-09,9,2024-01,2024-09,9,2024-01,2024-09,0,9,0,0,,0,0,0,model_a_estimable_available
JustinSparrrow/IOOI-EmotionEgg,1,1,9,6,1,aligned,1,1,0,0,2024-08,2024-08,justinsparrrow/iooi-emotionegg,1,1,1,2024-08,2024-08,1,2024-08,2024-08,1,2024-08,2024-08,1,2024-08,2024-08,0,1,0,0,,0,0,0,model_a_estimable_available
Khrylx/PyTorch-RL,1,1,20,20,1,aligned,41,41,0,0,2017-10,2021-02,khrylx/pytorch-rl,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
LGro/PyAPSI,1,1,20,20,1,aligned,25,25,0,0,2022-04,2024-04,lgro/pyapsi,1,1,4,2024-01,2024-04,4,2024-01,2024-04,1,2024-04,2024-04,1,2024-04,2024-04,0,4,0,0,,0,0,0,model_a_estimable_available
LinJing517/micropython-deauth,1,1,16,16,1,aligned,2,2,0,0,2017-07,2017-08,linjing517/micropython-deauth,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
LonamiWebs/Telebackup,1,1,19,19,1,aligned,16,16,0,0,2016-09,2017-12,lonamiwebs/telebackup,1,1,0,,,0,,,0,,,0,,,0,0,0,0,,0,0,0,no_panel_rows
