repo_name,time,is_treatment,event,post_event,time_to_event,lead_6,lead_5,lead_4,lead_3,lead_2,lead_1,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,cursor,commits,lines_added,lines_removed,contributors,stars,issues,issue_comments,age,ncloc,bugs,vulnerabilities,code_smells,duplicated_lines_density,comment_lines_density,cognitive_complexity,technical_debt,num_dependencies_total,num_vulnerable_dependencies,average_technical_lag,dataset_source,other_agents,high_confidence,latest_commit_original,latest_commit_effective,latest_commit,commit_resolution,months_since_observed_commit,clone_path,clone_exists,is_git_repository,commit_exists,tracked_file_count,python_file_count_all,python_file_count_source,python_file_count_excluded,has_python,has_python_source,python_eligible,python_path_samples,excluded_python_path_samples,scan_status,error_message,eligibility_join_status
Apocrathia/home-assistant-config,2024-04,0,2025-02,0,-10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,6.0,108.0,40.0,1.0,6,0,2,2161,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,a47d24eaa2e788005bda981bc81601dc1324825e,a47d24eaa2e788005bda981bc81601dc1324825e,a47d24eaa2e788005bda981bc81601dc1324825e,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,120,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-05,0,2025-02,0,-9.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,17.0,120.0,46.0,4.0,5,2,2,2191,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,b26234ca26d401d2aa3188cb603a9f7838bf808d,b26234ca26d401d2aa3188cb603a9f7838bf808d,b26234ca26d401d2aa3188cb603a9f7838bf808d,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,121,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-06,0,2025-02,0,-8.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,1.0,5.0,5.0,1.0,2,0,0,2222,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,e52f1adc336026dcd83a7321b395c8aaed3fbc0a,e52f1adc336026dcd83a7321b395c8aaed3fbc0a,e52f1adc336026dcd83a7321b395c8aaed3fbc0a,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,121,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-07,0,2025-02,0,-7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,17.0,500.0,61.0,3.0,0,0,0,2252,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-08,0,2025-02,0,-6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0,0,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,carried_forward,1,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-09,0,2025-02,0,-5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0.0,0.0,0.0,0.0,0,0,0,2314,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,e1f53bd5a5bd5290db8f1bde112aa7a42c8d8fc9,carried_forward,2,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-10,0,2025-02,0,-4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,1.0,5.0,5.0,1.0,0,0,1,2344,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,26df583b9e21bfa769cc54f3d1b5919f8bcb8fd0,26df583b9e21bfa769cc54f3d1b5919f8bcb8fd0,26df583b9e21bfa769cc54f3d1b5919f8bcb8fd0,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-11,0,2025-02,0,-3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,46.0,315.0,450.0,3.0,0,6,0,2375,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,74da233ac46648847f2a3055f9332c60819a8d8b,74da233ac46648847f2a3055f9332c60819a8d8b,74da233ac46648847f2a3055f9332c60819a8d8b,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,124,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2024-12,0,2025-02,0,-2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,2.0,26.0,8.0,1.0,1,0,0,2405,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,f50010a30ef67bdc89a203fa9f3eacaa764e6a8f,f50010a30ef67bdc89a203fa9f3eacaa764e6a8f,f50010a30ef67bdc89a203fa9f3eacaa764e6a8f,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
Apocrathia/home-assistant-config,2025-01,0,2025-02,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,22.0,465.0,213.0,2.0,0,0,0,2436,48.0,0.0,0.0,0.0,0.0,28.4,6.0,0.0,,,,treatment,,,72683f55d312c6f3938b60b7762200802a81f56c,72683f55d312c6f3938b60b7762200802a81f56c,72683f55d312c6f3938b60b7762200802a81f56c,observed,0,/home/user1-system12/project-workspace/ai_code_complexity_study_python/treatment-repos/Apocrathia_home-assistant-config,1,1,1,125,2,2,0,1,1,1,utilities/bulk_remove_devices.py | utilities/json2yaml.py,,success_python,,matched_repo_month
